frequency_hz,ideal_R0G0_HV_mag_dB,ideal_R0G0_HV_phase_deg,ideal_R0G0_Hport_mag_dB,ideal_R0G0_Hport_phase_deg,lossy_kG1_HV_mag_dB,lossy_kG1_HV_phase_deg,lossy_kG1_Hport_mag_dB,lossy_kG1_Hport_phase_deg,lossy_kG5_HV_mag_dB,lossy_kG5_HV_phase_deg,lossy_kG5_Hport_mag_dB,lossy_kG5_Hport_phase_deg
2000000,-21.950359847239529,-102.50058249126077,-15.929759933959906,-102.50058249126077,-22.038403899968948,-102.8907941256797,-16.017803986689323,-102.8907941256797,-22.302842149833673,-105.73878466683577,-16.282242236554051,-105.73878466683577
2013678.5539814362,-21.936549286183585,-102.70837877212723,-15.915949372903961,-102.70837877212723,-22.025536088879072,-103.11858923718266,-16.00493617559945,-103.11858923718266,-22.293680359615976,-106.01059041095438,-16.273080446336355,-106.01059041095438
2027357.1079628726,-21.921599438545577,-102.91717944710568,-15.900999525265956,-102.91717944710568,-22.011552677906899,-103.3475490683426,-15.990952764627275,-103.3475490683426,-22.283464928539768,-106.28403452024159,-16.262865015260143,-106.28403452024159
2041035.6619443088,-21.905511052686141,-103.12703434895937,-15.884911139406517,-103.12703434895937,-21.996454876710267,-103.57772594594212,-15.97585496343064,-103.57772594594212,-22.272198662408726,-106.55917315868687,-16.251598749129101,-106.55917315868687
2054714.215925745,-21.888284683157732,-103.33799373420852,-15.86768476987811,-103.33799373420852,-21.980243721623122,-103.80917264493709,-15.959643808343497,-103.80917264493709,-22.259884241172582,-106.83606293711446,-16.239284327892957,-106.83606293711446
2068392.7699071812,-21.869920692409242,-103.55010832992427,-15.849320779129618,-103.55010832992427,-21.962920077938691,-104.0419424349008,-15.942320164659067,-104.0419424349008,-22.24652422282821,-107.11476095549605,-16.225924309548585,-107.11476095549605
2082071.3238886176,-21.85041925242907,-103.76342938094757,-15.829819339149449,-103.76342938094757,-21.944484642163143,-104.2760891268296,-15.923884728883518,-104.2760891268296,-22.232121047348251,-107.39532484528806,-16.211521134068626,-107.39532484528806
2095749.8778700538,-21.829780346331098,-103.97800869761416,-15.809180433051475,-103.97800869761416,-21.924937944245464,-104.51166712038355,-15.904338030965841,-104.51166712038355,-22.216677040645031,-107.67781281184453,-16.196077127365406,-107.67781281184453
2109428.4318514899,-21.808003769888433,-104.19389870406644,-15.787403856608808,-104.19389870406644,-21.904280349789374,-104.74873145163552,-15.883680436509751,-104.74873145163552,-22.200194418577389,-107.96228367695316,-16.179594505297768,-107.96228367695316
2123106.9858329264,-21.785089133019724,-104.41115248723467,-15.764489219740106,-104.41115248723467,-21.882512062253497,-104.98733784140252,-15.861912148973875,-104.98733784140252,-22.182675291008689,-108.24879692154271,-16.162075377729067,-108.24879692154271
2136785.5398143623,-21.761035861233434,-104.62982384657008,-15.740435947953809,-104.62982384657008,-21.859633125146409,-105.22754274423305,-15.839033211866784,-105.22754274423305,-22.164121665924391,-108.5374127286068,-16.143521752644766,-108.5374127286068
2150464.0937957987,-21.735843197035393,-104.84996734461475,-15.715243283755772,-104.84996734461475,-21.83564342422325,-105.46940339812581,-15.815043510943623,-105.46940339812581,-22.144535453618186,-108.82819202638986,-16.123935540338561,-108.82819202638986
