frequency_hz,load5_HV_mag_dB,load5_HV_phase_deg,load5_Hport_mag_dB,load5_Hport_phase_deg,load50_HV_mag_dB,load50_HV_phase_deg,load50_Hport_mag_dB,load50_Hport_phase_deg,load150_HV_mag_dB,load150_HV_phase_deg,load150_Hport_mag_dB,load150_Hport_phase_deg,load1000_HV_mag_dB,load1000_HV_phase_deg,load1000_Hport_mag_dB,load1000_Hport_phase_deg,loadInf_HV_mag_dB,loadInf_HV_phase_deg,loadInf_Hport_mag_dB,loadInf_Hport_phase_deg
2000000,-22.212933719232272,-87.983817235040419,-16.192333805952646,-87.983817235040419,-22.038403899968948,-102.8907941256797,-16.017803986689323,-102.8907941256797,-19.995275511610458,-123.79067179763629,-13.974675598330835,-123.79067179763629,-12.613859486705941,-133.28070805542782,-6.5932595734263169,-133.28070805542782,-9.7494175198243269,-122.46280399775205,-3.7288176065447018,-122.46280399775205
2013678.5539814362,-22.192051718793316,-88.226035307875847,-16.171451805513694,-88.226035307875847,-22.025536088879072,-103.11858923718266,-16.00493617559945,-103.11858923718266,-20.00549516769286,-124.16527411560759,-13.984895254413237,-124.16527411560759,-12.56973196952735,-134.42174290933639,-6.549132056247724,-134.42174290933639,-9.6104545128448606,-123.7195109944597,-3.5898545995652373,-123.7195109944597
2027357.1079628726,-22.170071020408155,-88.468268266348147,-16.149471107128534,-88.468268266348147,-22.011552677906899,-103.3475490683426,-15.990952764627275,-103.3475490683426,-20.01479095824228,-124.54064445556637,-13.994191044962655,-124.54064445556637,-12.526649467909422,-135.58393543100962,-6.5060495546297989,-135.58393543100962,-9.4700174607426941,-125.02551772209934,-3.4494175474630713,-125.02551772209934
2041035.6619443088,-22.146989062856459,-88.710569120176658,-16.126389149576838,-88.710569120176658,-21.996454876710267,-103.57772594594212,-15.97585496343064,-103.57772594594212,-20.02316730660489,-124.91685126194932,-14.002567393325267,-124.91685126194932,-12.484776039798897,-136.76734766495753,-6.4641761265192734,-136.76734766495753,-9.328397992807842,-126.3832793974953,-3.3077980795282187,-126.3832793974953
2054714.215925745,-22.12280309818577,-88.952991014175424,-16.102203184906145,-88.952991014175424,-21.980243721623122,-103.80917264493709,-15.959643808343497,-103.80917264493709,-20.030628654077166,-125.29396294840575,-14.010028740797543,-125.29396294840575,-12.444280946109249,-137.9719830622231,-6.4236810328296272,-137.9719830622231,-9.1859312844832708,-127.79528636620577,-3.1653313712036475,-127.79528636620577
2068392.7699071812,-22.097510189896795,-89.195587275443074,-16.07691027661717,-89.195587275443074,-21.962920077938691,-104.0419424349008,-15.942320164659067,-104.0419424349008,-20.037179463573093,-125.67204791683577,-14.016579550293471,-125.67204791683577,-12.405338188082665,-139.1977814907392,-6.3847382748030403,-139.1977814907392,-9.0430004161343405,-129.26404057639101,-3.0224005028547167,-129.26404057639101
2082071.3238886176,-22.071107211036516,-89.438411461004861,-16.050507297756891,-89.438411461004861,-21.944484642163143,-104.2760891268296,-15.923884728883518,-104.2760891268296,-20.042824223366935,-126.05117457582173,-14.02222431008731,-126.05117457582173,-12.368125947865057,-140.4446143010463,-6.3475260345854325,-140.4446143010463,-8.9000407793600527,-130.79202597814461,-2.8794408660804289,-130.79202597814461
2095749.8778700538,-22.04359084219687,-89.681517405994981,-16.022990928917245,-89.681517405994981,-21.924937944245464,-104.51166712038355,-15.904338030965841,-104.51166712038355,-20.047567450914979,-126.43141135844751,-14.026967537635356,-126.43141135844751,-12.332825927831422,-141.7122795268732,-6.312226014551797,-141.7122795268732,-8.7575443972288163,-132.38167200278369,-2.7369444839491921,-132.38167200278369
2109428.4318514899,-22.014957569417184,-89.924959272468541,-15.994357656137561,-89.924959272468541,-21.904280349789374,-104.74873145163552,-15.883680436509751,-104.74873145163552,-20.051413696759855,-126.81282673949548,-14.030813783480232,-126.81282673949548,-12.299622585626654,-143.00049730933452,-6.2790226723470299,-143.00049730933452,-8.616063980801588,-134.0353093113479,-2.5954640675219625,-134.0353093113479
2123106.9858329264,-21.98520368198832,-90.168791598935499,-15.964603768708695,-90.168791598935499,-21.882512062253497,-104.98733784140252,-15.861912148973875,-104.98733784140252,-20.054367548521061,-127.19548925201116,-14.033767635241439,-127.19548925201116,-12.268702263646906,-144.30890564184921,-6.2481023503672839,-144.30890564184921,-8.4762164939022711,-135.75511710642789,-2.4556165806226464,-135.75511710642789
2136785.5398143623,-21.954325270156811,-90.413069350710032,-15.933725356877186,-90.413069350710032,-21.859633125146409,-105.22754274423305,-15.839033211866784,-105.22754274423305,-20.056433634975136,-127.57946750322108,-14.035833721695511,-127.57946750322108,-12.240252213777902,-145.63705653983604,-6.2196523004982787,-145.63705653983604,-8.3386859428575217,-137.54306150061856,-2.3180860295778984,-137.54306150061856
2150464.0937957987,-21.922318222726975,-90.657847971172785,-15.901718309447352,-90.657847971172785,-21.83564342422325,-105.46940339812581,-15.815043510943623,-105.46940339812581,-20.057616630228992,-127.96483018978955,-14.037016716949369,-127.96483018978955,-12.214459520612582,-146.98441274429047,-6.1938596073329588,-146.98441274429047,-8.2042250508200905,-139.40082475456015,-2.1836251375404654,-139.40082475456015
2164142.6477772351,-21.889178224559451,-90.903183434045346,-15.868578311279826,-90.903183434045346,-21.810542689691317,-105.71297787505442,-15.789942776411699,-105.71297787505442,-20.057921257989904,-128.35164611239429,-14.037321344710278,-128.35164611239429,-12.19150992905627,-148.35034507093496,-6.170910015776645,-148.35034507093496,-8.0736554221192076,-141.32972566293586,-2.0530555088395843,-141.32972566293586
2177821.2017586711,-21.854900753964316,-91.149132296780024,-15.834300840684691,-91.149132296780024,-21.784330498432219,-105.95832513237524,-15.763730585152596,-105.95832513237524,-20.057352295935516,-128.73998418960275,-14.036752382655893,-128.73998418960275,-12.171586585137263,-149.73413051626238,-6.1509866718576394,-149.73413051626238,-7.9478657578350367,-143.33063199788756,-1.9272658445554123,-143.33063199788756
2191499.7557401075,-21.819481079987213,-91.395751755171716,-15.798881166707591,-91.395751755171716,-21.757006276248529,-106.20550506519479,-15.736406362968907,-106.20550506519479,-20.055914580187164,-129.12991347102422,-14.035314666907539,-129.12991347102422,-12.154868701897758,-151.13495122795345,-6.1342687886181348,-151.13495122795345,-7.8278076587953791,-145.40386672407831,-1.8072077455157556,-145.40386672407831
2205178.3097215439,-21.782914259587013,-91.643099699302368,-15.762314346307392,-91.643099699302368,-21.728569300143693,-106.4545785597754,-15.707969386864072,-106.4545785597754,-20.05361300988983,-129.52150314971331,-14.033013096610205,-129.52150314971331,-12.141530165345731,-152.55189443947617,-6.1209302520661062,-152.55189443947617,-7.7144885578565017,-147.54911066600883,-1.6938886445768773,-147.54911066600883
2218856.8637029799,-21.745195134703515,-91.891234770932627,-15.724595221423893,-91.891234770932627,-21.699018700644093,-106.70560754805841,-15.678418787364468,-106.70560754805841,-20.050452551901962,-129.91482257379698,-14.029852638622337,-129.91482257379698,-12.131738098485201,-153.98395345688252,-6.1111381852055766,-153.98395345688252,-7.6089613723403904,-149.76530539465853,-1.5883614590607664,-149.76530539465853
2232535.4176844163,-21.706318329213904,-92.140216422460753,-15.685718415934279,-92.140216422460753,-21.668353464172817,-106.95865506338571,-15.647753550893192,-106.95865506338571,-20.046438245598111,-130.3099412572941,-14.025838332318488,-130.3099412572941,-12.12565140427694,-155.4300297698108,-6.1050514909973161,-155.4300297698108,-7.5123105721867116,-152.05056122758467,-1.491710658907087,-152.05056122758467
2246213.9716658527,-21.666278245776773,-92.390104977573088,-15.645678332497148,-92.390104977573088,-21.636572435485462,-107.21378529750166,-15.615972522205839,-107.21378529750166,-20.041575207787492,-130.70692889009399,-14.020975294507867,-130.70692889009399,-12.123419310870524,-156.88893633858243,-6.1028193975909009,-156.88893633858243,-7.4256345292068886,-154.40207628170742,-1.4050346159272644,-154.40207628170742
2259892.5256472887,-21.625069062562726,-92.640961693716221,-15.604469149283101,-92.640961693716221,-21.603674320178552,-107.47106365891905,-15.583074406898929,-107.47106365891905,-20.035868637751268,-131.10585534705976,-14.015268724471648,-131.10585534705976,-12.125179944446181,-158.35940208536849,-6.1045800311665568,-158.35940208536849,-7.350024251128362,-156.81607331745138,-1.329424337848738,-156.81607331745138
2273571.0796287251,-21.58268472987055,-92.892848826527256,-15.562084816590925,-92.892848826527256,-21.569657687282231,-107.73055683273428,-15.549057774002609,-107.73055683273428,-20.029323822401256,-131.50679069621521,-14.008723909121635,-131.50679069621521,-12.131058956371191,-159.84007759026915,-6.1104590430915682,-159.84007759026915,-7.2865389044889106,-159.28776147474591,-1.265938991209286,-159.28776147474591
2287249.633610161,-21.539118966628479,-93.145829696364558,-15.518519053348856,-93.145829696364558,-21.534520971949323,-107.99233284197852,-15.513921058669698,-107.99233284197852,-20.021946141562637,-131.90980520597603,-14.001346228283019,-131.90980520597603,-12.141168231987505,-161.32954196360308,-6.1205683187078819,-161.32954196360308,-7.2361788736902888,-161.8113297316734,-1.215578960410665,-161.8113297316734
2300928.1875915974,-21.494365256780007,-93.399968757088558,-15.473765343500382,-93.399968757088558,-21.498262478253849,-108.25646111059373,-15.477662564974226,-108.25646111059373,-20.013741073383102,-132.31496935137935,-13.99314116010348,-132.31496935137935,-12.155604708107772,-162.82631083476312,-6.1350047948281494,-162.82631083476312,-7.1998574563256863,-164.37997785857189,-1.1792575430460635,-164.37997785857189
2314606.7415730339,-21.448416845554025,-93.655331667249584,-15.427816932274403,-93.655331667249584,-21.460880382112833,-108.52301252812353,-15.44028046883321,-108.52301252812353,-20.004714199870449,-132.72235381926507,-13.984114286590824,-132.72235381926507,-12.174449325144725,-164.32884536686689,-6.1538494118651013,-164.32884536686689,-7.178372611430456,-166.98598872170817,-1.1577726981508321,-166.98598872170817
2328285.2955544698,-21.401266735619473,-93.911985363847691,-15.380666822339847,-93.911985363847691,-21.422372734346126,-108.79205951621141,-15.401772821066501,-108.79205951621141,-19.994871212560739,-133.13202951235823,-13.974271299281115,-133.13202951235823,-12.197766137715526,-165.83556217642339,-6.1771662244359025,-165.83556217642339,-7.1723804047010837,-169.62084306716238,-1.15178049142146,-169.62084306716238
2341963.8495359062,-21.352907683124901,-94.169998138838451,-15.332307769845277,-94.169998138838451,-21.382737463890095,-109.06367609700064,-15.362137550610473,-109.06367609700064,-19.984217918318731,-133.54406755219884,-13.963618005039107,-133.54406755219884,-12.225601604579255,-167.3448440097072,-6.2050016912996311,-167.3448440097072,-7.1823718822553539,-172.27537459835708,-1.1617719689757298,-172.27537459835708
2355642.4035173426,-21.303332193623721,-94.429439718567494,-15.282732280344097,-94.429439718567494,-21.341972381181993,-109.33793796353163,-15.321372467902368,-109.33793796353163,-19.972760245271775,-133.95853928086228,-13.95216033199215,-133.95853928086228,-12.257984074961602,-168.85505100379149,-6.2373841616819758,-168.85505100379149,-7.2086550150280999,-174.9399596108434,-1.1880551017484768,-174.9399596108434
2369320.9574987786,-21.252532517886515,-94.690381346326433,-15.231932604606893,-94.690381346326433,-21.300075181733003,-109.614922552235,-15.279475268453378,-109.614922552235,-19.960504248878674,-134.37551626141112,-13.939904335599051,-134.37551626141112,-12.294923483826059,-170.36453234141024,-6.2743235705464349,-170.36453234141024,-7.251343076789234,-177.60473213169206,-1.2307431635096102,-177.60473213169206
2382999.511480215,-21.200500647601928,-94.952895868234734,-15.179900734322302,-94.952895868234734,-21.25704344990919,-109.89470911762038,-15.236443536629569,-109.89470911762038,-19.947456118133978,-134.7950702770141,-13.926856204854355,-134.7950702770141,-12.336411263634862,-171.8716380959635,-6.3158113503552373,-171.8716380959635,-7.3103503688701714,-180.25981291781247,-1.2897504555905468,-180.25981291781247
2396678.0654616514,-21.147228310968632,-95.217057822661616,-15.126628397689007,-95.217057822661616,-21.212874662940933,-110.17737880926299,-15.192274749661308,-110.17737880926299,-19.933622181908291,-135.21727332866678,-13.913022268628668,-135.21727332866678,-12.382420474810056,-173.37473105670483,-6.3618205615304326,-173.37473105670483,-7.3853956343694147,-182.89553920998344,-1.3647957210897912,-182.89553920998344
