frequency_hz,branch_kG1_HV_mag_dB,branch_kG1_HV_phase_deg,branch_kG1_Hport_mag_dB,branch_kG1_Hport_phase_deg,baseline_kG1_HV_mag_dB,baseline_kG1_HV_phase_deg,baseline_kG1_Hport_mag_dB,baseline_kG1_Hport_phase_deg,branch_kG5_HV_mag_dB,branch_kG5_HV_phase_deg,branch_kG5_Hport_mag_dB,branch_kG5_Hport_phase_deg,baseline_kG5_HV_mag_dB,baseline_kG5_HV_phase_deg,baseline_kG5_Hport_mag_dB,baseline_kG5_Hport_phase_deg
2000000,-22.038403899968948,-102.8907941256797,-16.017803986689323,-102.8907941256797,-14.235907993056763,-100.9115300244397,-8.2153080797771381,-100.9115300244397,-22.302842149833673,-105.73878466683577,-16.282242236554051,-105.73878466683577,-14.621976303547914,-104.83585264874695,-8.6013763902682907,-104.83585264874695
2013678.5539814362,-22.025536088879072,-103.11858923718266,-16.00493617559945,-103.11858923718266,-14.18822235579762,-101.28663261502324,-8.1676224425179953,-101.28663261502324,-22.293680359615976,-106.01059041095438,-16.273080446336355,-106.01059041095438,-14.582344545287533,-105.27796188396759,-8.56174463200791,-105.27796188396759
2027357.1079628726,-22.011552677906899,-103.3475490683426,-15.990952764627275,-103.3475490683426,-14.138978744672031,-101.66621125761235,-8.1183788313924072,-101.66621125761235,-22.283464928539768,-106.28403452024159,-16.262865015260143,-106.28403452024159,-14.541385245661917,-105.72536931623642,-8.5207853323822942,-105.72536931623642
2041035.6619443088,-21.996454876710267,-103.57772594594212,-15.97585496343064,-103.57772594594212,-14.088168593508687,-102.05045392244246,-8.0675686802290656,-102.05045392244246,-22.272198662408726,-106.55917315868687,-16.251598749129101,-106.55917315868687,-14.49909861667102,-106.17826222052906,-8.4784987033913968,-106.17826222052906
2054714.215925745,-21.980243721623122,-103.80917264493709,-15.959643808343497,-103.80917264493709,-14.035783172011186,-102.43955491146112,-8.0151832587315628,-102.43955491146112,-22.259884241172582,-106.83606293711446,-16.239284327892957,-106.83606293711446,-14.455485078478008,-106.63683301771785,-8.4348851651983843,-106.63683301771785
2068392.7699071812,-21.962920077938691,-104.0419424349008,-15.942320164659067,-104.0419424349008,-13.981813602344646,-102.83371518769663,-7.9612136890650218,-102.83371518769663,-22.24652422282821,-107.11476095549605,-16.225924309548585,-107.11476095549605,-14.410545291601851,-107.10127947706533,-8.389945378322226,-107.10127947706533
2082071.3238886176,-21.944484642163143,-104.2760891268296,-15.923884728883518,-104.2760891268296,-13.92625087765839,-103.23314271980871,-7.9056509643787649,-103.23314271980871,-22.232121047348251,-107.39532484528806,-16.211521134068626,-107.39532484528806,-14.364280191473975,-107.57180492237639,-8.343680278194352,-107.57180492237639
2095749.8778700538,-21.924937944245464,-104.51166712038355,-15.904338030965841,-104.51166712038355,-13.869085882750113,-103.63805284255126,-7.8484859694704889,-103.63805284255126,-22.216677040645031,-107.67781281184453,-16.196077127365406,-107.67781281184453,-14.316691025533267,-108.04861844154532,-8.2960911122536416,-108.04861844154532
2109428.4318514899,-21.904280349789374,-104.74873145163552,-15.883680436509751,-104.74873145163552,-13.810309417097471,-104.04866863388636,-7.7897095038178454,-104.04866863388636,-22.200194418577389,-107.96228367695316,-16.179594505297768,-107.96228367695316,-14.267779393044599,-108.53193509916291,-8.2471794797649736,-108.53193509916291
2123106.9858329264,-21.882512062253497,-104.98733784140252,-15.861912148973875,-104.98733784140252,-13.749912220505127,-104.46522130949741,-7.729312307225503,-104.46522130949741,-22.182675291008689,-108.24879692154271,-16.162075377729067,-108.24879692154271,-14.217547287837789,-109.02197615177263,-8.1969473745581656,-109.02197615177263
