frequency_hz,stable_L300_kG1_HV_mag_dB,stable_L300_kG1_HV_phase_deg,stable_L300_kG1_Hport_mag_dB,stable_L300_kG1_Hport_phase_deg,legacyABCD_L300_kG1_HV_mag_dB,legacyABCD_L300_kG1_HV_phase_deg,legacyABCD_L300_kG1_Hport_mag_dB,legacyABCD_L300_kG1_Hport_phase_deg,stable_L500_kG1_HV_mag_dB,stable_L500_kG1_HV_phase_deg,stable_L500_kG1_Hport_mag_dB,stable_L500_kG1_Hport_phase_deg,legacyABCD_L500_kG1_HV_mag_dB,legacyABCD_L500_kG1_HV_phase_deg,legacyABCD_L500_kG1_Hport_mag_dB,legacyABCD_L500_kG1_Hport_phase_deg,stable_L800_kG1_HV_mag_dB,stable_L800_kG1_HV_phase_deg,stable_L800_kG1_Hport_mag_dB,stable_L800_kG1_Hport_phase_deg,legacyABCD_L800_kG1_HV_mag_dB,legacyABCD_L800_kG1_HV_phase_deg,legacyABCD_L800_kG1_Hport_mag_dB,legacyABCD_L800_kG1_Hport_phase_deg,stable_L1200_kG1_HV_mag_dB,stable_L1200_kG1_HV_phase_deg,stable_L1200_kG1_Hport_mag_dB,stable_L1200_kG1_Hport_phase_deg,legacyABCD_L1200_kG1_HV_mag_dB,legacyABCD_L1200_kG1_HV_phase_deg,legacyABCD_L1200_kG1_Hport_mag_dB,legacyABCD_L1200_kG1_Hport_phase_deg,stable_L300_kG5_HV_mag_dB,stable_L300_kG5_HV_phase_deg,stable_L300_kG5_Hport_mag_dB,stable_L300_kG5_Hport_phase_deg,legacyABCD_L300_kG5_HV_mag_dB,legacyABCD_L300_kG5_HV_phase_deg,legacyABCD_L300_kG5_Hport_mag_dB,legacyABCD_L300_kG5_Hport_phase_deg,stable_L500_kG5_HV_mag_dB,stable_L500_kG5_HV_phase_deg,stable_L500_kG5_Hport_mag_dB,stable_L500_kG5_Hport_phase_deg,legacyABCD_L500_kG5_HV_mag_dB,legacyABCD_L500_kG5_HV_phase_deg,legacyABCD_L500_kG5_Hport_mag_dB,legacyABCD_L500_kG5_Hport_phase_deg,stable_L800_kG5_HV_mag_dB,stable_L800_kG5_HV_phase_deg,stable_L800_kG5_Hport_mag_dB,stable_L800_kG5_Hport_phase_deg,legacyABCD_L800_kG5_HV_mag_dB,legacyABCD_L800_kG5_HV_phase_deg,legacyABCD_L800_kG5_Hport_mag_dB,legacyABCD_L800_kG5_Hport_phase_deg,stable_L1200_kG5_HV_mag_dB,stable_L1200_kG5_HV_phase_deg,stable_L1200_kG5_Hport_mag_dB,stable_L1200_kG5_Hport_phase_deg,legacyABCD_L1200_kG5_HV_mag_dB,legacyABCD_L1200_kG5_HV_phase_deg,legacyABCD_L1200_kG5_Hport_mag_dB,legacyABCD_L1200_kG5_Hport_phase_deg
2000000,-19.632288612312497,156.79671578831122,-13.611688699032873,156.79671578831122,-19.632288612312493,156.79671578831122,-13.611688699032866,156.79671578831122,-14.594040137555201,-28.890797580182866,-8.5734402242755774,-28.890797580182866,-14.594040137555195,-28.89079758018287,-8.5734402242755721,-28.89079758018287,-23.12127615988507,158.06908151527219,-17.100676246605449,158.06908151527219,-23.12127615988507,158.06908151527219,-17.100676246605449,158.06908151527219,-26.534684497571806,100.70750938806236,-20.514084584292181,100.70750938806236,-26.53468449757181,100.70750938806238,-20.514084584292185,100.70750938806238,-24.5208347585727,173.6057775972657,-18.500234845293079,173.6057775972657,-24.520834758572697,173.6057775972657,-18.500234845293072,173.6057775972657,-27.105204793414828,-31.591876258421017,-21.084604880135203,-31.591876258421017,-27.105204793414828,-31.591876258421017,-21.084604880135203,-31.591876258421017,-36.45319275279433,172.95979600248202,-30.432592839514708,172.95979600248202,-36.45319275279433,172.95979600248202,-30.432592839514708,172.95979600248202,-46.375433715387409,95.926707778681447,-40.354833802107791,95.926707778681447,-46.375433715387409,95.926707778681447,-40.354833802107784,95.926707778681447
2013678.5539814362,-20.311827140849381,151.77701171645668,-14.291227227569758,151.77701171645668,-20.311827140849381,151.77701171645668,-14.291227227569758,151.77701171645668,-14.805903652847213,-45.787451055608479,-8.7853037395675919,-45.787451055608479,-14.805903652847212,-45.787451055608493,-8.7853037395675884,-45.787451055608493,-23.97618876268649,145.32592668083905,-17.955588849406872,145.32592668083905,-23.976188762686501,145.32592668083905,-17.955588849406876,145.32592668083905,-26.251631262958952,82.389284835992569,-20.231031349679327,82.389284835992569,-26.251631262958952,82.389284835992569,-20.231031349679327,82.389284835992569,-24.916987837216404,168.28289737737848,-18.896387923936778,168.28289737737848,-24.9169878372164,168.28289737737845,-18.896387923936778,168.28289737737845,-27.275928279453968,-43.411235183646809,-21.255328366174343,-43.411235183646809,-27.275928279453968,-43.411235183646809,-21.255328366174343,-43.411235183646809,-36.810764258077917,157.74654799908942,-30.790164344798292,157.74654799908942,-36.810764258077917,157.74654799908942,-30.790164344798292,157.74654799908942,-46.644512087096437,72.344306722686184,-40.623912173816812,72.344306722686184,-46.64451208709643,72.34430672268617,-40.623912173816812,72.34430672268617
2027357.1079628726,-20.964441481970695,147.24956669453144,-14.943841568691074,147.24956669453144,-20.964441481970695,147.24956669453144,-14.943841568691074,147.24956669453144,-15.222669159619027,-61.704288756173234,-9.202069246339402,-61.704288756173234,-15.222669159619024,-61.704288756173227,-9.2020692463394003,-61.704288756173227,-24.668194719607449,133.78819039314661,-18.647594806327824,133.78819039314661,-24.668194719607442,133.78819039314661,-18.647594806327817,133.78819039314661,-25.603621216174773,62.491196781222015,-19.583021302895151,62.491196781222015,-25.60362121617478,62.491196781222015,-19.583021302895155,62.491196781222015,-25.304098494863489,163.17590887176686,-19.283498581583864,163.17590887176686,-25.304098494863489,163.17590887176686,-19.283498581583867,163.17590887176686,-27.502861991058861,-55.18334821085525,-21.482262077779236,-55.18334821085525,-27.502861991058861,-55.18334821085525,-21.482262077779236,-55.18334821085525,-37.135053094446576,142.72364986268838,-31.114453181166958,142.72364986268838,-37.135053094446576,142.72364986268838,-31.114453181166954,142.72364986268838,-46.899976018410129,48.612717047427758,-40.879376105130504,48.612717047427758,-46.899976018410129,48.612717047427765,-40.879376105130504,48.612717047427765
2041035.6619443088,-21.582201136917494,143.15561322784941,-15.561601223637869,143.15561322784941,-21.58220113691749,143.15561322784941,-15.561601223637865,143.15561322784941,-15.748987111374751,-76.618241084155301,-9.7283871980951275,-76.618241084155301,-15.748987111374753,-76.618241084155301,-9.7283871980951293,-76.618241084155301,-25.158995397303336,123.08748019488016,-19.138395484023711,123.08748019488016,-25.158995397303329,123.08748019488016,-19.138395484023707,123.08748019488016,-24.69892130432828,39.829510386475093,-18.678321391048655,39.829510386475093,-24.69892130432828,39.829510386475079,-18.678321391048655,39.829510386475079,-25.678205474820039,158.27420382195481,-19.657605561540414,158.27420382195481,-25.678205474820039,158.27420382195481,-19.657605561540418,158.27420382195481,-27.78225182571213,-66.841164884208837,-21.761651912432505,-66.841164884208837,-27.782251825712137,-66.841164884208837,-21.761651912432512,-66.841164884208837,-37.420086347847004,127.82075126289007,-31.399486434567375,127.82075126289007,-37.420086347847004,127.8207512628901,-31.399486434567379,127.8207512628901,-47.15478776011107,24.703770911523872,-41.134187846831452,24.703770911523872,-47.154787760111077,24.703770911523865,-41.134187846831452,24.703770911523865
2054714.215925745,-22.159709135369781,139.43871281515709,-16.139109222090159,139.43871281515709,-22.159709135369795,139.43871281515712,-16.13910922209017,139.43871281515712,-16.330233430925009,-90.768683084441761,-10.309633517645388,-90.768683084441761,-16.330233430925013,-90.768683084441761,-10.309633517645389,-90.768683084441761,-25.426599572408506,112.85466220471767,-19.405999659128881,112.85466220471767,-25.426599572408502,112.85466220471766,-19.405999659128877,112.85466220471766,-23.767114955060332,13.481164311521283,-17.746515041780711,13.481164311521283,-23.767114955060332,13.481164311521287,-17.746515041780711,13.481164311521287,-26.035818854675963,153.56402797234591,-20.015218941396341,153.56402797234591,-26.035818854675963,153.56402797234594,-20.015218941396338,153.56402797234594,-28.108990992087158,-78.32923536238107,-22.088391078807533,-78.32923536238107,-28.108990992087165,-78.329235362381056,-22.08839107880754,-78.329235362381056,-37.663109101109448,112.95791888893179,-31.64250918782983,112.95791888893179,-37.663109101109448,112.95791888893177,-31.642509187829827,112.95791888893177,-47.422634791949974,0.62948535678518025,-41.402034878670349,0.62948535678518025,-47.422634791949974,0.62948535678517781,-41.402034878670349,0.62948535678517781
2068392.7699071812,-22.693422545302042,136.04716253615314,-16.672822632022417,136.04716253615314,-22.693422545302042,136.04716253615314,-16.67282263202242,136.04716253615314,-16.954016231335746,-104.41659698655701,-10.933416318056125,-104.41659698655701,-16.954016231335746,-104.41659698655702,-10.933416318056125,-104.41659698655702,-25.45909097181335,102.72776978838959,-19.438491058533724,102.72776978838959,-25.459090971813353,102.72776978838962,-19.438491058533728,102.72776978838962,-23.143025888603717,-16.385004283594792,-17.122425975324091,-16.385004283594792,-23.143025888603717,-16.385004283594796,-17.122425975324091,-16.385004283594796,-26.373933029014118,149.02940908517741,-20.353333115734493,149.02940908517741,-26.373933029014118,149.02940908517743,-20.353333115734493,149.02940908517743,-28.477255555422005,-89.602448096970321,-22.45665564214238,-89.602448096970321,-28.477255555421994,-89.602448096970321,-22.456655642142373,-89.602448096970321,-37.864952795828444,98.051791275263895,-31.844352882548819,98.051791275263895,-37.864952795828444,98.051791275263881,-31.844352882548819,98.051791275263881,-47.7151217497467,-23.559735080743827,-41.694521836467082,-23.559735080743827,-47.715121749746707,-23.559735080743831,-41.694521836467082,-23.559735080743831
2082071.3238886176,-23.181092709703115,132.93483391576606,-17.16049279642349,132.93483391576606,-23.181092709703115,132.93483391576606,-17.16049279642349,132.93483391576606,-17.634825901583888,-117.70180756879894,-11.614225988304263,-117.70180756879894,-17.634825901583888,-117.70180756879898,-11.614225988304261,-117.70180756879898,-25.251263689076264,92.336291852022725,-19.230663775796639,92.336291852022725,-25.251263689076264,92.336291852022725,-19.230663775796639,92.336291852022725,-23.0803870058465,-47.973154336420194,-17.059787092566875,-47.973154336420194,-23.0803870058465,-47.973154336420173,-17.059787092566879,-47.973154336420173,-26.690008138881005,144.65291794299551,-20.66940822560138,144.65291794299551,-26.690008138881005,144.65291794299551,-20.66940822560138,144.65291794299551,-28.880825305725853,-100.62389955885858,-22.860225392446228,-100.62389955885858,-28.880825305725853,-100.6238995588586,-22.860225392446228,-100.6238995588586,-38.030164423064519,83.022303563759095,-32.009564509784902,83.022303563759095,-38.030164423064527,83.022303563759095,-32.009564509784902,83.022303563759095,-48.039410197434151,-47.785494212371468,-42.018810284154526,-47.785494212371468,-48.039410197434151,-47.785494212371468,-42.018810284154526,-47.785494212371468
2095749.8778700538,-23.621333620848723,130.0611236221466,-17.600733707569098,130.0611236221466,-23.621333620848723,130.0611236221466,-17.600733707569098,130.0611236221466,-18.394432928290215,-130.59486628098014,-12.373833015010593,-130.59486628098014,-18.394432928290215,-130.59486628098011,-12.37383301501059,-130.59486628098011,-24.804605684926607,81.27396304359101,-18.784005771646985,81.27396304359101,-24.804605684926607,81.27396304359101,-18.784005771646981,81.27396304359101,-23.568496144054262,-79.046845137066697,-17.547896230774636,-79.046845137066697,-23.568496144054258,-79.046845137066697,-17.547896230774633,-79.046845137066697,-26.981932822982486,140.41625020835403,-20.961332909702861,140.41625020835403,-26.981932822982486,140.41625020835403,-20.961332909702865,140.41625020835403,-29.313146105304835,-111.36319507917069,-23.29254619202521,-111.36319507917069,-29.313146105304835,-111.36319507917071,-23.29254619202521,-111.36319507917071,-38.166878083042342,67.799812171318692,-32.146278169762716,67.799812171318692,-38.166878083042342,67.799812171318692,-32.146278169762716,67.799812171318692,-48.396911097586866,-71.957635512930707,-42.376311184307241,-71.957635512930707,-48.396911097586866,-71.957635512930707,-42.376311184307241,-71.957635512930707
2109428.4318514899,-24.013301491589839,127.39045181702556,-17.992701578310214,127.39045181702556,-24.013301491589843,127.39045181702558,-17.992701578310218,127.39045181702558,-19.244503997497755,-142.92756635694437,-13.223904084218132,-142.92756635694437,-19.244503997497759,-142.92756635694437,-13.223904084218134,-142.92756635694437,-24.131476938980491,69.067346344298528,-18.110877025700866,69.067346344298528,-24.131476938980491,69.067346344298528,-18.110877025700866,69.067346344298528,-24.445567084715677,-108.36232592589649,-18.424967171436052,-108.36232592589649,-24.44556708471567,-108.36232592589649,-18.424967171436048,-108.36232592589649,-27.247978380329549,136.30064014269675,-21.227378467049924,136.30064014269675,-27.247978380329549,136.30064014269675,-21.227378467049927,136.30064014269675,-29.767269660158799,-121.79583597602273,-23.746669746879174,-121.79583597602273,-29.767269660158799,-121.79583597602273,-23.746669746879174,-121.79583597602273,-38.286376400855609,52.332374861127278,-32.265776487575984,52.332374861127278,-38.286376400855616,52.332374861127278,-32.265776487575991,52.332374861127278,-48.783275855040351,-95.991867968728528,-42.762675941760726,-95.991867968728528,-48.783275855040351,-95.991867968728528,-42.762675941760726,-95.991867968728528
2123106.9858329264,-24.356461821970097,124.89156331917103,-18.335861908690475,124.89156331917103,-24.3564618219701,124.89156331917103,-18.335861908690479,124.89156331917103,-20.177046597619608,-154.47807965091434,-14.156446684339985,-154.47807965091434,-20.177046597619604,-154.47807965091434,-14.156446684339981,-154.47807965091434,-23.265501527392601,55.15329687024137,-17.244901614112976,55.15329687024137,-23.265501527392601,55.153296870241348,-17.244901614112976,55.153296870241348,-25.565954663919808,-135.41697350019922,-19.545354750640186,-135.41697350019922,-25.565954663919808,-135.41697350019925,-19.545354750640183,-135.41697350019925,-27.486751599516033,132.28712895626251,-21.466151686236415,132.28712895626251,-27.486751599516033,132.28712895626251,-21.466151686236415,132.28712895626251,-30.235808071392011,-131.90366175577731,-24.215208158112386,-131.90366175577731,-30.235808071392007,-131.90366175577728,-24.215208158112382,-131.90366175577728,-38.402271495169799,36.592593989753851,-32.381671581890174,36.592593989753851,-38.402271495169799,36.592593989753823,-32.381671581890181,36.592593989753823,-49.189523228392801,-119.82461247790633,-43.168923315113176,-119.82461247790633,-49.189523228392801,-119.82461247790633,-43.168923315113176,-119.82461247790633
