frequency_hz,constant_R500_HV_mag_dB,constant_R500_HV_phase_deg,constant_R500_Hport_mag_dB,constant_R500_Hport_phase_deg,Canete_parallel_RLC_R500_Q5_f015MHz_HV_mag_dB,Canete_parallel_RLC_R500_Q5_f015MHz_HV_phase_deg,Canete_parallel_RLC_R500_Q5_f015MHz_Hport_mag_dB,Canete_parallel_RLC_R500_Q5_f015MHz_Hport_phase_deg
2000000,-14.94479777488818,-135.62268281894765,-8.9241978616085547,-135.62268281894765,-21.50234835289934,-87.103246652636258,-15.481748439619714,-87.103246652636258
2013678.5539814362,-14.939773950570277,-136.52796379473401,-8.9191740372906541,-136.52796379473401,-21.477639432644047,-87.357642499041461,-15.457039519364422,-87.357642499041461
2027357.1079628726,-14.93534350731399,-137.44163316401119,-8.9147435940343662,-137.44163316401119,-21.451761701525282,-87.61211888638698,-15.43116178824566,-87.61211888638698
2041035.6619443088,-14.931565026416189,-138.36358046190824,-8.9109651131365659,-138.36358046190824,-21.424711353652008,-87.866736549879363,-15.404111440372382,-87.866736549879363
2054714.215925745,-14.928497084974905,-139.29367736023252,-8.9078971716952822,-139.29367736023252,-21.396484356851097,-88.121556528639019,-15.37588444357147,-88.121556528639019
2068392.7699071812,-14.926198108998934,-140.23177727138309,-8.9055981957193087,-140.23177727138309,-21.367076449825738,-88.376640225681797,-15.346476536546113,-88.376640225681797
2082071.3238886176,-14.924726218100401,-141.17771501128928,-8.9041263048207764,-141.17771501128928,-21.336483139177943,-88.632049468840833,-15.315883225898318,-88.632049468840833
2095749.8778700538,-14.924139062301581,-142.13130652802519,-8.903539149021956,-142.13130652802519,-21.304699696292584,-88.887846572756246,-15.284099783012959,-88.887846572756246
2109428.4318514899,-14.924493651608417,-143.09234870261423,-8.9038937383287937,-143.09234870261423,-21.271721154079913,-89.144094402062649,-15.251121240800289,-89.144094402062649
2123106.9858329264,-14.925846179126845,-144.06061922830875,-8.9052462658472216,-144.06061922830875,-21.237542303573758,-89.400856435910285,-15.216942390294133,-89.400856435910285
2136785.5398143623,-14.928251838621588,-145.03587657428935,-8.9076519253419626,-145.03587657428935,-21.202157690382528,-89.658196833958897,-15.181557777102906,-89.658196833958897
2150464.0937957987,-14.931764637539068,-146.01786003928223,-8.9111647242594429,-146.01786003928223,-21.165561610990416,-89.916180503990262,-15.144961697710794,-89.916180503990262
2164142.6477772351,-14.936437206633499,-147.006289900029,-8.9158372933538743,-147.006289900029,-21.127748108905987,-90.174873171289903,-15.107148195626364,-90.174873171289903
2177821.2017586711,-14.94232060744606,-148.00086765887559,-8.9217206941664351,-148.00086765887559,-21.088710970655701,-90.434341449955411,-15.068111057376077,-90.434341449955411
2191499.7557401075,-14.949464138988544,-149.00127639395976,-8.9288642257089208,-149.00127639395976,-21.048443721619709,-90.694652916296334,-15.027843808340084,-90.694652916296334
2205178.3097215439,-14.957915145072221,-150.00718121459147,-8.9373152317925957,-150.00718121459147,-21.006939621707794,-90.955876184496702,-14.986339708428167,-90.955876184496702
2218856.8637029799,-14.967718823797656,-151.01822982343703,-8.9471189105180304,-151.01822982343703,-20.964191660873084,-91.218080984721084,-14.943591747593459,-91.218080984721084
2232535.4176844163,-14.978918040779188,-152.03405318604814,-8.9583181274995649,-152.03405318604814,-20.920192554461657,-91.481338243853273,-14.899592641182032,-91.481338243853273
2246213.9716658527,-14.991553147716248,-153.054266307136,-8.9709532344366245,-153.054266307136,-20.874934738396163,-91.745720169065791,-14.854334825116538,-91.745720169065791
2259892.5256472887,-15.005661807941275,-154.07846911179695,-8.9850618946616514,-154.07846911179695,-20.828410364192052,-92.011300334430544,-14.807810450912429,-92.011300334430544
