scenario,feature,accuracy,edge_precision,edge_recall,edge_f1
ideal,amplitude,1,1,1,1
noiseless_ofdm,amplitude,1,1,1,1
ideal,phase,1,1,1,1
noiseless_ofdm,phase,1,1,1,1
ideal,complex,1,1,1,1
noiseless_ofdm,complex,1,1,1,1
ideal,cir,1,1,1,1
noiseless_ofdm,cir,1,1,1,1
ideal,amp_phase_joint,1,1,1,1
noiseless_ofdm,amp_phase_joint,1,1,1,1
SNR_30_dB,amplitude,0.79166666666666663,0.9609375,0.9609375,0.9609375
SNR_30_dB,phase,0.72499999999999998,0.96557377049180326,0.92031249999999998,0.9423999999999999
SNR_30_dB,complex,0.78333333333333333,0.95937499999999998,0.95937499999999998,0.95937499999999998
SNR_30_dB,cir,0.77500000000000002,0.95781249999999996,0.95781249999999996,0.95781249999999996
SNR_30_dB,amp_phase_joint,0.72499999999999998,0.96557377049180326,0.92031249999999998,0.9423999999999999
SNR_20_dB,amplitude,0.84999999999999998,0.97187500000000004,0.97187500000000004,0.97187500000000004
SNR_20_dB,phase,0.60833333333333328,0.9505766062602965,0.90156250000000004,0.92542101042502012
SNR_20_dB,complex,0.85833333333333328,0.97343749999999996,0.97343749999999996,0.97343749999999996
SNR_20_dB,cir,0.85833333333333328,0.97343749999999996,0.97343749999999996,0.97343749999999996
SNR_20_dB,amp_phase_joint,0.60833333333333328,0.9505766062602965,0.90156250000000004,0.92542101042502012
SNR_10_dB,amplitude,0.82499999999999996,0.96718749999999998,0.96718749999999998,0.96718749999999998
SNR_10_dB,phase,0.26666666666666666,0.90016366612111298,0.859375,0.87929656274980017
SNR_10_dB,complex,0.84166666666666667,0.97031250000000002,0.97031250000000002,0.97031250000000002
SNR_10_dB,cir,0.8833333333333333,0.97812500000000002,0.97812500000000002,0.97812500000000002
SNR_10_dB,amp_phase_joint,0.26666666666666666,0.90016366612111298,0.859375,0.87929656274980017
SNR_0_dB,amplitude,0.375,0.96460176991150437,0.8515625,0.90456431535269699
SNR_0_dB,phase,0.18333333333333332,0.859375,0.859375,0.859375
SNR_0_dB,complex,0.8666666666666667,0.97499999999999998,0.97499999999999998,0.97499999999999998
SNR_0_dB,cir,0.82499999999999996,0.96718749999999998,0.96718749999999998,0.96718749999999998
SNR_0_dB,amp_phase_joint,0.18333333333333332,0.859375,0.859375,0.859375
load_-20pct,amplitude,0.80000000000000004,0.9642857142857143,0.9642857142857143,0.9642857142857143
load_-20pct,phase,0.80000000000000004,0.9642857142857143,0.9642857142857143,0.9642857142857143
load_-20pct,complex,0.80000000000000004,0.9642857142857143,0.9642857142857143,0.9642857142857143
load_-20pct,cir,0.80000000000000004,0.9642857142857143,0.9642857142857143,0.9642857142857143
load_-20pct,amp_phase_joint,0.80000000000000004,0.9642857142857143,0.9642857142857143,0.9642857142857143
load_-10pct,amplitude,0.80000000000000004,0.9642857142857143,0.9642857142857143,0.9642857142857143
load_-10pct,phase,0.80000000000000004,0.9642857142857143,0.9642857142857143,0.9642857142857143
load_-10pct,complex,0.59999999999999998,0.9285714285714286,0.9285714285714286,0.9285714285714286
load_-10pct,cir,0.80000000000000004,0.9642857142857143,0.9642857142857143,0.9642857142857143
load_-10pct,amp_phase_joint,0.80000000000000004,0.9642857142857143,0.9642857142857143,0.9642857142857143
load_+10pct,amplitude,0.80000000000000004,0.9642857142857143,0.9642857142857143,0.9642857142857143
load_+10pct,phase,0.80000000000000004,0.9642857142857143,0.9642857142857143,0.9642857142857143
load_+10pct,complex,0.80000000000000004,0.9642857142857143,0.9642857142857143,0.9642857142857143
load_+10pct,cir,0.80000000000000004,0.9642857142857143,0.9642857142857143,0.9642857142857143
load_+10pct,amp_phase_joint,0.80000000000000004,0.9642857142857143,0.9642857142857143,0.9642857142857143
load_+20pct,amplitude,0.80000000000000004,0.9642857142857143,0.9642857142857143,0.9642857142857143
load_+20pct,phase,0.80000000000000004,0.9642857142857143,0.9642857142857143,0.9642857142857143
load_+20pct,complex,1,1,1,1
load_+20pct,cir,0.80000000000000004,0.9642857142857143,0.9642857142857143,0.9642857142857143
load_+20pct,amp_phase_joint,0.80000000000000004,0.9642857142857143,0.9642857142857143,0.9642857142857143
parallel_RLC_model,amplitude,0.80000000000000004,0.9642857142857143,0.9642857142857143,0.9642857142857143
parallel_RLC_model,phase,0.59999999999999998,0.93103448275862066,0.9642857142857143,0.94736842105263164
parallel_RLC_model,complex,1,1,1,1
parallel_RLC_model,cir,0.80000000000000004,0.9642857142857143,0.9642857142857143,0.9642857142857143
parallel_RLC_model,amp_phase_joint,0.59999999999999998,0.93103448275862066,0.9642857142857143,0.94736842105263164
length_-5pct,amplitude,0.66666666666666663,0.967741935483871,0.9375,0.95238095238095233
length_-5pct,phase,0.16666666666666666,1,0.8125,0.89655172413793105
length_-5pct,complex,0,0.92592592592592593,0.78125,0.84745762711864403
length_-5pct,cir,0,0.92592592592592593,0.78125,0.84745762711864403
length_-5pct,amp_phase_joint,0.16666666666666666,1,0.8125,0.89655172413793105
length_-2pct,amplitude,0.83333333333333337,0.96875,0.96875,0.96875
length_-2pct,phase,0.33333333333333331,0.96551724137931039,0.875,0.91803278688524581
length_-2pct,complex,0.66666666666666663,0.9375,0.9375,0.9375
length_-2pct,cir,0.83333333333333337,0.96875,0.96875,0.96875
length_-2pct,amp_phase_joint,0.33333333333333331,0.96551724137931039,0.875,0.91803278688524581
length_+2pct,amplitude,0.83333333333333337,0.96875,0.96875,0.96875
length_+2pct,phase,0.33333333333333331,0.88235294117647056,0.9375,0.90909090909090906
length_+2pct,complex,0.83333333333333337,0.96875,0.96875,0.96875
length_+2pct,cir,0.83333333333333337,0.96875,0.96875,0.96875
length_+2pct,amp_phase_joint,0.33333333333333331,0.88235294117647056,0.9375,0.90909090909090906
length_+5pct,amplitude,0.5,0.96666666666666667,0.90625,0.93548387096774188
length_+5pct,phase,0.16666666666666666,0.83333333333333337,0.9375,0.88235294117647056
length_+5pct,complex,0.16666666666666666,0.8928571428571429,0.78125,0.83333333333333337
length_+5pct,cir,0.16666666666666666,0.8928571428571429,0.78125,0.83333333333333337
