scenario,feature,accuracy_all,accuracy_branch_or_primary,intra_distance,inter_distance
load_-20pct,amplitude,0.83333333333333337,0.80000000000000004,0.00063818492477501739,0.003146878042769724
load_-20pct,phase,0.83333333333333337,0.80000000000000004,0.030098305526157061,0.13082026887532838
load_-20pct,complex,0.83333333333333337,0.80000000000000004,0.0010045461999502749,0.0053818334604812234
load_-20pct,cir,0.83333333333333337,0.80000000000000004,0.00066463022250924403,0.0035607413282976786
load_-20pct,amp_phase_joint,0.83333333333333337,0.80000000000000004,0.021288821536474774,0.092575063192757212
load_-10pct,amplitude,0.83333333333333337,0.80000000000000004,0.00031375300179669523,0.0030051820617008869
load_-10pct,phase,0.83333333333333337,0.80000000000000004,0.014725759505885463,0.12024976928996164
load_-10pct,complex,0.66666666666666663,0.59999999999999998,0.00049447839143069083,0.0051470439975489944
load_-10pct,cir,0.83333333333333337,0.80000000000000004,0.00032715795783096999,0.0034053993709051815
load_-10pct,amp_phase_joint,0.83333333333333337,0.80000000000000004,0.010415715194105477,0.085100581527927904
load_+10pct,amplitude,0.83333333333333337,0.80000000000000004,0.00030430171502572281,0.0029979555708459062
load_+10pct,phase,0.83333333333333337,0.80000000000000004,0.014142150215232121,0.10661426759900172
load_+10pct,complex,0.83333333333333337,0.80000000000000004,0.00048018348088437406,0.0050723944605806665
load_+10pct,cir,0.83333333333333337,0.80000000000000004,0.00031770012545091753,0.0033560095684571404
load_+10pct,amp_phase_joint,0.83333333333333337,0.80000000000000004,0.010002999188537462,0.075462014288110946
load_+20pct,amplitude,0.83333333333333337,0.80000000000000004,0.00060015195245276937,0.0031234127639289816
load_+20pct,phase,0.83333333333333337,0.80000000000000004,0.027752936110236215,0.10330525584359532
load_+20pct,complex,1,1,0.00094714647211080884,0.0052201974010224941
load_+20pct,cir,0.83333333333333337,0.80000000000000004,0.0006266532794002033,0.0034537992979869871
load_+20pct,amp_phase_joint,0.83333333333333337,0.80000000000000004,0.019630226668406938,0.073125328313120672
parallel_RLC_model,amplitude,0.83333333333333337,0.80000000000000004,0.0040038818578672,0.0055016295146228444
parallel_RLC_model,phase,0.66666666666666663,0.59999999999999998,0.17187615795188402,0.21278270389946422
parallel_RLC_model,complex,1,1,0.0059020365529776197,0.0085761427577968029
parallel_RLC_model,cir,0.83333333333333337,0.80000000000000004,0.0039049193234292055,0.0056741677681600693
parallel_RLC_model,amp_phase_joint,0.66666666666666663,0.59999999999999998,0.1215734167794992,0.15053300309922976
