feature,true_index,reference_index,distance
amplitude,1,1,0
amplitude,1,2,0.0079982082979841163
amplitude,1,3,0.0079050774480181538
amplitude,1,4,0.011670575628643926
amplitude,1,5,0.007905077448018152
amplitude,1,6,0.013629498884067623
amplitude,2,1,0.0079982082979841163
amplitude,2,2,0
amplitude,2,3,0.0071890016280362701
amplitude,2,4,0.0088127491363974193
amplitude,2,5,0.0071890016280362684
amplitude,2,6,0.010214877205643812
amplitude,3,1,0.0079050774480181538
amplitude,3,2,0.0071890016280362701
amplitude,3,3,0
amplitude,3,4,0.0047406181036706877
amplitude,3,5,1.005467814894718e-17
amplitude,3,6,0.0071201952914070731
amplitude,4,1,0.011670575628643926
amplitude,4,2,0.0088127491363974193
amplitude,4,3,0.0047406181036706877
amplitude,4,4,0
amplitude,4,5,0.0047406181036706886
amplitude,4,6,0.0036191919446126757
amplitude,5,1,0.007905077448018152
amplitude,5,2,0.0071890016280362684
amplitude,5,3,1.005467814894718e-17
amplitude,5,4,0.0047406181036706886
amplitude,5,5,0
amplitude,5,6,0.007120195291407074
amplitude,6,1,0.013629498884067623
amplitude,6,2,0.010214877205643812
amplitude,6,3,0.0071201952914070731
amplitude,6,4,0.0036191919446126757
amplitude,6,5,0.007120195291407074
amplitude,6,6,0
amplitude_raw_db,1,1,0
amplitude_raw_db,1,2,5.2094708648332739
amplitude_raw_db,1,3,5.0647264384480621
amplitude_raw_db,1,4,9.8622383928370922
amplitude_raw_db,1,5,5.0647264384480621
amplitude_raw_db,1,6,14.886203729454008
amplitude_raw_db,2,1,5.2094708648332739
amplitude_raw_db,2,2,0
amplitude_raw_db,2,3,3.1776387323426096
amplitude_raw_db,2,4,5.9008813821206081
amplitude_raw_db,2,5,3.1776387323426096
amplitude_raw_db,2,6,10.889911380722845
amplitude_raw_db,3,1,5.0647264384480621
amplitude_raw_db,3,2,3.1776387323426096
amplitude_raw_db,3,3,0
amplitude_raw_db,3,4,5.089905604779104
amplitude_raw_db,3,5,3.7473814894191967e-15
amplitude_raw_db,3,6,10.089943712629776
amplitude_raw_db,4,1,9.8622383928370922
amplitude_raw_db,4,2,5.9008813821206081
amplitude_raw_db,4,3,5.089905604779104
amplitude_raw_db,4,4,0
amplitude_raw_db,4,5,5.089905604779104
amplitude_raw_db,4,6,5.3718788675231028
amplitude_raw_db,5,1,5.0647264384480621
amplitude_raw_db,5,2,3.1776387323426096
amplitude_raw_db,5,3,3.7473814894191967e-15
amplitude_raw_db,5,4,5.089905604779104
amplitude_raw_db,5,5,0
amplitude_raw_db,5,6,10.089943712629776
amplitude_raw_db,6,1,14.886203729454008
amplitude_raw_db,6,2,10.889911380722845
amplitude_raw_db,6,3,10.089943712629776
amplitude_raw_db,6,4,5.3718788675231028
amplitude_raw_db,6,5,10.089943712629776
amplitude_raw_db,6,6,0
amplitude_db_standardized,1,1,0
amplitude_db_standardized,1,2,1.0474684150480524
amplitude_db_standardized,1,3,1.0696138772805015
amplitude_db_standardized,1,4,1.2306537245255247
amplitude_db_standardized,1,5,1.0696138772805015
amplitude_db_standardized,1,6,1.2798440739743793
amplitude_db_standardized,2,1,1.0474684150480524
amplitude_db_standardized,2,2,0
amplitude_db_standardized,2,3,0.78558791736610212
amplitude_db_standardized,2,4,0.70427986574117962
amplitude_db_standardized,2,5,0.78558791736610223
amplitude_db_standardized,2,6,0.8059624970019964
amplitude_db_standardized,3,1,1.0696138772805015
amplitude_db_standardized,3,2,0.78558791736610212
amplitude_db_standardized,3,3,0
amplitude_db_standardized,3,4,0.38381179050081254
amplitude_db_standardized,3,5,1.0977465818246248e-15
amplitude_db_standardized,3,6,0.43994349890617829
amplitude_db_standardized,4,1,1.2306537245255247
amplitude_db_standardized,4,2,0.70427986574117962
amplitude_db_standardized,4,3,0.38381179050081254
amplitude_db_standardized,4,4,0
amplitude_db_standardized,4,5,0.38381179050081254
amplitude_db_standardized,4,6,0.23539172823883425
amplitude_db_standardized,5,1,1.0696138772805015
amplitude_db_standardized,5,2,0.78558791736610223
amplitude_db_standardized,5,3,1.0977465818246248e-15
amplitude_db_standardized,5,4,0.38381179050081254
amplitude_db_standardized,5,5,0
amplitude_db_standardized,5,6,0.43994349890617829
amplitude_db_standardized,6,1,1.2798440739743793
amplitude_db_standardized,6,2,0.8059624970019964
amplitude_db_standardized,6,3,0.43994349890617829
amplitude_db_standardized,6,4,0.23539172823883425
amplitude_db_standardized,6,5,0.43994349890617829
amplitude_db_standardized,6,6,0
phase,1,1,0
phase,1,2,0.40079899873041974
phase,1,3,0.15011125991868537
phase,1,4,0.45019200477235422
phase,1,5,0.15011125991868529
phase,1,6,0.66425922585813868
phase,2,1,0.40079899873041974
phase,2,2,0
phase,2,3,0.31541392039260407
phase,2,4,0.16387175832212697
phase,2,5,0.31541392039260419
phase,2,6,0.33952095133737736
phase,3,1,0.15011125991868537
phase,3,2,0.31541392039260407
phase,3,3,0
phase,3,4,0.3258141634342881
phase,3,5,3.0974035696153968e-16
phase,3,6,0.53646706853592729
phase,4,1,0.45019200477235422
phase,4,2,0.16387175832212697
phase,4,3,0.3258141634342881
phase,4,4,0
phase,4,5,0.32581416343428815
phase,4,6,0.22548007360590061
phase,5,1,0.15011125991868529
phase,5,2,0.31541392039260419
phase,5,3,3.0974035696153968e-16
phase,5,4,0.32581416343428815
phase,5,5,0
phase,5,6,0.53646706853592752
phase,6,1,0.66425922585813868
phase,6,2,0.33952095133737736
phase,6,3,0.53646706853592729
phase,6,4,0.22548007360590061
phase,6,5,0.53646706853592752
phase,6,6,0
phase_masked,1,1,0
phase_masked,1,2,0.40079899873041974
phase_masked,1,3,0.15011125991868537
phase_masked,1,4,0.45019200477235422
phase_masked,1,5,0.15011125991868529
phase_masked,1,6,0.66726072510027867
phase_masked,2,1,0.40079899873041974
phase_masked,2,2,0
phase_masked,2,3,0.31541392039260407
phase_masked,2,4,0.16387175832212697
phase_masked,2,5,0.31541392039260419
phase_masked,2,6,0.33743431521318501
phase_masked,3,1,0.15011125991868537
phase_masked,3,2,0.31541392039260407
phase_masked,3,3,0
phase_masked,3,4,0.3258141634342881
phase_masked,3,5,3.0974035696153968e-16
phase_masked,3,6,0.53650060884373096
phase_masked,4,1,0.45019200477235422
phase_masked,4,2,0.16387175832212697
phase_masked,4,3,0.3258141634342881
phase_masked,4,4,0
phase_masked,4,5,0.32581416343428815
phase_masked,4,6,0.22441109918901678
phase_masked,5,1,0.15011125991868529
phase_masked,5,2,0.31541392039260419
phase_masked,5,3,3.0974035696153968e-16
phase_masked,5,4,0.32581416343428815
phase_masked,5,5,0
phase_masked,5,6,0.53650060884373119
phase_masked,6,1,0.66726072510027867
phase_masked,6,2,0.33743431521318501
phase_masked,6,3,0.53650060884373096
phase_masked,6,4,0.22441109918901678
phase_masked,6,5,0.53650060884373119
phase_masked,6,6,0
phase_weighted,1,1,0
phase_weighted,1,2,0.3963853513255321
phase_weighted,1,3,0.14496272354483572
phase_weighted,1,4,0.43583225131765185
phase_weighted,1,5,0.14496272354483561
phase_weighted,1,6,0.59402015242206108
phase_weighted,2,1,0.3963853513255321
phase_weighted,2,2,0
phase_weighted,2,3,0.31397189949486537
phase_weighted,2,4,0.12984112622482341
phase_weighted,2,5,0.31397189949486554
phase_weighted,2,6,0.27552059628897591
phase_weighted,3,1,0.14496272354483572
phase_weighted,3,2,0.31397189949486537
phase_weighted,3,3,0
phase_weighted,3,4,0.3190798778274454
phase_weighted,3,5,2.9264107407907023e-16
phase_weighted,3,6,0.51359468670480302
phase_weighted,4,1,0.43583225131765185
phase_weighted,4,2,0.12984112622482341
phase_weighted,4,3,0.3190798778274454
phase_weighted,4,4,0
phase_weighted,4,5,0.31907987782744551
phase_weighted,4,6,0.20324765207046153
phase_weighted,5,1,0.14496272354483561
phase_weighted,5,2,0.31397189949486554
phase_weighted,5,3,2.9264107407907023e-16
phase_weighted,5,4,0.31907987782744551
phase_weighted,5,5,0
phase_weighted,5,6,0.51359468670480324
phase_weighted,6,1,0.59402015242206108
phase_weighted,6,2,0.27552059628897591
phase_weighted,6,3,0.51359468670480302
phase_weighted,6,4,0.20324765207046153
phase_weighted,6,5,0.51359468670480324
phase_weighted,6,6,0
complex,1,1,0
complex,1,2,0.011623963512522253
complex,1,3,0.011600127667302174
complex,1,4,0.018007229384249042
complex,1,5,0.011600127667302172
complex,1,6,0.022279575918715017
complex,2,1,0.011623963512522253
complex,2,2,0
complex,2,3,0.0099138778813737949
complex,2,4,0.012043698823872021
complex,2,5,0.0099138778813737949
complex,2,6,0.016294147234222494
complex,3,1,0.011600127667302174
complex,3,2,0.0099138778813737949
complex,3,3,0
complex,3,4,0.0087717555816084133
complex,3,5,1.1389221300010957e-17
