scenario,feature,true_id,predicted_id,count
main_length_-1percent,amplitude,T1,T1,1
main_length_-1percent,amplitude,T1,T2,0
main_length_-1percent,amplitude,T1,T3,0
main_length_-1percent,amplitude,T1,T4,0
main_length_-1percent,amplitude,T1,T5,0
main_length_-1percent,amplitude,T1,T6,0
main_length_-1percent,amplitude,T2,T1,0
main_length_-1percent,amplitude,T2,T2,1
main_length_-1percent,amplitude,T2,T3,0
main_length_-1percent,amplitude,T2,T4,0
main_length_-1percent,amplitude,T2,T5,0
main_length_-1percent,amplitude,T2,T6,0
main_length_-1percent,amplitude,T3,T1,0
main_length_-1percent,amplitude,T3,T2,0
main_length_-1percent,amplitude,T3,T3,0
main_length_-1percent,amplitude,T3,T4,0
main_length_-1percent,amplitude,T3,T5,1
main_length_-1percent,amplitude,T3,T6,0
main_length_-1percent,amplitude,T4,T1,0
main_length_-1percent,amplitude,T4,T2,0
main_length_-1percent,amplitude,T4,T3,0
main_length_-1percent,amplitude,T4,T4,1
main_length_-1percent,amplitude,T4,T5,0
main_length_-1percent,amplitude,T4,T6,0
main_length_-1percent,amplitude,T5,T1,0
main_length_-1percent,amplitude,T5,T2,0
main_length_-1percent,amplitude,T5,T3,0
main_length_-1percent,amplitude,T5,T4,0
main_length_-1percent,amplitude,T5,T5,1
main_length_-1percent,amplitude,T5,T6,0
main_length_-1percent,amplitude,T6,T1,0
main_length_-1percent,amplitude,T6,T2,0
main_length_-1percent,amplitude,T6,T3,0
main_length_-1percent,amplitude,T6,T4,0
main_length_-1percent,amplitude,T6,T5,0
main_length_-1percent,amplitude,T6,T6,1
main_length_-1percent,amplitude_raw_db,T1,T1,1
main_length_-1percent,amplitude_raw_db,T1,T2,0
main_length_-1percent,amplitude_raw_db,T1,T3,0
main_length_-1percent,amplitude_raw_db,T1,T4,0
main_length_-1percent,amplitude_raw_db,T1,T5,0
main_length_-1percent,amplitude_raw_db,T1,T6,0
main_length_-1percent,amplitude_raw_db,T2,T1,0
main_length_-1percent,amplitude_raw_db,T2,T2,1
