scenario,view_kind,method,strict_accuracy,group_accuracy,intra_distance,inter_distance,intra_inter_ratio,result_class
main_length_-1pct,siso_forward,joint,0.75,1,0.059796377380597829,0.083951690570297499,0.71227127142278257,ideal_noiseless_parameter_sweep
main_length_+1pct,siso_forward,joint,0.75,1,0.058973215199871691,0.085110781774912714,0.69289946549703363,ideal_noiseless_parameter_sweep
main_length_-2pct,siso_forward,joint,0.75,1,0.12382456364118918,0.13532521991717703,0.91501468622754445,ideal_noiseless_parameter_sweep
main_length_+2pct,siso_forward,joint,0.75,1,0.11898870217997029,0.13180720974767274,0.90274805458486096,ideal_noiseless_parameter_sweep
main_length_-5pct,siso_forward,joint,1,1,5.2908273128950547e-18,0.044800245680508437,1.1809817630524676e-16,ideal_noiseless_parameter_sweep
main_length_+5pct,siso_forward,joint,1,1,8.0548021367118647e-18,0.044305124332033277,1.8180294623139383e-16,ideal_noiseless_parameter_sweep
branch_length_-1pct,siso_forward,joint,0.75,1,0.0099096862421576819,0.048074161777607705,0.20613331310902813,ideal_noiseless_parameter_sweep
branch_length_+1pct,siso_forward,joint,0.75,1,0.0096691476825865093,0.048107429258566592,0.20099073743094895,ideal_noiseless_parameter_sweep
branch_length_-2pct,siso_forward,joint,0.75,1,0.019833792420147388,0.053285528023534479,0.3722172446407484,ideal_noiseless_parameter_sweep
branch_length_+2pct,siso_forward,joint,0.75,1,0.018969963323413906,0.052720855902551628,0.35981895586971646,ideal_noiseless_parameter_sweep
branch_length_-5pct,siso_forward,joint,1,1,4.2262597626700356e-18,0.044507961260021038,9.4955141575227426e-17,ideal_noiseless_parameter_sweep
branch_length_+5pct,siso_forward,joint,1,1,8.5286419757381504e-18,0.044501798693083752,1.9164712946903041e-16,ideal_noiseless_parameter_sweep
all_length_-5pct,siso_forward,joint,1,1,8.4297520280541093e-18,0.044133370330279607,1.910063057719957e-16,ideal_noiseless_parameter_sweep
all_length_+5pct,siso_forward,joint,1,1,7.5691395030930073e-18,0.043832913016776734,1.7268164450297824e-16,ideal_noiseless_parameter_sweep
