experiment,noise_mode,view_kind,snr_db,trial,true_id,method,predicted_id,correct,group_correct,nmse,amplitude_rmse_db,weighted_phase_rmse_deg,intra_distance,inter_distance,length_error_m,main_length_error_m,branch_length_error_m,load_relative_error,Zs_error_ohm,Zr_error_ohm
noise_only,fixed_received_snr,siso_forward,30,1,T2,oracle,T2,1,1,0.00096316250369212495,0.28209485406129498,1.6887793394434651,0.006643597048923252,0.092314519642776885,0,0,0,0,0,0
noise_only,fixed_received_snr,siso_forward,30,1,T2,joint,T2,1,1,0.00096316250369212495,0.28209485406129498,1.6887793394434651,0.0066435970489232511,0.08586235822103902,0,0,0,0,0,0
noise_only,fixed_received_snr,siso_forward,30,1,T2,single_feature,T2,1,1,0.00096316250369212495,0.28209485406129498,1.6887793394434651,0.00050082277887487361,0.0072121900599841169,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,siso_forward,30,1,T3,oracle,T3,1,1,0.0010448087196601077,0.28431385764400752,1.6127506477123779,0.0063465606157317531,0.0063465606157317748,0,0,0,0,0,0
noise_only,fixed_received_snr,siso_forward,30,1,T3,joint,T3,1,1,0.0010448087196601077,0.28431385764400752,1.6127506477123779,0.0063465606157317523,0.0063465606157317739,0,0,0,0,0,0
noise_only,fixed_received_snr,siso_forward,30,1,T3,single_feature,T5,0,1,0.0010448087196601077,0.28431385764400752,1.6127506477123779,0.00053007218145515833,0.0005300721814551579,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,siso_forward,30,1,T4,oracle,T4,1,1,0.00099010857169914263,0.59156284570043327,2.4617679087013267,0.0096779565659471604,0.092764810124289498,0,0,0,0,0,0
noise_only,fixed_received_snr,siso_forward,30,1,T4,joint,T4,1,1,0.00099010857169914263,0.59156284570043327,2.4617679087013267,0.0096088535809294023,0.088532572360904727,0,0,0,0,0,0
noise_only,fixed_received_snr,siso_forward,30,1,T4,single_feature,T4,1,1,0.00099010857169914263,0.59156284570043327,2.4617679087013267,0.00052853772869550935,0.0047648999108839745,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,siso_forward,30,1,T5,oracle,T5,1,1,0.0010512331061686875,0.29056869037356653,1.530537446177392,0.0060251299328127816,0.006025129932812792,0,0,0,0,0,0
noise_only,fixed_received_snr,siso_forward,30,1,T5,joint,T5,1,1,0.0010512331061686875,0.29056869037356653,1.530537446177392,0.0060251299328127851,0.0060251299328127937,0,0,0,0,0,0
noise_only,fixed_received_snr,siso_forward,30,1,T5,single_feature,T5,1,1,0.0010512331061686875,0.29056869037356653,1.530537446177392,0.00055101151878766583,0.00055101151878766594,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,siso_forward,30,2,T2,oracle,T2,1,1,0.0010238766565189685,0.30986681618213807,1.6307128231004013,0.0064171459415617096,0.092366708452916488,0,0,0,0,0,0
noise_only,fixed_received_snr,siso_forward,30,2,T2,joint,T2,1,1,0.0010238766565189685,0.30986681618213807,1.6307128231004013,0.0064171459415617114,0.086397751432105943,0,0,0,0,0,0
noise_only,fixed_received_snr,siso_forward,30,2,T2,single_feature,T2,1,1,0.0010238766565189685,0.30986681618213807,1.6307128231004013,0.00053357252921665905,0.0072080850618324492,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,siso_forward,30,2,T3,oracle,T3,1,1,0.0010175537598628495,0.26771023531150051,2.1189888471999567,0.0083323089202770977,0.0083323089202771705,0,0,0,0,0,0
noise_only,fixed_received_snr,siso_forward,30,2,T3,joint,T3,1,1,0.0010175537598628495,0.26771023531150051,2.1189888471999567,0.0064583725787256529,0.0064660354905220633,0,0,0,0,0,0
noise_only,fixed_received_snr,siso_forward,30,2,T3,single_feature,T5,0,1,0.0010175537598628495,0.26771023531150051,2.1189888471999567,0.00052056377747616129,0.00052056377747616096,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,siso_forward,30,2,T4,oracle,T4,1,1,0.0010080498351509829,0.56115826589176165,2.0633577108865673,0.0081140258465675855,0.092447999757212296,0,0,0,0,0,0
noise_only,fixed_received_snr,siso_forward,30,2,T4,joint,T4,1,1,0.0010080498351509829,0.56115826589176165,2.0633577108865673,0.008114025846567589,0.088612659482643991,0,0,0,0,0,0
noise_only,fixed_received_snr,siso_forward,30,2,T4,single_feature,T4,1,1,0.0010080498351509829,0.56115826589176165,2.0633577108865673,0.00052173373598654225,0.0047460402636281679,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,siso_forward,30,2,T5,oracle,T5,1,1,0.0010022472924330586,0.27382939651876381,1.5356806116142014,0.0060442180596585095,0.0060442180596585234,0,0,0,0,0,0
