measurement_kind,condition,snr_db,method,true_id,predicted_id,count
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,T2,T2,100
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,T2,T3,0
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,T2,T4,0
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,T2,T5,0
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,T3,T2,0
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,T3,T3,100
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,T3,T4,0
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,T3,T5,0
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,T4,T2,0
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,T4,T3,0
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,T4,T4,100
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,T4,T5,0
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,T5,T2,0
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,T5,T3,0
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,T5,T4,0
bidirectional_endpoint_fixed,noise_only,30,nominal_nearest,T5,T5,100
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,T2,T2,100
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,T2,T3,0
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,T2,T4,0
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,T2,T5,0
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,T3,T2,0
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,T3,T3,83
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,T3,T4,0
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,T3,T5,17
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,T4,T2,0
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,T4,T3,0
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,T4,T4,100
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,T4,T5,0
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,T5,T2,0
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,T5,T3,15
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,T5,T4,0
bidirectional_endpoint_fixed,noise_only,20,nominal_nearest,T5,T5,85
bidirectional_endpoint_fixed,noise_only,20,nuisance_aware_joint,T2,T2,100
bidirectional_endpoint_fixed,noise_only,20,nuisance_aware_joint,T2,T3,0
bidirectional_endpoint_fixed,noise_only,20,nuisance_aware_joint,T2,T4,0
bidirectional_endpoint_fixed,noise_only,20,nuisance_aware_joint,T2,T5,0
bidirectional_endpoint_fixed,noise_only,20,nuisance_aware_joint,T3,T2,0
bidirectional_endpoint_fixed,noise_only,20,nuisance_aware_joint,T3,T3,83
bidirectional_endpoint_fixed,noise_only,20,nuisance_aware_joint,T3,T4,0
bidirectional_endpoint_fixed,noise_only,20,nuisance_aware_joint,T3,T5,17
bidirectional_endpoint_fixed,noise_only,20,nuisance_aware_joint,T4,T2,0
bidirectional_endpoint_fixed,noise_only,20,nuisance_aware_joint,T4,T3,0
bidirectional_endpoint_fixed,noise_only,20,nuisance_aware_joint,T4,T4,100
bidirectional_endpoint_fixed,noise_only,20,nuisance_aware_joint,T4,T5,0
bidirectional_endpoint_fixed,noise_only,20,nuisance_aware_joint,T5,T2,0
bidirectional_endpoint_fixed,noise_only,20,nuisance_aware_joint,T5,T3,15
bidirectional_endpoint_fixed,noise_only,20,nuisance_aware_joint,T5,T4,0
bidirectional_endpoint_fixed,noise_only,20,nuisance_aware_joint,T5,T5,85
bidirectional_endpoint_fixed,noise_only,10,nominal_nearest,T2,T2,100
bidirectional_endpoint_fixed,noise_only,10,nominal_nearest,T2,T3,0
bidirectional_endpoint_fixed,noise_only,10,nominal_nearest,T2,T4,0
bidirectional_endpoint_fixed,noise_only,10,nominal_nearest,T2,T5,0
bidirectional_endpoint_fixed,noise_only,10,nominal_nearest,T3,T2,0
bidirectional_endpoint_fixed,noise_only,10,nominal_nearest,T3,T3,65
bidirectional_endpoint_fixed,noise_only,10,nominal_nearest,T3,T4,0
bidirectional_endpoint_fixed,noise_only,10,nominal_nearest,T3,T5,35
bidirectional_endpoint_fixed,noise_only,10,nominal_nearest,T4,T2,0
