mode,snr_db,pilot_spacing,input_mode,measurement_kind,feature_count,trials_per_topology,nfft,sample_rate_hz,cyclic_prefix_samples,frequency_start_hz,frequency_end_hz,frequency_count,random_seed,noise_kind
audit,5,1,ofdm_dense_ls,siso_forward,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,5,1,ofdm_dense_ls,bidirectional_endpoint_fixed,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,5,1,ofdm_dense_ls,dual_receiver_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,5,1,ofdm_dense_ls,three_view_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,5,2,ofdm_sparse_interp,siso_forward,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,5,2,ofdm_sparse_interp,bidirectional_endpoint_fixed,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,5,2,ofdm_sparse_interp,dual_receiver_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,5,2,ofdm_sparse_interp,three_view_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,5,4,ofdm_sparse_interp,siso_forward,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,5,4,ofdm_sparse_interp,bidirectional_endpoint_fixed,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,5,4,ofdm_sparse_interp,dual_receiver_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,5,4,ofdm_sparse_interp,three_view_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,5,8,ofdm_sparse_interp,siso_forward,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,5,8,ofdm_sparse_interp,bidirectional_endpoint_fixed,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,5,8,ofdm_sparse_interp,dual_receiver_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,5,8,ofdm_sparse_interp,three_view_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,10,1,ofdm_dense_ls,siso_forward,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,10,1,ofdm_dense_ls,bidirectional_endpoint_fixed,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,10,1,ofdm_dense_ls,dual_receiver_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,10,1,ofdm_dense_ls,three_view_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,10,2,ofdm_sparse_interp,siso_forward,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,10,2,ofdm_sparse_interp,bidirectional_endpoint_fixed,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,10,2,ofdm_sparse_interp,dual_receiver_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,10,2,ofdm_sparse_interp,three_view_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,10,4,ofdm_sparse_interp,siso_forward,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,10,4,ofdm_sparse_interp,bidirectional_endpoint_fixed,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,10,4,ofdm_sparse_interp,dual_receiver_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,10,4,ofdm_sparse_interp,three_view_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,10,8,ofdm_sparse_interp,siso_forward,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,10,8,ofdm_sparse_interp,bidirectional_endpoint_fixed,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,10,8,ofdm_sparse_interp,dual_receiver_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,10,8,ofdm_sparse_interp,three_view_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,15,1,ofdm_dense_ls,siso_forward,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,15,1,ofdm_dense_ls,bidirectional_endpoint_fixed,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,15,1,ofdm_dense_ls,dual_receiver_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,15,1,ofdm_dense_ls,three_view_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,15,2,ofdm_sparse_interp,siso_forward,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,15,2,ofdm_sparse_interp,bidirectional_endpoint_fixed,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,15,2,ofdm_sparse_interp,dual_receiver_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,15,2,ofdm_sparse_interp,three_view_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,15,4,ofdm_sparse_interp,siso_forward,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,15,4,ofdm_sparse_interp,bidirectional_endpoint_fixed,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,15,4,ofdm_sparse_interp,dual_receiver_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,15,4,ofdm_sparse_interp,three_view_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,15,8,ofdm_sparse_interp,siso_forward,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,15,8,ofdm_sparse_interp,bidirectional_endpoint_fixed,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,15,8,ofdm_sparse_interp,dual_receiver_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,15,8,ofdm_sparse_interp,three_view_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,20,1,ofdm_dense_ls,siso_forward,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,20,1,ofdm_dense_ls,bidirectional_endpoint_fixed,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,20,1,ofdm_dense_ls,dual_receiver_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,20,1,ofdm_dense_ls,three_view_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,20,2,ofdm_sparse_interp,siso_forward,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,20,2,ofdm_sparse_interp,bidirectional_endpoint_fixed,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,20,2,ofdm_sparse_interp,dual_receiver_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,20,2,ofdm_sparse_interp,three_view_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,20,4,ofdm_sparse_interp,siso_forward,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,20,4,ofdm_sparse_interp,bidirectional_endpoint_fixed,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,20,4,ofdm_sparse_interp,dual_receiver_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,20,4,ofdm_sparse_interp,three_view_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,20,8,ofdm_sparse_interp,siso_forward,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,20,8,ofdm_sparse_interp,bidirectional_endpoint_fixed,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,20,8,ofdm_sparse_interp,dual_receiver_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,20,8,ofdm_sparse_interp,three_view_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,30,1,ofdm_dense_ls,siso_forward,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,30,1,ofdm_dense_ls,bidirectional_endpoint_fixed,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,30,1,ofdm_dense_ls,dual_receiver_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,30,1,ofdm_dense_ls,three_view_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,30,2,ofdm_sparse_interp,siso_forward,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,30,2,ofdm_sparse_interp,bidirectional_endpoint_fixed,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,30,2,ofdm_sparse_interp,dual_receiver_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
audit,30,2,ofdm_sparse_interp,three_view_complete,4,50,4096,64000000,256,2000000,30000000,1793,20260821,white_awgn
