mode,snr_db,pilot_spacing,measurement_kind,feature,true_id,predicted_id,count
audit,5,1,siso_forward,amplitude,T2,T2,50
audit,5,1,siso_forward,amp_phase_joint_weighted,T2,T2,50
audit,5,1,siso_forward,cir,T2,T2,50
audit,5,1,siso_forward,toa,T2,T2,50
audit,5,1,siso_forward,amplitude,T3,T3,40
audit,5,1,siso_forward,amp_phase_joint_weighted,T3,T5,20
audit,5,1,siso_forward,cir,T3,T3,30
audit,5,1,siso_forward,toa,T3,T2,50
audit,5,1,siso_forward,amp_phase_joint_weighted,T3,T3,30
audit,5,1,siso_forward,amplitude,T3,T5,10
audit,5,1,siso_forward,cir,T3,T5,20
audit,5,1,siso_forward,amplitude,T4,T4,50
audit,5,1,siso_forward,amp_phase_joint_weighted,T4,T4,49
audit,5,1,siso_forward,cir,T4,T4,50
audit,5,1,siso_forward,toa,T4,T2,50
audit,5,1,siso_forward,amp_phase_joint_weighted,T4,T5,1
audit,5,1,siso_forward,amplitude,T5,T3,44
audit,5,1,siso_forward,amp_phase_joint_weighted,T5,T3,28
audit,5,1,siso_forward,cir,T5,T5,21
audit,5,1,siso_forward,toa,T5,T2,50
audit,5,1,siso_forward,amp_phase_joint_weighted,T5,T5,22
audit,5,1,siso_forward,cir,T5,T3,29
audit,5,1,siso_forward,amplitude,T5,T5,6
audit,5,1,bidirectional_endpoint_fixed,amplitude,T2,T2,50
audit,5,1,bidirectional_endpoint_fixed,amp_phase_joint_weighted,T2,T2,50
audit,5,1,bidirectional_endpoint_fixed,cir,T2,T2,50
audit,5,1,bidirectional_endpoint_fixed,toa,T2,T2,50
audit,5,1,bidirectional_endpoint_fixed,amplitude,T3,T3,43
audit,5,1,bidirectional_endpoint_fixed,amp_phase_joint_weighted,T3,T3,31
audit,5,1,bidirectional_endpoint_fixed,cir,T3,T3,41
audit,5,1,bidirectional_endpoint_fixed,toa,T3,T2,50
audit,5,1,bidirectional_endpoint_fixed,cir,T3,T5,9
audit,5,1,bidirectional_endpoint_fixed,amp_phase_joint_weighted,T3,T5,19
audit,5,1,bidirectional_endpoint_fixed,amplitude,T3,T5,7
audit,5,1,bidirectional_endpoint_fixed,amplitude,T4,T4,50
audit,5,1,bidirectional_endpoint_fixed,amp_phase_joint_weighted,T4,T4,50
audit,5,1,bidirectional_endpoint_fixed,cir,T4,T4,50
audit,5,1,bidirectional_endpoint_fixed,toa,T4,T2,50
audit,5,1,bidirectional_endpoint_fixed,amplitude,T5,T3,44
audit,5,1,bidirectional_endpoint_fixed,amp_phase_joint_weighted,T5,T5,22
audit,5,1,bidirectional_endpoint_fixed,cir,T5,T3,42
audit,5,1,bidirectional_endpoint_fixed,toa,T5,T2,50
audit,5,1,bidirectional_endpoint_fixed,amp_phase_joint_weighted,T5,T3,28
audit,5,1,bidirectional_endpoint_fixed,amplitude,T5,T5,6
audit,5,1,bidirectional_endpoint_fixed,cir,T5,T5,8
audit,5,1,dual_receiver_complete,amplitude,T2,T2,50
audit,5,1,dual_receiver_complete,amp_phase_joint_weighted,T2,T2,39
audit,5,1,dual_receiver_complete,cir,T2,T2,50
audit,5,1,dual_receiver_complete,toa,T2,T2,50
audit,5,1,dual_receiver_complete,amp_phase_joint_weighted,T2,T3,11
audit,5,1,dual_receiver_complete,amplitude,T3,T3,50
audit,5,1,dual_receiver_complete,amp_phase_joint_weighted,T3,T3,42
audit,5,1,dual_receiver_complete,cir,T3,T3,50
audit,5,1,dual_receiver_complete,toa,T3,T2,50
audit,5,1,dual_receiver_complete,amp_phase_joint_weighted,T3,T2,8
audit,5,1,dual_receiver_complete,amplitude,T4,T4,50
audit,5,1,dual_receiver_complete,amp_phase_joint_weighted,T4,T4,44
audit,5,1,dual_receiver_complete,cir,T4,T4,50
audit,5,1,dual_receiver_complete,toa,T4,T4,50
audit,5,1,dual_receiver_complete,amp_phase_joint_weighted,T4,T2,5
audit,5,1,dual_receiver_complete,amp_phase_joint_weighted,T4,T5,1
audit,5,1,dual_receiver_complete,amplitude,T5,T5,50
audit,5,1,dual_receiver_complete,amp_phase_joint_weighted,T5,T5,42
audit,5,1,dual_receiver_complete,cir,T5,T5,50
audit,5,1,dual_receiver_complete,toa,T5,T2,50
audit,5,1,dual_receiver_complete,amp_phase_joint_weighted,T5,T4,6
audit,5,1,dual_receiver_complete,amp_phase_joint_weighted,T5,T2,2
audit,5,1,three_view_complete,amplitude,T2,T2,50
audit,5,1,three_view_complete,amp_phase_joint_weighted,T2,T2,50
audit,5,1,three_view_complete,cir,T2,T2,50
audit,5,1,three_view_complete,toa,T2,T2,50
audit,5,1,three_view_complete,amplitude,T3,T3,50
audit,5,1,three_view_complete,amp_phase_joint_weighted,T3,T3,50
audit,5,1,three_view_complete,cir,T3,T3,50
audit,5,1,three_view_complete,toa,T3,T2,50
audit,5,1,three_view_complete,amplitude,T4,T4,50
audit,5,1,three_view_complete,amp_phase_joint_weighted,T4,T4,46
audit,5,1,three_view_complete,cir,T4,T4,50
audit,5,1,three_view_complete,toa,T4,T4,50
audit,5,1,three_view_complete,amp_phase_joint_weighted,T4,T2,4
audit,5,1,three_view_complete,amplitude,T5,T5,50
audit,5,1,three_view_complete,amp_phase_joint_weighted,T5,T5,49
audit,5,1,three_view_complete,cir,T5,T5,50
audit,5,1,three_view_complete,toa,T5,T2,50
audit,5,1,three_view_complete,amp_phase_joint_weighted,T5,T2,1
audit,5,2,siso_forward,amplitude,T2,T2,50
audit,5,2,siso_forward,amp_phase_joint_weighted,T2,T2,50
audit,5,2,siso_forward,cir,T2,T2,50
audit,5,2,siso_forward,toa,T2,T2,50
audit,5,2,siso_forward,amplitude,T3,T3,33
audit,5,2,siso_forward,amp_phase_joint_weighted,T3,T3,30
audit,5,2,siso_forward,cir,T3,T3,24
audit,5,2,siso_forward,toa,T3,T2,50
audit,5,2,siso_forward,amplitude,T3,T5,17
audit,5,2,siso_forward,amp_phase_joint_weighted,T3,T5,20
audit,5,2,siso_forward,cir,T3,T5,26
audit,5,2,siso_forward,amplitude,T4,T4,50
audit,5,2,siso_forward,amp_phase_joint_weighted,T4,T4,50
audit,5,2,siso_forward,cir,T4,T4,50
audit,5,2,siso_forward,toa,T4,T2,50
audit,5,2,siso_forward,amplitude,T5,T3,32
audit,5,2,siso_forward,amp_phase_joint_weighted,T5,T3,24
audit,5,2,siso_forward,cir,T5,T5,24
audit,5,2,siso_forward,toa,T5,T2,50
audit,5,2,siso_forward,amplitude,T5,T5,18
audit,5,2,siso_forward,amp_phase_joint_weighted,T5,T5,26
audit,5,2,siso_forward,cir,T5,T3,26
audit,5,2,bidirectional_endpoint_fixed,amplitude,T2,T2,50
audit,5,2,bidirectional_endpoint_fixed,amp_phase_joint_weighted,T2,T2,50
audit,5,2,bidirectional_endpoint_fixed,cir,T2,T2,50
audit,5,2,bidirectional_endpoint_fixed,toa,T2,T2,50
audit,5,2,bidirectional_endpoint_fixed,amplitude,T3,T5,15
audit,5,2,bidirectional_endpoint_fixed,amp_phase_joint_weighted,T3,T3,29
audit,5,2,bidirectional_endpoint_fixed,cir,T3,T3,41
audit,5,2,bidirectional_endpoint_fixed,toa,T3,T2,50
audit,5,2,bidirectional_endpoint_fixed,amplitude,T3,T3,35
audit,5,2,bidirectional_endpoint_fixed,amp_phase_joint_weighted,T3,T5,21
audit,5,2,bidirectional_endpoint_fixed,cir,T3,T5,9
audit,5,2,bidirectional_endpoint_fixed,amplitude,T4,T4,50
audit,5,2,bidirectional_endpoint_fixed,amp_phase_joint_weighted,T4,T4,50
audit,5,2,bidirectional_endpoint_fixed,cir,T4,T4,50
audit,5,2,bidirectional_endpoint_fixed,toa,T4,T2,50
audit,5,2,bidirectional_endpoint_fixed,amplitude,T5,T3,40
audit,5,2,bidirectional_endpoint_fixed,amp_phase_joint_weighted,T5,T3,30
audit,5,2,bidirectional_endpoint_fixed,cir,T5,T5,15
audit,5,2,bidirectional_endpoint_fixed,toa,T5,T2,50
audit,5,2,bidirectional_endpoint_fixed,amp_phase_joint_weighted,T5,T5,20
audit,5,2,bidirectional_endpoint_fixed,cir,T5,T3,35
audit,5,2,bidirectional_endpoint_fixed,amplitude,T5,T5,10
audit,5,2,dual_receiver_complete,amplitude,T2,T2,50
audit,5,2,dual_receiver_complete,amp_phase_joint_weighted,T2,T2,46
audit,5,2,dual_receiver_complete,cir,T2,T2,50
audit,5,2,dual_receiver_complete,toa,T2,T2,50
audit,5,2,dual_receiver_complete,amp_phase_joint_weighted,T2,T3,4
audit,5,2,dual_receiver_complete,amplitude,T3,T3,50
audit,5,2,dual_receiver_complete,amp_phase_joint_weighted,T3,T3,45
audit,5,2,dual_receiver_complete,cir,T3,T3,50
audit,5,2,dual_receiver_complete,toa,T3,T2,50
audit,5,2,dual_receiver_complete,amp_phase_joint_weighted,T3,T2,5
audit,5,2,dual_receiver_complete,amplitude,T4,T4,50
audit,5,2,dual_receiver_complete,amp_phase_joint_weighted,T4,T4,45
audit,5,2,dual_receiver_complete,cir,T4,T4,50
audit,5,2,dual_receiver_complete,toa,T4,T4,50
audit,5,2,dual_receiver_complete,amp_phase_joint_weighted,T4,T2,5
audit,5,2,dual_receiver_complete,amplitude,T5,T5,50
audit,5,2,dual_receiver_complete,amp_phase_joint_weighted,T5,T5,48
audit,5,2,dual_receiver_complete,cir,T5,T5,50
audit,5,2,dual_receiver_complete,toa,T5,T2,50
audit,5,2,dual_receiver_complete,amp_phase_joint_weighted,T5,T2,2
audit,5,2,three_view_complete,amplitude,T2,T2,50
audit,5,2,three_view_complete,amp_phase_joint_weighted,T2,T2,50
audit,5,2,three_view_complete,cir,T2,T2,50
audit,5,2,three_view_complete,toa,T2,T2,50
audit,5,2,three_view_complete,amplitude,T3,T3,50
audit,5,2,three_view_complete,amp_phase_joint_weighted,T3,T3,50
audit,5,2,three_view_complete,cir,T3,T3,50
audit,5,2,three_view_complete,toa,T3,T2,50
audit,5,2,three_view_complete,amplitude,T4,T4,50
audit,5,2,three_view_complete,amp_phase_joint_weighted,T4,T4,46
audit,5,2,three_view_complete,cir,T4,T4,50
audit,5,2,three_view_complete,toa,T4,T4,50
audit,5,2,three_view_complete,amp_phase_joint_weighted,T4,T2,4
audit,5,2,three_view_complete,amplitude,T5,T5,50
audit,5,2,three_view_complete,amp_phase_joint_weighted,T5,T5,50
audit,5,2,three_view_complete,cir,T5,T5,50
audit,5,2,three_view_complete,toa,T5,T2,50
audit,5,4,siso_forward,amplitude,T2,T2,50
audit,5,4,siso_forward,amp_phase_joint_weighted,T2,T2,50
audit,5,4,siso_forward,cir,T2,T2,50
audit,5,4,siso_forward,toa,T2,T2,50
audit,5,4,siso_forward,amplitude,T3,T3,35
audit,5,4,siso_forward,amp_phase_joint_weighted,T3,T3,22
audit,5,4,siso_forward,cir,T3,T5,19
audit,5,4,siso_forward,toa,T3,T2,50
audit,5,4,siso_forward,amplitude,T3,T5,15
audit,5,4,siso_forward,amp_phase_joint_weighted,T3,T5,28
audit,5,4,siso_forward,cir,T3,T3,31
audit,5,4,siso_forward,amplitude,T4,T4,50
audit,5,4,siso_forward,amp_phase_joint_weighted,T4,T4,50
audit,5,4,siso_forward,cir,T4,T4,50
audit,5,4,siso_forward,toa,T4,T2,50
audit,5,4,siso_forward,amplitude,T5,T3,36
audit,5,4,siso_forward,amp_phase_joint_weighted,T5,T3,30
audit,5,4,siso_forward,cir,T5,T3,32
audit,5,4,siso_forward,toa,T5,T2,50
audit,5,4,siso_forward,cir,T5,T5,18
audit,5,4,siso_forward,amplitude,T5,T5,14
audit,5,4,siso_forward,amp_phase_joint_weighted,T5,T5,20
audit,5,4,bidirectional_endpoint_fixed,amplitude,T2,T2,50
audit,5,4,bidirectional_endpoint_fixed,amp_phase_joint_weighted,T2,T2,50
audit,5,4,bidirectional_endpoint_fixed,cir,T2,T2,50
audit,5,4,bidirectional_endpoint_fixed,toa,T2,T2,50
audit,5,4,bidirectional_endpoint_fixed,amplitude,T3,T5,8
audit,5,4,bidirectional_endpoint_fixed,amp_phase_joint_weighted,T3,T5,27
audit,5,4,bidirectional_endpoint_fixed,cir,T3,T3,42
audit,5,4,bidirectional_endpoint_fixed,toa,T3,T2,50
audit,5,4,bidirectional_endpoint_fixed,amplitude,T3,T3,42
audit,5,4,bidirectional_endpoint_fixed,amp_phase_joint_weighted,T3,T3,23
audit,5,4,bidirectional_endpoint_fixed,cir,T3,T5,8
audit,5,4,bidirectional_endpoint_fixed,amplitude,T4,T4,50
audit,5,4,bidirectional_endpoint_fixed,amp_phase_joint_weighted,T4,T4,50
audit,5,4,bidirectional_endpoint_fixed,cir,T4,T4,50
audit,5,4,bidirectional_endpoint_fixed,toa,T4,T2,50
audit,5,4,bidirectional_endpoint_fixed,amplitude,T5,T3,37
audit,5,4,bidirectional_endpoint_fixed,amp_phase_joint_weighted,T5,T5,25
audit,5,4,bidirectional_endpoint_fixed,cir,T5,T3,36
audit,5,4,bidirectional_endpoint_fixed,toa,T5,T2,50
audit,5,4,bidirectional_endpoint_fixed,amp_phase_joint_weighted,T5,T3,25
audit,5,4,bidirectional_endpoint_fixed,cir,T5,T5,14
audit,5,4,bidirectional_endpoint_fixed,amplitude,T5,T5,13
audit,5,4,dual_receiver_complete,amplitude,T2,T2,50
audit,5,4,dual_receiver_complete,amp_phase_joint_weighted,T2,T2,48
audit,5,4,dual_receiver_complete,cir,T2,T2,50
audit,5,4,dual_receiver_complete,toa,T2,T2,50
audit,5,4,dual_receiver_complete,amp_phase_joint_weighted,T2,T3,2
audit,5,4,dual_receiver_complete,amplitude,T3,T3,50
audit,5,4,dual_receiver_complete,amp_phase_joint_weighted,T3,T3,47
audit,5,4,dual_receiver_complete,cir,T3,T3,50
audit,5,4,dual_receiver_complete,toa,T3,T2,50
audit,5,4,dual_receiver_complete,amp_phase_joint_weighted,T3,T2,3
audit,5,4,dual_receiver_complete,amplitude,T4,T4,50
audit,5,4,dual_receiver_complete,amp_phase_joint_weighted,T4,T4,48
audit,5,4,dual_receiver_complete,cir,T4,T4,50
audit,5,4,dual_receiver_complete,toa,T4,T4,50
audit,5,4,dual_receiver_complete,amp_phase_joint_weighted,T4,T2,2
audit,5,4,dual_receiver_complete,amplitude,T5,T5,50
audit,5,4,dual_receiver_complete,amp_phase_joint_weighted,T5,T5,50
audit,5,4,dual_receiver_complete,cir,T5,T5,50
audit,5,4,dual_receiver_complete,toa,T5,T2,50
audit,5,4,three_view_complete,amplitude,T2,T2,50
audit,5,4,three_view_complete,amp_phase_joint_weighted,T2,T2,50
audit,5,4,three_view_complete,cir,T2,T2,50
audit,5,4,three_view_complete,toa,T2,T2,50
audit,5,4,three_view_complete,amplitude,T3,T3,50
audit,5,4,three_view_complete,amp_phase_joint_weighted,T3,T3,50
audit,5,4,three_view_complete,cir,T3,T3,50
audit,5,4,three_view_complete,toa,T3,T2,50
audit,5,4,three_view_complete,amplitude,T4,T4,50
audit,5,4,three_view_complete,amp_phase_joint_weighted,T4,T4,47
audit,5,4,three_view_complete,cir,T4,T4,50
audit,5,4,three_view_complete,toa,T4,T4,50
audit,5,4,three_view_complete,amp_phase_joint_weighted,T4,T2,3
audit,5,4,three_view_complete,amplitude,T5,T5,50
audit,5,4,three_view_complete,amp_phase_joint_weighted,T5,T5,50
audit,5,4,three_view_complete,cir,T5,T5,50
audit,5,4,three_view_complete,toa,T5,T2,50
audit,5,8,siso_forward,amplitude,T2,T2,50
audit,5,8,siso_forward,amp_phase_joint_weighted,T2,T2,50
audit,5,8,siso_forward,cir,T2,T2,50
audit,5,8,siso_forward,toa,T2,T2,50
audit,5,8,siso_forward,amplitude,T3,T3,35
audit,5,8,siso_forward,amp_phase_joint_weighted,T3,T5,30
audit,5,8,siso_forward,cir,T3,T3,27
audit,5,8,siso_forward,toa,T3,T2,50
audit,5,8,siso_forward,amp_phase_joint_weighted,T3,T3,20
audit,5,8,siso_forward,cir,T3,T5,23
audit,5,8,siso_forward,amplitude,T3,T5,15
audit,5,8,siso_forward,amplitude,T4,T4,50
audit,5,8,siso_forward,amp_phase_joint_weighted,T4,T4,50
audit,5,8,siso_forward,cir,T4,T4,50
audit,5,8,siso_forward,toa,T4,T2,50
audit,5,8,siso_forward,amplitude,T5,T3,36
audit,5,8,siso_forward,amp_phase_joint_weighted,T5,T5,22
audit,5,8,siso_forward,cir,T5,T3,30
audit,5,8,siso_forward,toa,T5,T2,50
audit,5,8,siso_forward,cir,T5,T5,20
audit,5,8,siso_forward,amplitude,T5,T5,14
audit,5,8,siso_forward,amp_phase_joint_weighted,T5,T3,28
audit,5,8,bidirectional_endpoint_fixed,amplitude,T2,T2,50
audit,5,8,bidirectional_endpoint_fixed,amp_phase_joint_weighted,T2,T2,50
audit,5,8,bidirectional_endpoint_fixed,cir,T2,T2,50
audit,5,8,bidirectional_endpoint_fixed,toa,T2,T2,50
audit,5,8,bidirectional_endpoint_fixed,amplitude,T3,T3,42
audit,5,8,bidirectional_endpoint_fixed,amp_phase_joint_weighted,T3,T5,22
audit,5,8,bidirectional_endpoint_fixed,cir,T3,T3,36
audit,5,8,bidirectional_endpoint_fixed,toa,T3,T2,50
audit,5,8,bidirectional_endpoint_fixed,amp_phase_joint_weighted,T3,T3,28
audit,5,8,bidirectional_endpoint_fixed,cir,T3,T5,14
audit,5,8,bidirectional_endpoint_fixed,amplitude,T3,T5,8
audit,5,8,bidirectional_endpoint_fixed,amplitude,T4,T4,50
audit,5,8,bidirectional_endpoint_fixed,amp_phase_joint_weighted,T4,T4,50
audit,5,8,bidirectional_endpoint_fixed,cir,T4,T4,50
audit,5,8,bidirectional_endpoint_fixed,toa,T4,T2,50
audit,5,8,bidirectional_endpoint_fixed,amplitude,T5,T3,38
audit,5,8,bidirectional_endpoint_fixed,amp_phase_joint_weighted,T5,T3,29
audit,5,8,bidirectional_endpoint_fixed,cir,T5,T5,17
audit,5,8,bidirectional_endpoint_fixed,toa,T5,T2,50
audit,5,8,bidirectional_endpoint_fixed,amplitude,T5,T5,12
audit,5,8,bidirectional_endpoint_fixed,amp_phase_joint_weighted,T5,T5,21
audit,5,8,bidirectional_endpoint_fixed,cir,T5,T3,33
audit,5,8,dual_receiver_complete,amplitude,T2,T2,50
audit,5,8,dual_receiver_complete,amp_phase_joint_weighted,T2,T2,49
audit,5,8,dual_receiver_complete,cir,T2,T2,50
audit,5,8,dual_receiver_complete,toa,T2,T2,50
audit,5,8,dual_receiver_complete,amp_phase_joint_weighted,T2,T3,1
audit,5,8,dual_receiver_complete,amplitude,T3,T3,50
audit,5,8,dual_receiver_complete,amp_phase_joint_weighted,T3,T3,49
audit,5,8,dual_receiver_complete,cir,T3,T3,50
audit,5,8,dual_receiver_complete,toa,T3,T2,50
audit,5,8,dual_receiver_complete,amp_phase_joint_weighted,T3,T2,1
audit,5,8,dual_receiver_complete,amplitude,T4,T4,50
audit,5,8,dual_receiver_complete,amp_phase_joint_weighted,T4,T4,50
audit,5,8,dual_receiver_complete,cir,T4,T4,50
audit,5,8,dual_receiver_complete,toa,T4,T4,50
audit,5,8,dual_receiver_complete,amplitude,T5,T5,50
audit,5,8,dual_receiver_complete,amp_phase_joint_weighted,T5,T5,50
audit,5,8,dual_receiver_complete,cir,T5,T5,50
audit,5,8,dual_receiver_complete,toa,T5,T2,50
audit,5,8,three_view_complete,amplitude,T2,T2,50
