mode,snr_db,pilot_spacing,input_mode,measurement_kind,observation_mode,feature,trials,strict_accuracy,strict_accuracy_std,strict_accuracy_ci95,strict_unique_rate,strict_unique_rate_std,strict_unique_ci95,equivalence_class_rate,ambiguity_rate,false_unique_rate,physically_ambiguous_class_rate,cfr_nmse,cfr_nmse_std,cfr_nmse_ci95,amplitude_rmse_db,weighted_phase_rmse_deg,circular_delay_error_s,mean_margin,view_count,frequency_count,edge_precision,edge_recall,edge_f1,runtime_s
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,200,0.73,0.44507353579078,0.0616840449957295,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.130316233948061,0.00288830405977931,0.000400298519812523,3.45097322204585,22.1672297113074,0,0.000968176548078648,1,1793,0.945999999999999,0.945999999999999,0.945999999999999,2.48028465
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,200,0.755,0.431166467403328,0.0597566236525438,0.495,0.50122964375513,0.0694668844860701,0.995,0.505,0,0.5,0.130316233948061,0.00288830405977931,0.000400298519812523,3.45097322204585,22.1672297113074,0,0.0208862758062417,1,1793,0.952,0.951166666666666,0.951545454545454,2.484917235
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,200,0.755,0.431166467403328,0.0597566236525438,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.130316233948061,0.00288830405977931,0.000400298519812523,3.45097322204585,22.1672297113074,0,0.001339901638806,1,1793,0.951,0.951,0.951,2.491141555
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,200,0.25,0.434099310129925,0.0601630949166493,0,0,0,0.25,1,0,0.5,0.130316233948061,0.00288830405977931,0.000400298519812523,3.45097322204585,22.1672297113074,0,0,1,1793,0.85,0.816666666666666,0.831818181818181,2.492820705
audit,5,1,ofdm_dense_ls,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,amplitude,200,0.745,0.436954972784618,0.0605588695685206,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.130306703615629,0.00203641576889517,0.000282232826302195,3.44943219181899,22.0201200346322,0,0.000961188905517377,2,1793,0.948999999999999,0.948999999999999,0.948999999999999,7.994209645
audit,5,1,ofdm_dense_ls,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,amp_phase_joint_weighted,200,0.765,0.425062809429147,0.0589106998156007,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.130306703615629,0.00203641576889517,0.000282232826302195,3.44943219181899,22.0201200346322,0,0.0208056019321067,2,1793,0.953,0.953,0.953,8.001660575
audit,5,1,ofdm_dense_ls,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,cir,200,0.745,0.436954972784618,0.0605588695685206,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.130306703615629,0.00203641576889517,0.000282232826302195,3.44943219181899,22.0201200346322,0,0.00133520234852534,2,1793,0.949,0.949,0.949,8.01204908
audit,5,1,ofdm_dense_ls,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,toa,200,0.25,0.434099310129925,0.0601630949166493,0,0,0,0.25,1,0,0.5,0.130306703615629,0.00203641576889517,0.000282232826302195,3.44943219181899,22.0201200346322,0,0,2,1793,0.85,0.816666666666666,0.831818181818181,8.014304375
audit,5,1,ofdm_dense_ls,dual_receiver_complete,ordinary_ofdm_cfr,amplitude,200,1,0,0,1,0,0,1,0,0,0,0.130323781032351,0.00202155592350035,0.000280173356802766,3.74266091745006,34.3813694442194,0,0.00213196209801331,2,1793,1,1,1,14.349653115
audit,5,1,ofdm_dense_ls,dual_receiver_complete,ordinary_ofdm_cfr,amp_phase_joint_weighted,200,0.835,0.372111994812606,0.051572091318998,0.835,0.372111994812606,0.051572091318998,0.835,0,0,0,0.130323781032351,0.00202155592350035,0.000280173356802766,3.74266091745006,34.3813694442194,0,0.019849275442735,2,1793,0.969,0.969833333333333,0.969,14.35658317
audit,5,1,ofdm_dense_ls,dual_receiver_complete,ordinary_ofdm_cfr,cir,200,1,0,0,1,0,0,1,0,0,0,0.130323781032351,0.00202155592350035,0.000280173356802766,3.74266091745006,34.3813694442194,0,0.00210143880154435,2,1793,1,1,1,14.36654571
audit,5,1,ofdm_dense_ls,dual_receiver_complete,ordinary_ofdm_cfr,toa,200,0.5,0.501254707117086,0.0694703580908169,0.25,0.434099310129925,0.0601630949166493,0.5,0.75,0,0,0.130323781032351,0.00202155592350035,0.000280173356802766,3.74266091745006,34.3813694442194,0,1.93349510480697e-08,2,1793,0.899999999999999,0.899999999999999,0.899999999999999,14.36855265
audit,5,1,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,amplitude,200,1,0,0,1,0,0,1,0,0,0,0.130387541662218,0.00169164065240262,0.000234449433022367,3.64152267965916,29.878576811932,0,0.00208224388634875,3,1793,1,1,1,21.934111305
audit,5,1,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,amp_phase_joint_weighted,200,0.975,0.156516732131699,0.0216921123612586,0.975,0.156516732131699,0.0216921123612586,0.975,0,0,0,0.130387541662218,0.00169164065240262,0.000234449433022367,3.64152267965916,29.878576811932,0,0.0351608977372146,3,1793,0.995,0.992333333333333,0.993545454545454,21.94395437
audit,5,1,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,cir,200,1,0,0,1,0,0,1,0,0,0,0.130387541662218,0.00169164065240262,0.000234449433022367,3.64152267965916,29.878576811932,0,0.00222573107091871,3,1793,1,1,1,21.958187945
audit,5,1,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,toa,200,0.5,0.501254707117086,0.0694703580908169,0.25,0.434099310129925,0.0601630949166493,0.5,0.75,0,0,0.130387541662218,0.00169164065240262,0.000234449433022367,3.64152267965916,29.878576811932,0,1.57869214231538e-08,3,1793,0.899999999999999,0.899999999999999,0.899999999999999,21.960806055
audit,5,2,ofdm_sparse_interp,siso_forward,ordinary_ofdm_cfr,amplitude,200,0.755,0.431166467403328,0.0597566236525438,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.049075480829727,0.00168185734466136,0.000233093535746096,2.32497634120757,13.8796922354106,0,0.00152301755399668,1,1793,0.951,0.951,0.951,28.075384205
audit,5,2,ofdm_sparse_interp,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,200,0.78,0.415285819114726,0.05755567809002,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.049075480829727,0.00168185734466136,0.000233093535746096,2.32497634120757,13.8796922354106,0,0.0262304449459149,1,1793,0.956,0.956,0.956,28.079225755
audit,5,2,ofdm_sparse_interp,siso_forward,ordinary_ofdm_cfr,cir,200,0.74,0.439734959004687,0.0609441560016526,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.049075480829727,0.00168185734466136,0.000233093535746096,2.32497634120757,13.8796922354106,0,0.00179752088738398,1,1793,0.948,0.948,0.948,28.08472491
audit,5,2,ofdm_sparse_interp,siso_forward,ordinary_ofdm_cfr,toa,200,0.25,0.434099310129925,0.0601630949166493,0,0,0,0.25,1,0,0.5,0.049075480829727,0.00168185734466136,0.000233093535746096,2.32497634120757,13.8796922354106,0,0,1,1793,0.85,0.816666666666666,0.831818181818181,28.086118485
audit,5,2,ofdm_sparse_interp,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,amplitude,200,0.725,0.447634766770981,0.0620390134994094,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.0490159731039014,0.00119203391765339,0.000165207472249108,2.32201947068853,13.6526488669424,0,0.00154088367561767,2,1793,0.944999999999999,0.944999999999999,0.944999999999999,32.86874874
audit,5,2,ofdm_sparse_interp,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,amp_phase_joint_weighted,200,0.745,0.436954972784618,0.0605588695685206,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.0490159731039014,0.00119203391765339,0.000165207472249108,2.32201947068853,13.6526488669424,0,0.0263036047527001,2,1793,0.949,0.949,0.949,32.875431895
audit,5,2,ofdm_sparse_interp,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,cir,200,0.78,0.415285819114726,0.05755567809002,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.0490159731039014,0.00119203391765339,0.000165207472249108,2.32201947068853,13.6526488669424,0,0.00179812728150519,2,1793,0.955999999999999,0.955999999999999,0.955999999999999,32.885199455
audit,5,2,ofdm_sparse_interp,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,toa,200,0.25,0.434099310129925,0.0601630949166493,0,0,0,0.25,1,0,0.5,0.0490159731039014,0.00119203391765339,0.000165207472249108,2.32201947068853,13.6526488669424,0,0,2,1793,0.85,0.816666666666666,0.831818181818181,32.887208535
