mode,snr_db,pilot_spacing,input_mode,measurement_kind,observation_mode,feature,trial,true_id,predicted_id,true_class,predicted_class,strict_correct,class_correct,strict_unique_correct,unique_identification,physically_ambiguous_class,ambiguous,false_unique,best_distance,second_best_distance,distance_margin,cfr_nmse,amplitude_rmse_db,weighted_phase_rmse_deg,circular_delay_error_s,view_count,frequency_count,edge_precision,edge_recall,edge_f1,seed,runtime_s
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,1,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00561377773864843,0.00873873254844529,0.00312495480979686,0.13005347132396,3.14754381484442,20.0956533309159,0,1,1793,1,1,1,21270822,0.297756
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,1,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.079042920108818,0.120521928735345,0.0414790086265274,0.13005347132396,3.14754381484442,20.0956533309159,0,1,1793,1,1,1,21270822,0.317579
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,1,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00537813227095325,0.00840177152622135,0.0030236392552681,0.13005347132396,3.14754381484442,20.0956533309159,0,1,1793,1,1,1,21270822,0.340085
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,1,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0.13005347132396,3.14754381484442,20.0956533309159,0,1,1793,1,1,1,21270822,0.350908
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,2,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00551736195381103,0.00878622645087121,0.00326886449706018,0.12974942137941,3.09220637498688,19.0068205693768,0,1,1793,1,1,1,21270823,0.398261
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,2,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0747676984419028,0.11721510558886,0.0424474071469575,0.12974942137941,3.09220637498688,19.0068205693768,0,1,1793,1,1,1,21270823,0.413156
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,2,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00538712696383107,0.00839781017258945,0.00301068320875838,0.12974942137941,3.09220637498688,19.0068205693768,0,1,1793,1,1,1,21270823,0.421148
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,2,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0.12974942137941,3.09220637498688,19.0068205693768,0,1,1793,1,1,1,21270823,0.426389
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,3,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00541227271343916,0.00875947014625504,0.00334719743281588,0.128118487837047,3.23623421142516,21.3114700776142,0,1,1793,1,1,1,21270824,0.439892
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,3,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0838067883952524,0.120128099543855,0.0363213111486026,0.128118487837047,3.23623421142516,21.3114700776142,0,1,1793,1,1,1,21270824,0.444068
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,3,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00530039381244194,0.00834306847163682,0.00304267465919488,0.128118487837047,3.23623421142516,21.3114700776142,0,1,1793,1,1,1,21270824,0.449884
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,3,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0.128118487837047,3.23623421142516,21.3114700776142,0,1,1793,1,1,1,21270824,0.452278
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,4,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00559464376054617,0.00876687664518645,0.00317223288464028,0.132658812145033,3.2812431362093,18.8615025372228,0,1,1793,1,1,1,21270825,0.46191
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,4,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0742005123791646,0.118377567707284,0.0441770553281198,0.132658812145033,3.2812431362093,18.8615025372228,0,1,1793,1,1,1,21270825,0.466465
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,4,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00540047918599989,0.00836109314021449,0.00296061395421461,0.132658812145033,3.2812431362093,18.8615025372228,0,1,1793,1,1,1,21270825,0.472652
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,4,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0.132658812145033,3.2812431362093,18.8615025372228,0,1,1793,1,1,1,21270825,0.474692
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,5,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00538113766736889,0.00844867296066642,0.00306753529329753,0.126840561029331,3.07749349245631,26.1728923405825,0,1,1793,1,1,1,21270826,0.491092
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,5,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.102887215661026,0.139475006587101,0.0365877909260746,0.126840561029331,3.07749349245631,26.1728923405825,0,1,1793,1,1,1,21270826,0.495402
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,5,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00529881556771265,0.00827848857520934,0.00297967300749669,0.126840561029331,3.07749349245631,26.1728923405825,0,1,1793,1,1,1,21270826,0.501133
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,5,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0.126840561029331,3.07749349245631,26.1728923405825,0,1,1793,1,1,1,21270826,0.508456
