split,scenario,measurement_kind,snr_db,calibration_trials,test_trials,grid_size,lambda_grid,selected_lambda,nfft,sample_rate_hz,cp_samples,frequency_count,random_seed_base,seed_offset,parameter_bounds_note
calibration,nominal_noise_20,siso_forward,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,52000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
calibration,nominal_noise_20,dual_receiver_complete,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,52000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
calibration,nominal_noise_20,dual_receiver_highz_complete,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,52000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
calibration,nominal_noise_20,dual_receiver_counterfactual,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,52000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
calibration,nominal_noise_20,three_view_complete,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,52000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
calibration,load_error_10,siso_forward,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,52000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
calibration,load_error_10,dual_receiver_complete,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,52000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
calibration,load_error_10,dual_receiver_highz_complete,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,52000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
calibration,load_error_10,dual_receiver_counterfactual,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,52000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
calibration,load_error_10,three_view_complete,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,52000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
calibration,joint_bounded,siso_forward,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,52000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
calibration,joint_bounded,dual_receiver_complete,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,52000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
calibration,joint_bounded,dual_receiver_highz_complete,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,52000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
calibration,joint_bounded,dual_receiver_counterfactual,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,52000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
calibration,joint_bounded,three_view_complete,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,52000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
test,nominal_noise_20,siso_forward,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,6200000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
test,nominal_noise_20,dual_receiver_complete,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,6200000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
test,nominal_noise_20,dual_receiver_highz_complete,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,6200000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
test,nominal_noise_20,dual_receiver_counterfactual,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,6200000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
test,nominal_noise_20,three_view_complete,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,6200000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
test,load_error_10,siso_forward,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,6200000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
test,load_error_10,dual_receiver_complete,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,6200000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
test,load_error_10,dual_receiver_highz_complete,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,6200000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
test,load_error_10,dual_receiver_counterfactual,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,6200000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
test,load_error_10,three_view_complete,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,6200000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
test,joint_bounded,siso_forward,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,6200000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
test,joint_bounded,dual_receiver_complete,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,6200000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
test,joint_bounded,dual_receiver_highz_complete,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,6200000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
test,joint_bounded,dual_receiver_counterfactual,20,1,2,27,0;0.001;0.01;0.05,0.05,4096,64000000,256,1793,20260821,6200000,"main=[0.98,1.02];branch=[0.98,1.02];load=[0.9,1.1];Zs=[49,51];Zr=[49,51]"
