split,scenario,measurement_kind,method,feature,true_id,predicted_id,count
test,nominal_noise_20,siso_forward,nominal_nearest,amp_phase_joint_weighted,T2,T2,2
test,nominal_noise_20,siso_forward,topology_only,amplitude,T2,T2,2
test,nominal_noise_20,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,T2,T2,2
test,nominal_noise_20,siso_forward,nominal_nearest,amp_phase_joint_weighted,T3,T5,1
test,nominal_noise_20,siso_forward,topology_only,amplitude,T3,T3,1
test,nominal_noise_20,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,T3,T5,1
test,nominal_noise_20,siso_forward,nominal_nearest,amp_phase_joint_weighted,T3,T3,1
test,nominal_noise_20,siso_forward,topology_only,amplitude,T3,T5,1
test,nominal_noise_20,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,T3,T3,1
test,nominal_noise_20,siso_forward,nominal_nearest,amp_phase_joint_weighted,T4,T4,2
test,nominal_noise_20,siso_forward,topology_only,amplitude,T4,T4,2
test,nominal_noise_20,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,T4,T4,2
test,nominal_noise_20,siso_forward,nominal_nearest,amp_phase_joint_weighted,T5,T5,1
test,nominal_noise_20,siso_forward,topology_only,amplitude,T5,T5,1
test,nominal_noise_20,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,T5,T5,1
test,nominal_noise_20,siso_forward,nominal_nearest,amp_phase_joint_weighted,T5,T3,1
test,nominal_noise_20,siso_forward,topology_only,amplitude,T5,T3,1
test,nominal_noise_20,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,T5,T3,1
test,nominal_noise_20,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,T2,T2,2
test,nominal_noise_20,dual_receiver_complete,topology_only,amplitude,T2,T2,2
test,nominal_noise_20,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,T2,T2,2
test,nominal_noise_20,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,T3,T3,2
test,nominal_noise_20,dual_receiver_complete,topology_only,amplitude,T3,T3,2
test,nominal_noise_20,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,T3,T3,2
test,nominal_noise_20,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,T4,T4,2
test,nominal_noise_20,dual_receiver_complete,topology_only,amplitude,T4,T4,2
test,nominal_noise_20,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,T4,T4,2
test,nominal_noise_20,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,T5,T5,2
test,nominal_noise_20,dual_receiver_complete,topology_only,amplitude,T5,T5,2
test,nominal_noise_20,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,T5,T5,2
test,nominal_noise_20,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,T2,T2,2
test,nominal_noise_20,dual_receiver_highz_complete,topology_only,amplitude,T2,T2,2
test,nominal_noise_20,dual_receiver_highz_complete,nuisance_aware_joint,amp_phase_joint_weighted,T2,T2,2
test,nominal_noise_20,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,T3,T3,2
test,nominal_noise_20,dual_receiver_highz_complete,topology_only,amplitude,T3,T3,2
test,nominal_noise_20,dual_receiver_highz_complete,nuisance_aware_joint,amp_phase_joint_weighted,T3,T3,2
test,nominal_noise_20,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,T4,T4,2
test,nominal_noise_20,dual_receiver_highz_complete,topology_only,amplitude,T4,T4,2
