split,scenario,measurement_kind,observation_mode,method,feature,snr_db,lambda,trials,strict_accuracy,strict_unique_rate,equivalence_class_rate,ambiguity_rate,false_unique_rate,cfr_nmse,theta_rmse,theta_boundary_rate,edge_precision,edge_recall,edge_f1,mean_margin,view_count,frequency_count
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0,4,0.75,0.25,1,0.25,0.5,0.00410714927400583,0.0115470053837925,1,0.95,0.95,0.95,2.73470459343553e-05,1,1793
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.001,4,1,0.25,1,0.5,0.25,0.00410714927400583,0.0086602540378444,0.5,1,1,1,2.7002258135071e-05,1,1793
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.01,4,0.75,0,1,1,0,0.00410714927400583,0,0,0.95,0.95,0.95,0,1,1793
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.05,4,0.75,0,1,1,0,0.00410714927400583,0,0,0.95,0.95,0.95,0,1,1793
calibration,nominal_noise_20,dual_receiver_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0,4,1,1,1,0,0,0.00406063462328892,0.0288675134594813,1,1,1,1,0.00131249136969154,2,1793
calibration,nominal_noise_20,dual_receiver_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.001,4,1,1,1,0,0,0.00406063462328892,0.0288675134594813,1,1,1,1,0.00129985698872597,2,1793
calibration,nominal_noise_20,dual_receiver_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.01,4,1,0.75,1,0.25,0,0.00406063462328892,0.021650635094611,0.75,1,1,1,0.000928559523130944,2,1793
calibration,nominal_noise_20,dual_receiver_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.05,4,1,0,1,1,0,0.00406063462328892,0,0,1,1,1,0,2,1793
calibration,nominal_noise_20,dual_receiver_highz_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0,4,1,0.75,1,0.25,0,0.00409041396004734,0.0115470053837925,1,1,1,1,0.00032384535365069,2,1793
calibration,nominal_noise_20,dual_receiver_highz_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.001,4,1,0.5,1,0.5,0,0.00409041396004734,0.0086602540378444,0.5,1,1,1,0.00031663169643478,2,1793
calibration,nominal_noise_20,dual_receiver_highz_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.01,4,1,0.25,1,0.75,0,0.00409041396004734,0.00721687836487033,0.25,1,1,1,0.000122468896383306,2,1793
calibration,nominal_noise_20,dual_receiver_highz_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.05,4,1,0,1,1,0,0.00409041396004734,0,0,1,1,1,0,2,1793
calibration,nominal_noise_20,dual_receiver_counterfactual,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0,4,1,1,1,0,0,0.00411420705245943,0.00577350269189626,1,1,1,1,3.96177738323802e-05,2,1793
calibration,nominal_noise_20,dual_receiver_counterfactual,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.001,4,1,0.5,1,0.5,0,0.00411420705245943,0.00288675134594813,0.5,1,1,1,3.62044139621013e-05,2,1793
calibration,nominal_noise_20,dual_receiver_counterfactual,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.01,4,1,0,1,1,0,0.00411420705245943,0,0,1,1,1,0,2,1793
calibration,nominal_noise_20,dual_receiver_counterfactual,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.05,4,1,0,1,1,0,0.00411420705245943,0,0,1,1,1,0,2,1793
