split,scenario,measurement_kind,observation_mode,method,feature,snr_db,trial,true_id,predicted_id,true_class,predicted_class,strict_correct,class_correct,strict_unique_correct,unique_identification,physically_ambiguous_class,ambiguous,false_unique,best_distance,second_best_distance,distance_margin,objective,cfr_nmse,theta_estimation_rmse,theta_boundary_hit,theta_true_label,theta_hat_label,parameter_regularization,lambda,grid_size,view_count,frequency_count,edge_precision,edge_recall,edge_f1,seed,runtime_s,trial_label
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422922,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0134047401333916,0.0135116525752811,0.000106912441889482,0.0134047401333916,0.00418855147366828,0.0288675134594813,1,nominal_noise_20,branch_load_scale,0.0833333333333333,0,27,1,1793,1,1,1,20422922,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422922,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.013488073466725,0.0135949859086144,0.000106912441889482,0.013488073466725,0.00418855147366828,0.0288675134594813,1,nominal_noise_20,branch_load_scale,0.0833333333333333,0.001,27,1,1793,1,1,1,20422922,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422922,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0.0136136706932445,0.0136136706932445,0,0.0136136706932445,0.00418855147366828,0,0,nominal_noise_20,nominal,0,0.01,27,1,1793,1,1,1,20422922,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422922,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0.0136136706932445,0.0136136706932445,0,0.0136136706932445,0.00418855147366828,0,0,nominal_noise_20,nominal,0,0.05,27,1,1793,1,1,1,20422922,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423022,T3,T3,"{T3,T5}","{T3,T5}",1,1,0,0,1,0,1,0.0131539541597549,0.0131550507504057,1.09659065080162e-06,0.0131539541597549,0.00405444690679703,0.00577350269189626,1,nominal_noise_20,source_impedance_ohm,0.0833333333333333,0,27,1,1793,1,1,1,20423022,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423022,T3,T3,"{T3,T5}","{T3,T5}",1,1,0,0,1,0,1,0.0132372874930883,0.0132383840837391,1.09659065080162e-06,0.0132372874930883,0.00405444690679703,0.00577350269189626,1,nominal_noise_20,source_impedance_ohm,0.0833333333333333,0.001,27,1,1793,1,1,1,20423022,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423022,T3,T5,"{T3,T5}","{T3,T5}",0,1,0,0,1,1,0,0.0134808095440022,0.0134808095440022,0,0.0134808095440022,0.00405444690679703,0,0,nominal_noise_20,nominal,0,0.01,27,1,1793,0.8,0.8,0.8,20423022,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423022,T3,T5,"{T3,T5}","{T3,T5}",0,1,0,0,1,1,0,0.0134808095440022,0.0134808095440022,0,0.0134808095440022,0.00405444690679703,0,0,nominal_noise_20,nominal,0,0.05,27,1,1793,0.8,0.8,0.8,20423022,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423122,T4,T4,"{T4}","{T4}",1,1,0,0,0,1,0,0.0158869321814409,0.0158869321814409,0,0.0158869321814409,0.00406896469048857,0.00577350269189626,1,nominal_noise_20,kG_scale,0.0833333333333333,0,27,1,1793,1,1,1,20423122,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423122,T4,T4,"{T4}","{T4}",1,1,0,0,0,1,0,0.0159115102013924,0.0159115102013924,0,0.0159115102013924,0.00406896469048857,0,0,nominal_noise_20,nominal,0,0.001,27,1,1793,1,1,1,20423122,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423122,T4,T4,"{T4}","{T4}",1,1,0,0,0,1,0,0.0159115102013924,0.0159115102013924,0,0.0159115102013924,0.00406896469048857,0,0,nominal_noise_20,nominal,0,0.01,27,1,1793,1,1,1,20423122,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423122,T4,T4,"{T4}","{T4}",1,1,0,0,0,1,0,0.0159115102013924,0.0159115102013924,0,0.0159115102013924,0.00406896469048857,0,0,nominal_noise_20,nominal,0,0.05,27,1,1793,1,1,1,20423122,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423222,T5,T3,"{T3,T5}","{T3,T5}",0,1,0,0,1,0,1,0.012002898727631,0.0120042778788282,1.37915119713741e-06,0.012002898727631,0.00411663402506943,0.00577350269189626,1,nominal_noise_20,source_impedance_ohm,0.0833333333333333,0,27,1,1793,0.8,0.8,0.8,20423222,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423222,T5,T5,"{T3,T5}","{T3,T5}",1,1,0,0,1,1,0,0.0120353742586445,0.0120353742586445,0,0.0120353742586445,0.00411663402506943,0,0,nominal_noise_20,nominal,0,0.001,27,1,1793,1,1,1,20423222,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423222,T5,T5,"{T3,T5}","{T3,T5}",1,1,0,0,1,1,0,0.0120353742586445,0.0120353742586445,0,0.0120353742586445,0.00411663402506943,0,0,nominal_noise_20,nominal,0,0.01,27,1,1793,1,1,1,20423222,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423222,T5,T5,"{T3,T5}","{T3,T5}",1,1,0,0,1,1,0,0.0120353742586445,0.0120353742586445,0,0.0120353742586445,0.00411663402506943,0,0,nominal_noise_20,nominal,0,0.05,27,1,1793,1,1,1,20423222,NaN,0
calibration,nominal_noise_20,dual_receiver_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20432922,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0186841295734597,0.0189458857348054,0.000261756161345612,0.0186841295734597,0.00407238768781368,0.0288675134594813,1,nominal_noise_20,branch_load_scale,0.0833333333333333,0,27,2,1793,1,1,1,20432922,NaN,0
