split,scenario,measurement_kind,observation_mode,method,feature,snr_db,lambda,trials,strict_accuracy,strict_unique_rate,equivalence_class_rate,ambiguity_rate,false_unique_rate,cfr_nmse,theta_rmse,theta_boundary_rate,edge_precision,edge_recall,edge_f1,mean_margin,view_count,frequency_count
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0,40,0.8,0.4,1,0.125,0.475,0.00411235300294103,0.0109696551146029,1,0.96,0.96,0.96,0.00030410647205055,1,1793
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.001,40,0.775,0.225,1,0.45,0.325,0.00411235300294103,0.00837157890324958,0.55,0.955,0.955,0.955,0.000301112140196353,1,1793
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.01,40,0.775,0.15,1,0.85,0,0.00411235300294103,0.00433012701892219,0.15,0.955,0.955,0.955,0.000193491988064678,1,1793
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.05,40,0.775,0,1,1,0,0.00411235300294103,0,0,0.955,0.955,0.955,0,1,1793
calibration,nominal_noise_20,dual_receiver_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0,40,1,1,1,0,0,0.00410842419378122,0.0236713610367747,0.975,1,1,1,0.00111747587487934,2,1793
calibration,nominal_noise_20,dual_receiver_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.001,40,1,0.875,1,0.125,0,0.00410842419378122,0.0229496732002876,0.85,1,1,1,0.00110641860097411,2,1793
calibration,nominal_noise_20,dual_receiver_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.01,40,1,0.5,1,0.5,0,0.00410842419378122,0.013856406460551,0.475,1,1,1,0.000846928246906706,2,1793
calibration,nominal_noise_20,dual_receiver_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.05,40,1,0.125,1,0.875,0,0.00410842419378122,0.00303108891324554,0.1,1,1,1,9.14559930878643e-05,2,1793
calibration,nominal_noise_20,dual_receiver_highz_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0,40,1,0.9,1,0.1,0,0.00412563004874043,0.0102479672781159,0.875,1,1,1,0.000214679504843891,2,1793
calibration,nominal_noise_20,dual_receiver_highz_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.001,40,1,0.55,1,0.45,0,0.00412563004874043,0.00721687836487032,0.55,1,1,1,0.000196603114957535,2,1793
calibration,nominal_noise_20,dual_receiver_highz_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.01,40,1,0.075,1,0.925,0,0.00412563004874043,0.0021650635094611,0.075,1,1,1,5.03981697998594e-05,2,1793
calibration,nominal_noise_20,dual_receiver_highz_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.05,40,1,0,1,1,0,0.00412563004874043,0,0,1,1,1,0,2,1793
calibration,nominal_noise_20,dual_receiver_counterfactual,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0,40,1,0.975,1,0.025,0,0.00411467399269629,0.0109696551146029,0.925,1,1,1,0.0003217616711313,2,1793
calibration,nominal_noise_20,dual_receiver_counterfactual,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.001,40,1,0.55,1,0.45,0,0.00411467399269629,0.00779422863405995,0.55,1,1,1,0.000311170061749688,2,1793
calibration,nominal_noise_20,dual_receiver_counterfactual,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.01,40,1,0.15,1,0.85,0,0.00411467399269629,0.00433012701892219,0.15,1,1,1,0.000142208993874267,2,1793
calibration,nominal_noise_20,dual_receiver_counterfactual,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.05,40,1,0,1,1,0,0.00411467399269629,0,0,1,1,1,0,2,1793
calibration,nominal_noise_20,three_view_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0,40,1,1,1,0,0,0.00412000437125072,0.0242487113059643,0.975,1,1,1,0.00116353715442098,3,1793
calibration,nominal_noise_20,three_view_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.001,40,1,0.825,1,0.175,0,0.00412000437125072,0.0226609980656928,0.825,1,1,1,0.00115127315012647,3,1793
calibration,nominal_noise_20,three_view_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.01,40,1,0.55,1,0.45,0,0.00412000437125072,0.0158771324027147,0.55,1,1,1,0.000698801677899537,3,1793
calibration,nominal_noise_20,three_view_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,0.05,40,1,0,1,1,0,0.00412000437125072,0,0,1,1,1,0,3,1793
