mode,scenario,input_mode,measurement_kind,observation_mode,feature,noise_kind,snr_db,pilot_spacing,trials,strict_accuracy,strict_unique_rate,equivalence_class_rate,ambiguity_rate,false_unique_rate,physically_ambiguous_class_rate,cfr_nmse,amplitude_rmse_db,weighted_phase_rmse_deg,circular_delay_error_s,mean_margin,view_count,frequency_count,edge_precision,edge_recall,edge_f1,runtime_s
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,ordinary_ofdm_cfr,amplitude,none,Inf,1,8,1,0.5,1,0.5,0,0.5,0,0,0,0,0.00298240493292674,1,1793,1,1,1,0.279287875
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,none,Inf,1,8,1,0.5,1,0.5,0,0.5,0,0,0,0,0.0460113880016019,1,1793,1,1,1,0.28765925
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,ordinary_ofdm_cfr,cir,none,Inf,1,8,1,0.5,1,0.5,0,0.5,0,0,0,0,0.00309070820407334,1,1793,1,1,1,0.29607575
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,ordinary_ofdm_cfr,toa,none,Inf,1,8,0.25,0,0.25,1,0,0,0,0,0,0,0,1,1793,0.85,0.80952380952381,0.829268292682927,0.302009875
formal,ideal_true_cfr,ideal_true_cfr,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,amplitude,none,Inf,1,8,1,0.5,1,0.5,0,0.5,0,0,0,0,0.00298240493292674,2,1793,1,1,1,0.618966875
formal,ideal_true_cfr,ideal_true_cfr,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,amp_phase_joint_weighted,none,Inf,1,8,1,0.5,1,0.5,0,0.5,0,0,0,0,0.046011388001602,2,1793,1,1,1,0.626073
formal,ideal_true_cfr,ideal_true_cfr,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,cir,none,Inf,1,8,1,0.5,1,0.5,0,0.5,0,0,0,0,0.00309070820407334,2,1793,1,1,1,0.636398875
formal,ideal_true_cfr,ideal_true_cfr,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,toa,none,Inf,1,8,0.25,0,0.25,1,0,0,0,0,0,0,0,2,1793,0.85,0.80952380952381,0.829268292682927,0.639376625
formal,ideal_true_cfr,ideal_true_cfr,dual_receiver_complete,ordinary_ofdm_cfr,amplitude,none,Inf,1,8,1,1,1,0,0,0,0,0,0,0,0.00553833940328507,2,1793,1,1,1,0.9371045
formal,ideal_true_cfr,ideal_true_cfr,dual_receiver_complete,ordinary_ofdm_cfr,amp_phase_joint_weighted,none,Inf,1,8,1,1,1,0,0,0,0,0,0,0,0.0710284206043076,2,1793,1,1,1,0.945176375
