mode,scenario,input_mode,measurement_kind,observation_mode,feature,pilot_spacing,snr_db,noise_kind,trial,true_id,predicted_id,true_class,predicted_class,strict_correct,class_correct,strict_unique_correct,unique_identification,physically_ambiguous_class,ambiguous,false_unique,best_distance,second_best_distance,distance_margin,cfr_nmse,amplitude_rmse_db,weighted_phase_rmse_deg,circular_delay_error_s,true_circular_delay_s,hat_circular_delay_s,view_count,frequency_count,edge_precision,edge_recall,edge_f1,seed,runtime_s
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,ordinary_ofdm_cfr,amplitude,1,Inf,none,1,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0,0.00718900162803627,0.00718900162803627,0,0,0,0,3.28125e-07,3.28125e-07,1,1793,1,1,1,20361922,0.076983
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,1,Inf,none,1,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0,0.0920227760032037,0.0920227760032037,0,0,0,0,3.28125e-07,3.28125e-07,1,1793,1,1,1,20361922,0.098314
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,ordinary_ofdm_cfr,cir,1,Inf,none,1,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0,0.00655924323097644,0.00655924323097644,0,0,0,0,3.28125e-07,3.28125e-07,1,1793,1,1,1,20361922,0.118507
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,ordinary_ofdm_cfr,toa,1,Inf,none,1,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0,0,0,0,3.28125e-07,3.28125e-07,1,1793,1,1,1,20361922,0.130551
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,ordinary_ofdm_cfr,amplitude,1,Inf,none,2,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0,0.00718900162803627,0.00718900162803627,0,0,0,0,3.28125e-07,3.28125e-07,1,1793,1,1,1,20361923,0.175249
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,1,Inf,none,2,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0,0.0920227760032037,0.0920227760032037,0,0,0,0,3.28125e-07,3.28125e-07,1,1793,1,1,1,20361923,0.19067
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,ordinary_ofdm_cfr,cir,1,Inf,none,2,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0,0.00655924323097644,0.00655924323097644,0,0,0,0,3.28125e-07,3.28125e-07,1,1793,1,1,1,20361923,0.198719
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,ordinary_ofdm_cfr,toa,1,Inf,none,2,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0,0,0,0,3.28125e-07,3.28125e-07,1,1793,1,1,1,20361923,0.204124
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,ordinary_ofdm_cfr,amplitude,1,Inf,none,1,T3,T3,"{T3,T5}","{T3,T5}",1,1,0,0,1,1,0,0,8.87245681597941e-18,8.87245681597941e-18,0,0,0,0,3.28125e-07,3.28125e-07,1,1793,1,1,1,20362022,0.220058
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,1,Inf,none,1,T3,T3,"{T3,T5}","{T3,T5}",1,1,0,0,1,1,0,0,1.866008879797e-16,1.866008879797e-16,0,0,0,0,3.28125e-07,3.28125e-07,1,1793,1,1,1,20362022,0.224359
