mode,scenario,input_mode,noise_kind,snr_db,pilot_spacing,measurement_kind,view_count,nfft,sample_rate_hz,cyclic_prefix_samples,frequency_start_hz,frequency_end_hz,active_frequency_count,random_seed,timing_offset_samples,sample_clock_offset_ppm,pilot_phase_rotation_rad,parameter_perturbation,FDR_TFDR_proxy_not_physical
smoke,ideal_true_cfr,ideal_true_cfr,none,Inf,1,siso_forward,1,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,none,1
smoke,ideal_true_cfr,ideal_true_cfr,none,Inf,1,bidirectional_endpoint_fixed,2,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,none,1
smoke,ideal_true_cfr,ideal_true_cfr,none,Inf,1,dual_receiver_complete,2,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,none,1
smoke,ideal_true_cfr,ideal_true_cfr,none,Inf,1,three_view_complete,3,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,none,1
smoke,white_dense_20,ofdm_dense_ls,white_awgn,20,1,siso_forward,1,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,none,1
smoke,white_dense_20,ofdm_dense_ls,white_awgn,20,1,bidirectional_endpoint_fixed,2,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,none,1
smoke,white_dense_20,ofdm_dense_ls,white_awgn,20,1,dual_receiver_complete,2,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,none,1
smoke,white_dense_20,ofdm_dense_ls,white_awgn,20,1,three_view_complete,3,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,none,1
smoke,white_sparse_20,ofdm_sparse_interp,white_awgn,20,4,siso_forward,1,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,none,1
smoke,white_sparse_20,ofdm_sparse_interp,white_awgn,20,4,bidirectional_endpoint_fixed,2,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,none,1
smoke,white_sparse_20,ofdm_sparse_interp,white_awgn,20,4,dual_receiver_complete,2,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,none,1
smoke,white_sparse_20,ofdm_sparse_interp,white_awgn,20,4,three_view_complete,3,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,none,1
smoke,colored_dense_20,ofdm_dense_ls,colored_gaussian,20,1,siso_forward,1,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,none,1
smoke,colored_dense_20,ofdm_dense_ls,colored_gaussian,20,1,three_view_complete,3,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,none,1
smoke,impulsive_dense_20,ofdm_dense_ls,impulsive,20,1,siso_forward,1,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,none,1
smoke,impulsive_dense_20,ofdm_dense_ls,impulsive,20,1,three_view_complete,3,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,none,1
smoke,load_change_20,ofdm_dense_ls,white_awgn,20,1,siso_forward,1,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,load,1
smoke,load_change_20,ofdm_dense_ls,white_awgn,20,1,three_view_complete,3,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,load,1
smoke,load_time_varying_20,ofdm_dense_ls,white_awgn,20,1,siso_forward,1,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,load_time_varying,1
smoke,load_time_varying_20,ofdm_dense_ls,white_awgn,20,1,three_view_complete,3,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,load_time_varying,1
smoke,length_error_20,ofdm_dense_ls,white_awgn,20,1,siso_forward,1,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,length,1
smoke,length_error_20,ofdm_dense_ls,white_awgn,20,1,three_view_complete,3,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,length,1
smoke,rlgc_error_20,ofdm_dense_ls,white_awgn,20,1,siso_forward,1,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,rlgc,1
smoke,rlgc_error_20,ofdm_dense_ls,white_awgn,20,1,three_view_complete,3,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,rlgc,1
smoke,timing_offset_20,ofdm_dense_ls,white_awgn,20,1,siso_forward,1,4096,64000000,256,2000000,30000000,1793,20260821,2,0,0,none,1
smoke,timing_offset_20,ofdm_dense_ls,white_awgn,20,1,three_view_complete,3,4096,64000000,256,2000000,30000000,1793,20260821,2,0,0,none,1
smoke,sample_clock_20,ofdm_dense_ls,white_awgn,20,1,siso_forward,1,4096,64000000,256,2000000,30000000,1793,20260821,0,50,0,none,1
smoke,sample_clock_20,ofdm_dense_ls,white_awgn,20,1,three_view_complete,3,4096,64000000,256,2000000,30000000,1793,20260821,0,50,0,none,1
smoke,pilot_phase_rotation_20,ofdm_dense_ls,white_awgn,20,1,siso_forward,1,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0.261799387799149,none,1
smoke,pilot_phase_rotation_20,ofdm_dense_ls,white_awgn,20,1,three_view_complete,3,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0.261799387799149,none,1
smoke,terminal_impedance_error_20,ofdm_dense_ls,white_awgn,20,1,siso_forward,1,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,terminal,1
smoke,terminal_impedance_error_20,ofdm_dense_ls,white_awgn,20,1,three_view_complete,3,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,terminal,1
smoke,coupler_error_20,ofdm_dense_ls,white_awgn,20,1,siso_forward,1,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,coupler,1
smoke,coupler_error_20,ofdm_dense_ls,white_awgn,20,1,three_view_complete,3,4096,64000000,256,2000000,30000000,1793,20260821,0,0,0,coupler,1
