mode,scenario,input_mode,measurement_kind,observation_mode,feature,pilot_spacing,snr_db,noise_kind,trial,true_id,predicted_id,true_class,predicted_class,strict_correct,class_correct,strict_unique_correct,unique_identification,physically_ambiguous_class,ambiguous,false_unique,best_distance,second_best_distance,distance_margin,cfr_nmse,amplitude_rmse_db,weighted_phase_rmse_deg,circular_delay_error_s,true_circular_delay_s,hat_circular_delay_s,view_count,frequency_count,edge_precision,edge_recall,edge_f1,seed,runtime_s
smoke,ideal_true_cfr,ideal_true_cfr,siso_forward,ordinary_ofdm_cfr,amplitude,1,Inf,none,1,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0,0.00718900162803627,0.00718900162803627,0,0,0,0,3.28125e-07,3.28125e-07,1,1793,1,1,1,20361922,0.072713
smoke,ideal_true_cfr,ideal_true_cfr,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,1,Inf,none,1,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0,0.0920227760032037,0.0920227760032037,0,0,0,0,3.28125e-07,3.28125e-07,1,1793,1,1,1,20361922,0.093487
smoke,ideal_true_cfr,ideal_true_cfr,siso_forward,ordinary_ofdm_cfr,cir,1,Inf,none,1,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0,0.00655924323097644,0.00655924323097644,0,0,0,0,3.28125e-07,3.28125e-07,1,1793,1,1,1,20361922,0.112694
smoke,ideal_true_cfr,ideal_true_cfr,siso_forward,ordinary_ofdm_cfr,toa,1,Inf,none,1,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0,0,0,0,3.28125e-07,3.28125e-07,1,1793,1,1,1,20361922,0.124458
smoke,ideal_true_cfr,ideal_true_cfr,siso_forward,ordinary_ofdm_cfr,amplitude,1,Inf,none,1,T3,T3,"{T3,T5}","{T3,T5}",1,1,0,0,1,1,0,0,8.87245681597941e-18,8.87245681597941e-18,0,0,0,0,3.28125e-07,3.28125e-07,1,1793,1,1,1,20362022,0.168389
smoke,ideal_true_cfr,ideal_true_cfr,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,1,Inf,none,1,T3,T3,"{T3,T5}","{T3,T5}",1,1,0,0,1,1,0,0,1.866008879797e-16,1.866008879797e-16,0,0,0,0,3.28125e-07,3.28125e-07,1,1793,1,1,1,20362022,0.182284
smoke,ideal_true_cfr,ideal_true_cfr,siso_forward,ordinary_ofdm_cfr,cir,1,Inf,none,1,T3,T3,"{T3,T5}","{T3,T5}",1,1,0,0,1,1,0,0,8.06803358412504e-18,8.06803358412504e-18,0,0,0,0,3.28125e-07,3.28125e-07,1,1793,1,1,1,20362022,0.189756
smoke,ideal_true_cfr,ideal_true_cfr,siso_forward,ordinary_ofdm_cfr,toa,1,Inf,none,1,T3,T2,"{T3,T5}","{T2}",0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.28125e-07,3.28125e-07,1,1793,0.8,0.8,0.8,20362022,0.198523
smoke,ideal_true_cfr,ideal_true_cfr,siso_forward,ordinary_ofdm_cfr,amplitude,1,Inf,none,1,T4,T4,"{T4}","{T4}",1,1,1,1,0,0,0,0,0.00474061810367069,0.00474061810367069,0,0,0,0,3.28125e-07,3.28125e-07,1,1793,1,1,1,20362122,0.214025
smoke,ideal_true_cfr,ideal_true_cfr,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,1,Inf,none,1,T4,T4,"{T4}","{T4}",1,1,1,1,0,0,0,0,0.0920227760032037,0.0920227760032037,0,0,0,0,3.28125e-07,3.28125e-07,1,1793,1,1,1,20362122,0.21873
