analysis_kind,measurement_model,reference_library,level,band,rlgc_status,point_count,frequency_low_hz,frequency_high_hz,snr_db,main_length_scale,branch_load_scale,future_waveform_fairness_placeholder,strict_accuracy,equivalence_class_accuracy,ambiguity_rate,false_unique_rate,class_intra_distance,nearest_class_inter_distance,intra_inter_ratio,nearest_competing_topology,t3_t5_equivalence_class,cfr_sampling_nmse_ideal_input
analytic_extrapolation_diagnostic,ideal_CFR_plus_receiver_sample_noise,nominal_library,Level-A0_matched_points,BB_Ghn_standard_derived_reference,existing_project_model_window_2_to_30_MHz,36,2001953.125,29980468.75,Inf,1,1,future_waveform_fairness_placeholder,1,1,0.5,0,0,0.0688470905827116,0,T5;T4,"{T3,T5}",0
analytic_extrapolation_diagnostic,ideal_CFR_plus_receiver_sample_noise,nominal_library,Level-A0_matched_points,BB_Ghn_standard_derived_reference,existing_project_model_window_2_to_30_MHz,36,2001953.125,29980468.75,20,1,1,future_waveform_fairness_placeholder,0.775,1,0.5,0,0.0164252093487788,0.0706779392539088,0.232395136617829,T3;T5;T4,"{T3,T5}",0
analytic_extrapolation_diagnostic,ideal_CFR_plus_receiver_sample_noise,nominal_library,Level-A0_matched_points,BB_Ghn_standard_derived_reference,existing_project_model_window_2_to_30_MHz,36,2001953.125,29980468.75,Inf,1.02,1,future_waveform_fairness_placeholder,0.75,1,0.5,0,0.108955983261294,0.122629911991508,0.888494344420951,T3;T2,"{T3,T5}",0
analytic_extrapolation_diagnostic,ideal_CFR_plus_receiver_sample_noise,nominal_library,Level-A0_matched_points,BB_Ghn_standard_derived_reference,existing_project_model_window_2_to_30_MHz,36,2001953.125,29980468.75,20,1.02,1,future_waveform_fairness_placeholder,0.7625,1,0.5,0,0.109842036153946,0.123315502179549,0.890739884382217,T3;T5;T2;T4,"{T3,T5}",0
analytic_extrapolation_diagnostic,ideal_CFR_plus_receiver_sample_noise,nominal_library,Level-A0_matched_points,BB_Ghn_standard_derived_reference,existing_project_model_window_2_to_30_MHz,36,2001953.125,29980468.75,Inf,1,0.9,future_waveform_fairness_placeholder,0.75,1,0.5,0,0.00313171156340588,0.069220206497838,0.0452427365050363,T5;T4,"{T3,T5}",0
analytic_extrapolation_diagnostic,ideal_CFR_plus_receiver_sample_noise,nominal_library,Level-A0_matched_points,BB_Ghn_standard_derived_reference,existing_project_model_window_2_to_30_MHz,36,2001953.125,29980468.75,20,1,0.9,future_waveform_fairness_placeholder,0.7625,1,0.5,0,0.0167004501097595,0.0713409528712609,0.234093454567343,T3;T5;T4,"{T3,T5}",0
analytic_extrapolation_diagnostic,ideal_CFR_plus_receiver_sample_noise,nominal_library,Level-A0_matched_points,NB_G3PLC_CENELEC_A_standard_derived_reference,frequency_extrapolation_below_existing_2_to_30_MHz_evidence,36,35937.5,90625,Inf,1,1,future_waveform_fairness_placeholder,1,1,0.5,0,0,0.00489269173466314,0,T3;T2,"{T3,T5}",0
analytic_extrapolation_diagnostic,ideal_CFR_plus_receiver_sample_noise,nominal_library,Level-A0_matched_points,NB_G3PLC_CENELEC_A_standard_derived_reference,frequency_extrapolation_below_existing_2_to_30_MHz_evidence,36,35937.5,90625,20,1,1,future_waveform_fairness_placeholder,0.625,0.85,0.425,0.1125,0.0164180424460109,0.01821712299247,0.901242334083008,T3;T5;T2,"{T3,T5}",0
analytic_extrapolation_diagnostic,ideal_CFR_plus_receiver_sample_noise,nominal_library,Level-A0_matched_points,NB_G3PLC_CENELEC_A_standard_derived_reference,frequency_extrapolation_below_existing_2_to_30_MHz_evidence,36,35937.5,90625,Inf,1.02,1,future_waveform_fairness_placeholder,0.5,0.5,0,0.5,0.00127001629923792,0.00532625152164227,0.238444672407497,T5;T2,"{T3,T5}",0
analytic_extrapolation_diagnostic,ideal_CFR_plus_receiver_sample_noise,nominal_library,Level-A0_matched_points,NB_G3PLC_CENELEC_A_standard_derived_reference,frequency_extrapolation_below_existing_2_to_30_MHz_evidence,36,35937.5,90625,20,1.02,1,future_waveform_fairness_placeholder,0.5625,0.6875,0.2125,0.3,0.0162873602384141,0.0182934444589423,0.890338627860344,T3;T5;T2,"{T3,T5}",0
