topology_id,edge_id,from,to,kind,length_m,cable_type,load_ohm
G001,M_0_1,TX,M1,main,20,0,NaN
G001,M_1_2,M1,M2,main,20,0,NaN
G001,M_2_3,M2,M3,main,20,0,NaN
G001,M_3_4,M3,RX,main,20,0,NaN
G002,M_0_1,TX,M1,main,20,0,NaN
G002,M_1_2,M1,M2,main,20,0,NaN
G002,M_2_3,M2,M3,main,20,0,NaN
G002,M_3_4,M3,RX,main,20,0,NaN
G002,B_3_1,M3,B1_LOAD,branch,15,1,50
G003,M_0_1,TX,M1,main,20,0,NaN
G003,M_1_2,M1,M2,main,20,0,NaN
G003,M_2_3,M2,M3,main,20,0,NaN
G003,M_3_4,M3,RX,main,20,0,NaN
G003,B_2_1,M2,B1_LOAD,branch,15,1,50
G004,M_0_1,TX,M1,main,20,0,NaN
G004,M_1_2,M1,M2,main,20,0,NaN
G004,M_2_3,M2,M3,main,20,0,NaN
G004,M_3_4,M3,RX,main,20,0,NaN
G004,B_2_1,M2,B1_LOAD,branch,15,1,50
G004,B_3_2,M3,B2_LOAD,branch,15,1,50
G005,M_0_1,TX,M1,main,20,0,NaN
G005,M_1_2,M1,M2,main,20,0,NaN
G005,M_2_3,M2,M3,main,20,0,NaN
G005,M_3_4,M3,RX,main,20,0,NaN
G005,B_1_1,M1,B1_LOAD,branch,15,1,50
G006,M_0_1,TX,M1,main,20,0,NaN
G006,M_1_2,M1,M2,main,20,0,NaN
G006,M_2_3,M2,M3,main,20,0,NaN
G006,M_3_4,M3,RX,main,20,0,NaN
G006,B_1_1,M1,B1_LOAD,branch,15,1,50
G006,B_3_2,M3,B2_LOAD,branch,15,1,50
G007,M_0_1,TX,M1,main,20,0,NaN
G007,M_1_2,M1,M2,main,20,0,NaN
G007,M_2_3,M2,M3,main,20,0,NaN
G007,M_3_4,M3,RX,main,20,0,NaN
G007,B_1_1,M1,B1_LOAD,branch,15,1,50
G007,B_2_2,M2,B2_LOAD,branch,15,1,50
