scenario_id,frequency_grid_id,class_label,member_topology_ids,member_count,tie_tolerance,config_hash
P0_no_prior,A_stage4a1_quick61,"{G001}","G001",1,1e-10,00061583
P0_no_prior,A_stage4a1_quick61,"{G002,G005}","G002,G005",2,1e-10,00061583
P0_no_prior,A_stage4a1_quick61,"{G003}","G003",1,1e-10,00061583
P0_no_prior,A_stage4a1_quick61,"{G004,G007}","G004,G007",2,1e-10,00061583
P0_no_prior,A_stage4a1_quick61,"{G006}","G006",1,1e-10,00061583
P1_partial_consistent_prior,A_stage4a1_quick61,"{G001}","G001",1,1e-10,00061583
P1_partial_consistent_prior,A_stage4a1_quick61,"{G003}","G003",1,1e-10,00061583
P1_partial_consistent_prior,A_stage4a1_quick61,"{G005}","G005",1,1e-10,00061583
P1_partial_consistent_prior,A_stage4a1_quick61,"{G007}","G007",1,1e-10,00061583
P2_stale_or_inconsistent_prior,A_stage4a1_quick61,"{G001}","G001",1,1e-10,00061583
P2_stale_or_inconsistent_prior,A_stage4a1_quick61,"{G002,G005}","G002,G005",2,1e-10,00061583
P2_stale_or_inconsistent_prior,A_stage4a1_quick61,"{G006}","G006",1,1e-10,00061583
P0_no_prior,B_ofdm_active_subcarriers,"{G001}","G001",1,1e-10,00064043
P0_no_prior,B_ofdm_active_subcarriers,"{G002,G005}","G002,G005",2,1e-10,00064043
P0_no_prior,B_ofdm_active_subcarriers,"{G003}","G003",1,1e-10,00064043
P0_no_prior,B_ofdm_active_subcarriers,"{G004,G007}","G004,G007",2,1e-10,00064043
P0_no_prior,B_ofdm_active_subcarriers,"{G006}","G006",1,1e-10,00064043
P1_partial_consistent_prior,B_ofdm_active_subcarriers,"{G001}","G001",1,1e-10,00064043
P1_partial_consistent_prior,B_ofdm_active_subcarriers,"{G003}","G003",1,1e-10,00064043
P1_partial_consistent_prior,B_ofdm_active_subcarriers,"{G005}","G005",1,1e-10,00064043
P1_partial_consistent_prior,B_ofdm_active_subcarriers,"{G007}","G007",1,1e-10,00064043
P2_stale_or_inconsistent_prior,B_ofdm_active_subcarriers,"{G001}","G001",1,1e-10,00064043
P2_stale_or_inconsistent_prior,B_ofdm_active_subcarriers,"{G002,G005}","G002,G005",2,1e-10,00064043
P2_stale_or_inconsistent_prior,B_ofdm_active_subcarriers,"{G006}","G006",1,1e-10,00064043
