grid_id,scenario_id,scope,equivalence_class,member_count,member_topology_ids,candidate_count,tie_tolerance,configuration_hash
A_stage4a1_quick61,P0_no_prior,baseline_P0,"{G001}",1,"G001",7,1e-10,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
A_stage4a1_quick61,P0_no_prior,baseline_P0,"{G002,G005}",2,"G002,G005",7,1e-10,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
A_stage4a1_quick61,P0_no_prior,baseline_P0,"{G003}",1,"G003",7,1e-10,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
A_stage4a1_quick61,P0_no_prior,baseline_P0,"{G004,G007}",2,"G004,G007",7,1e-10,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
A_stage4a1_quick61,P0_no_prior,baseline_P0,"{G006}",1,"G006",7,1e-10,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
A_stage4a1_quick61,P0_no_prior,prior_conditioned,"{G001}",1,"G001",7,1e-10,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
A_stage4a1_quick61,P0_no_prior,prior_conditioned,"{G002,G005}",2,"G002,G005",7,1e-10,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
A_stage4a1_quick61,P0_no_prior,prior_conditioned,"{G003}",1,"G003",7,1e-10,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
A_stage4a1_quick61,P0_no_prior,prior_conditioned,"{G004,G007}",2,"G004,G007",7,1e-10,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
A_stage4a1_quick61,P0_no_prior,prior_conditioned,"{G006}",1,"G006",7,1e-10,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
A_stage4a1_quick61,P1_partial_consistent_prior,prior_conditioned,"{G001}",1,"G001",4,1e-10,b74191e15591b9127adb5cd0763e118f28230b4ef9e1ca68ea16e94072eff2a3
