sample_id,grid_id,decision,best_template_id,best_topology_id,best_equivalence_class,accepted_topology_set,baseline_P0_equivalence_class,baseline_P0_equivalence_class_size,prior_conditioned_equivalence_class,prior_conditioned_equivalence_class_size,best_parameter_values,best_distance,second_competing_class,second_distance,margin,candidate_count_before_prior,candidate_count_after_prior,parameter_template_count,composite_template_count,distance_evaluations,matching_time_s,cache_hit,residual_threshold,margin_threshold,configuration_hash
test_G001_01,A_stage4a1_quick61,reject_model_mismatch,G001_P003,G001,"{G001}","","{G001}",1,"{G001}",1,main=1.05;branch=0.95;load=0.8;Zs=45;Zr=45,0.276135486417786,"{G002,G005}",0.288762739324746,0.0126272529069607,7,7,243,1701,1701,0.02499,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G001_02,A_stage4a1_quick61,unique_topology,G001_P029,G001,"{G001}","G001","{G001}",1,"{G001}",1,main=1;branch=0.95;load=0.8;Zs=50;Zr=45,0.0800574502129856,"{G002,G005}",0.17284901925027,0.0927915690372841,7,7,243,1701,1701,0.019512,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G001_03,A_stage4a1_quick61,reject_model_mismatch,G001_P003,G001,"{G001}","","{G001}",1,"{G001}",1,main=1.05;branch=0.95;load=0.8;Zs=45;Zr=45,0.265013254170597,"{G002,G005}",0.278024905539641,0.0130116513690448,7,7,243,1701,1701,0.018597,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G001_04,A_stage4a1_quick61,unique_topology,G001_P055,G001,"{G001}","G001","{G001}",1,"{G001}",1,main=0.95;branch=0.95;load=0.8;Zs=55;Zr=45,0.159990593134608,"{G002,G005}",0.223136639582923,0.0631460464483149,7,7,243,1701,1701,0.016246,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G001_05,A_stage4a1_quick61,unique_topology,G001_P136,G001,"{G001}","G001","{G001}",1,"{G001}",1,main=0.95;branch=0.95;load=0.8;Zs=55;Zr=50,0.0143765282543392,"{G002,G005}",0.182996372370672,0.168619844116333,7,7,243,1701,1701,0.017658,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G001_06,A_stage4a1_quick61,unique_topology,G001_P109,G001,"{G001}","G001","{G001}",1,"{G001}",1,main=0.95;branch=0.95;load=0.8;Zs=50;Zr=50,0.0732069181676985,"{G002,G005}",0.193871760858078,0.12066484269038,7,7,243,1701,1701,0.018871,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G001_07,A_stage4a1_quick61,reject_model_mismatch,G001_P056,G001,"{G001}","","{G001}",1,"{G001}",1,main=1;branch=0.95;load=0.8;Zs=55;Zr=45,0.214761784052428,"{G002,G005}",0.255710456733149,0.0409486726807211,7,7,243,1701,1701,0.018087,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G001_08,A_stage4a1_quick61,reject_model_mismatch,G001_P029,G001,"{G001}","","{G001}",1,"{G001}",1,main=1;branch=0.95;load=0.8;Zs=50;Zr=45,0.234005383505004,"{G002,G005}",0.263938698798031,0.0299333152930266,7,7,243,1701,1701,0.019406,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G001_09,A_stage4a1_quick61,unique_topology,G001_P137,G001,"{G001}","G001","{G001}",1,"{G001}",1,main=1;branch=0.95;load=0.8;Zs=55;Zr=50,0.106910140219354,"{G002,G005}",0.202479950517618,0.0955698102982633,7,7,243,1701,1701,0.018455,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G001_10,A_stage4a1_quick61,reject_model_mismatch,G001_P003,G001,"{G001}","","{G001}",1,"{G001}",1,main=1.05;branch=0.95;load=0.8;Zs=45;Zr=45,0.243356045850491,"{G002,G005}",0.269720992794302,0.0263649469438111,7,7,243,1701,1701,0.021214,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G001_11,A_stage4a1_quick61,unique_topology,G001_P084,G001,"{G001}","G001","{G001}",1,"{G001}",1,main=1.05;branch=0.95;load=0.8;Zs=45;Zr=50,0.0432230669400388,"{G003}",0.170320888311038,0.127097821370999,7,7,243,1701,1701,0.019886,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G001_12,A_stage4a1_quick61,reject_model_mismatch,G001_P057,G001,"{G001}","","{G001}",1,"{G001}",1,main=1.05;branch=0.95;load=0.8;Zs=55;Zr=45,0.2005036429066,"{G002,G005}",0.251763532489925,0.0512598895833257,7,7,243,1701,1701,0.016124,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G002_01,A_stage4a1_quick61,equivalence_class,G005_P007,G005,"{G002,G005}","{G002,G005}","{G002,G005}",2,"{G002,G005}",2,main=0.95;branch=1.05;load=0.8;Zs=45;Zr=45,0.137705165979601,"{G004,G007}",0.157655549745473,0.0199503837658715,7,7,243,1701,1701,0.025084,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G002_02,A_stage4a1_quick61,equivalence_class,G005_P125,G005,"{G002,G005}","{G002,G005}","{G002,G005}",2,"{G002,G005}",2,main=1;branch=1.05;load=1;Zs=50;Zr=50,0.0271464066068005,"{G006}",0.0977146169964365,0.070568210389636,7,7,243,1701,1701,0.020377,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G002_03,A_stage4a1_quick61,equivalence_class,G002_P030,G002,"{G002,G005}","{G002,G005}","{G002,G005}",2,"{G002,G005}",2,main=1.05;branch=0.95;load=0.8;Zs=50;Zr=45,0.132994399991066,"{G006}",0.155550718927479,0.0225563189364124,7,7,243,1701,1701,0.018918,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G002_04,A_stage4a1_quick61,equivalence_class,G002_P039,G002,"{G002,G005}","{G002,G005}","{G002,G005}",2,"{G002,G005}",2,main=1.05;branch=0.95;load=1;Zs=50;Zr=45,0.0962654015248844,"{G006}",0.127075992575935,0.0308105910510502,7,7,243,1701,1701,0.017966,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G002_05,A_stage4a1_quick61,equivalence_class,G002_P057,G002,"{G002,G005}","{G002,G005}","{G002,G005}",2,"{G002,G005}",2,main=1.05;branch=0.95;load=0.8;Zs=55;Zr=45,0.107491021455224,"{G006}",0.135486434467748,0.0279954130125246,7,7,243,1701,1701,0.023742,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G002_06,A_stage4a1_quick61,equivalence_class,G002_P003,G002,"{G002,G005}","{G002,G005}","{G002,G005}",2,"{G002,G005}",2,main=1.05;branch=0.95;load=0.8;Zs=45;Zr=45,0.165856687659342,"{G006}",0.177874140111724,0.0120174524523817,7,7,243,1701,1701,0.018665,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G002_07,A_stage4a1_quick61,equivalence_class,G002_P005,G002,"{G002,G005}","{G002,G005}","{G002,G005}",2,"{G002,G005}",2,main=1;branch=1;load=0.8;Zs=45;Zr=45,0.120175466451666,"{G004,G007}",0.143548282045507,0.0233728155938402,7,7,243,1701,1701,0.018903,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G002_08,A_stage4a1_quick61,equivalence_class,G002_P015,G002,"{G002,G005}","{G002,G005}","{G002,G005}",2,"{G002,G005}",2,main=1.05;branch=1;load=1;Zs=45;Zr=45,0.0466546514290196,"{G006}",0.0927966314861369,0.0461419800571172,7,7,243,1701,1701,0.01789,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G002_09,A_stage4a1_quick61,equivalence_class,G002_P015,G002,"{G002,G005}","{G002,G005}","{G002,G005}",2,"{G002,G005}",2,main=1.05;branch=1;load=1;Zs=45;Zr=45,0.134062316918707,"{G006}",0.152477252194422,0.0184149352757149,7,7,243,1701,1701,0.021217,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G002_10,A_stage4a1_quick61,equivalence_class,G005_P041,G005,"{G002,G005}","{G002,G005}","{G002,G005}",2,"{G002,G005}",2,main=1;branch=1;load=1;Zs=50;Zr=45,0.0660380866359187,"{G006}",0.108991009120686,0.042952922484767,7,7,243,1701,1701,0.024717,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G002_11,A_stage4a1_quick61,equivalence_class,G005_P152,G005,"{G002,G005}","{G002,G005}","{G002,G005}",2,"{G002,G005}",2,main=1;branch=1.05;load=1;Zs=55;Zr=50,0.0866781762769972,"{G006}",0.131693240289962,0.0450150640129646,7,7,243,1701,1701,0.0255,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G002_12,A_stage4a1_quick61,equivalence_class,G002_P039,G002,"{G002,G005}","{G002,G005}","{G002,G005}",2,"{G002,G005}",2,main=1.05;branch=0.95;load=1;Zs=50;Zr=45,0.0845013038841435,"{G006}",0.120424326933594,0.0359230230494506,7,7,243,1701,1701,0.025439,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G003_01,A_stage4a1_quick61,unique_topology,G003_P075,G003,"{G003}","G003","{G003}",1,"{G003}",1,main=1.05;branch=0.95;load=1.2;Zs=55;Zr=45,0.0294002339988103,"{G002,G005}",0.117520164150066,0.0881199301512552,7,7,243,1701,1701,0.029502,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G003_02,A_stage4a1_quick61,reject_model_mismatch,G003_P002,G003,"{G003}","","{G003}",1,"{G003}",1,main=1;branch=0.95;load=0.8;Zs=45;Zr=45,0.19266932263823,"{G004,G007}",0.194713202500071,0.00204387986184063,7,7,243,1701,1701,0.025367,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G003_03,A_stage4a1_quick61,unique_topology,G003_P059,G003,"{G003}","G003","{G003}",1,"{G003}",1,main=1;branch=1;load=0.8;Zs=55;Zr=45,0.145627579399974,"{G002,G005}",0.176861167284676,0.0312335878847022,7,7,243,1701,1701,0.018275,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G003_04,A_stage4a1_quick61,unique_topology,G003_P008,G003,"{G003}","G003","{G003}",1,"{G003}",1,main=1;branch=1.05;load=0.8;Zs=45;Zr=45,0.159844348682473,"{G004,G007}",0.181353792597053,0.0215094439145801,7,7,243,1701,1701,0.016862,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G003_05,A_stage4a1_quick61,unique_topology,G003_P071,G003,"{G003}","G003","{G003}",1,"{G003}",1,main=1;branch=1.05;load=1;Zs=55;Zr=45,0.0661693600990876,"{G002,G005}",0.127989708505156,0.0618203484060683,7,7,243,1701,1701,0.018652,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G003_06,A_stage4a1_quick61,reject_model_mismatch,G003_P008,G003,"{G003}","","{G003}",1,"{G003}",1,main=1;branch=1.05;load=0.8;Zs=45;Zr=45,0.203499471857337,"{G004,G007}",0.214197862362786,0.0106983905054484,7,7,243,1701,1701,0.017078,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G003_07,A_stage4a1_quick61,unique_topology,G003_P215,G003,"{G003}","G003","{G003}",1,"{G003}",1,main=1;branch=1.05;load=1.2;Zs=50;Zr=55,0.0348220523701675,"{G002,G005}",0.128263143407797,0.0934410910376291,7,7,243,1701,1701,0.020449,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G003_08,A_stage4a1_quick61,unique_topology,G003_P059,G003,"{G003}","G003","{G003}",1,"{G003}",1,main=1;branch=1;load=0.8;Zs=55;Zr=45,0.074092213437388,"{G004,G007}",0.130792870499028,0.0567006570616396,7,7,243,1701,1701,0.016908,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G003_09,A_stage4a1_quick61,unique_topology,G003_P057,G003,"{G003}","G003","{G003}",1,"{G003}",1,main=1.05;branch=0.95;load=0.8;Zs=55;Zr=45,0.118315021214961,"{G004,G007}",0.15965206862197,0.0413370474070082,7,7,243,1701,1701,0.025041,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G003_10,A_stage4a1_quick61,unique_topology,G003_P124,G003,"{G003}","G003","{G003}",1,"{G003}",1,main=0.95;branch=1.05;load=1;Zs=50;Zr=50,0.0542834670473349,"{G004,G007}",0.130818253661391,0.0765347866140564,7,7,243,1701,1701,0.025502,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G003_11,A_stage4a1_quick61,unique_topology,G003_P007,G003,"{G003}","G003","{G003}",1,"{G003}",1,main=0.95;branch=1.05;load=0.8;Zs=45;Zr=45,0.125220337025094,"{G004,G007}",0.154953669140079,0.0297333321149852,7,7,243,1701,1701,0.025538,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G003_12,A_stage4a1_quick61,unique_topology,G003_P011,G003,"{G003}","G003","{G003}",1,"{G003}",1,main=1;branch=0.95;load=1;Zs=45;Zr=45,0.191662565019271,"{G004,G007}",0.199022112071853,0.00735954705258179,7,7,243,1701,1701,0.025335,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G004_01,A_stage4a1_quick61,equivalence_class,G004_P057,G004,"{G004,G007}","{G004,G007}","{G004,G007}",2,"{G004,G007}",2,main=1.05;branch=0.95;load=0.8;Zs=55;Zr=45,0.0898431413682079,"{G006}",0.0998513948198064,0.0100082534515985,7,7,243,1701,1701,0.025172,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G004_02,A_stage4a1_quick61,equivalence_class,G007_P123,G007,"{G004,G007}","{G004,G007}","{G004,G007}",2,"{G004,G007}",2,main=1.05;branch=1;load=1;Zs=50;Zr=50,0.0151084541941722,"{G006}",0.0446199341594206,0.0295114799652484,7,7,243,1701,1701,0.025649,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G004_03,A_stage4a1_quick61,equivalence_class,G007_P038,G007,"{G004,G007}","{G004,G007}","{G004,G007}",2,"{G004,G007}",2,main=1;branch=0.95;load=1;Zs=50;Zr=45,0.0223739635792048,"{G006}",0.0471924443265589,0.0248184807473541,7,7,243,1701,1701,0.023419,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G004_04,A_stage4a1_quick61,equivalence_class,G007_P049,G007,"{G004,G007}","{G004,G007}","{G004,G007}",2,"{G004,G007}",2,main=0.95;branch=1;load=1.2;Zs=50;Zr=45,0.0464106292928555,"{G006}",0.0600481199273531,0.0136374906344976,7,7,243,1701,1701,0.017165,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G004_05,A_stage4a1_quick61,reject_low_margin,G004_P012,G004,"{G004,G007}","","{G004,G007}",2,"{G004,G007}",2,main=1.05;branch=0.95;load=1;Zs=45;Zr=45,0.129576498340101,"{G006}",0.134001114949497,0.00442461660939583,7,7,243,1701,1701,0.01544,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G004_06,A_stage4a1_quick61,equivalence_class,G007_P059,G007,"{G004,G007}","{G004,G007}","{G004,G007}",2,"{G004,G007}",2,main=1;branch=1;load=0.8;Zs=55;Zr=45,0.0486964113545441,"{G006}",0.0662332889719723,0.0175368776174282,7,7,243,1701,1701,0.02241,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G004_07,A_stage4a1_quick61,equivalence_class,G004_P002,G004,"{G004,G007}","{G004,G007}","{G004,G007}",2,"{G004,G007}",2,main=1;branch=0.95;load=0.8;Zs=45;Zr=45,0.105655840906344,"{G006}",0.11481587621971,0.0091600353133659,7,7,243,1701,1701,0.020463,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G004_08,A_stage4a1_quick61,equivalence_class,G004_P074,G004,"{G004,G007}","{G004,G007}","{G004,G007}",2,"{G004,G007}",2,main=1;branch=0.95;load=1.2;Zs=55;Zr=45,0.0398995758001287,"{G006}",0.056434823346747,0.0165352475466183,7,7,243,1701,1701,0.024149,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
test_G004_09,A_stage4a1_quick61,reject_low_margin,G004_P007,G004,"{G004,G007}","","{G004,G007}",2,"{G004,G007}",2,main=0.95;branch=1.05;load=0.8;Zs=45;Zr=45,0.137707151059956,"{G006}",0.142719622475373,0.00501247141541755,7,7,243,1701,1701,0.025369,1,0.192576260242945,0.00630149726018205,321f37abfeef8f12eb979540d7a40a688e26374a36b2c4266123d0d84745c16a
