grid_id,scenario_id,scope,equivalence_class,member_count,member_topology_ids,candidate_count,tie_tolerance,configuration_hash
A_stage4a1_quick61,P0_no_prior,baseline_P0,"{G001}",1,"G001",7,1e-10,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
A_stage4a1_quick61,P0_no_prior,baseline_P0,"{G002,G005}",2,"G002,G005",7,1e-10,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
A_stage4a1_quick61,P0_no_prior,baseline_P0,"{G003}",1,"G003",7,1e-10,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
A_stage4a1_quick61,P0_no_prior,baseline_P0,"{G004,G007}",2,"G004,G007",7,1e-10,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
A_stage4a1_quick61,P0_no_prior,baseline_P0,"{G006}",1,"G006",7,1e-10,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
A_stage4a1_quick61,P0_no_prior,prior_conditioned,"{G001}",1,"G001",7,1e-10,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
A_stage4a1_quick61,P0_no_prior,prior_conditioned,"{G002,G005}",2,"G002,G005",7,1e-10,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
A_stage4a1_quick61,P0_no_prior,prior_conditioned,"{G003}",1,"G003",7,1e-10,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
A_stage4a1_quick61,P0_no_prior,prior_conditioned,"{G004,G007}",2,"G004,G007",7,1e-10,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
A_stage4a1_quick61,P0_no_prior,prior_conditioned,"{G006}",1,"G006",7,1e-10,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
A_stage4a1_quick61,P1_partial_consistent_prior,prior_conditioned,"{G001}",1,"G001",4,1e-10,f4504f99e28f7d12fe5bf004e51465b284645f42f8a2c566899a698e7e03ab83
A_stage4a1_quick61,P1_partial_consistent_prior,prior_conditioned,"{G003}",1,"G003",4,1e-10,f4504f99e28f7d12fe5bf004e51465b284645f42f8a2c566899a698e7e03ab83
A_stage4a1_quick61,P1_partial_consistent_prior,prior_conditioned,"{G005}",1,"G005",4,1e-10,f4504f99e28f7d12fe5bf004e51465b284645f42f8a2c566899a698e7e03ab83
A_stage4a1_quick61,P1_partial_consistent_prior,prior_conditioned,"{G007}",1,"G007",4,1e-10,f4504f99e28f7d12fe5bf004e51465b284645f42f8a2c566899a698e7e03ab83
A_stage4a1_quick61,P2_stale_or_inconsistent_prior,prior_conditioned,"{G001}",1,"G001",4,1e-10,596ac5ff578aebe6c6e25f19ce04fcd87749cfe35ec61e12d1152f684373fb2f
A_stage4a1_quick61,P2_stale_or_inconsistent_prior,prior_conditioned,"{G002,G005}",2,"G002,G005",4,1e-10,596ac5ff578aebe6c6e25f19ce04fcd87749cfe35ec61e12d1152f684373fb2f
A_stage4a1_quick61,P2_stale_or_inconsistent_prior,prior_conditioned,"{G006}",1,"G006",4,1e-10,596ac5ff578aebe6c6e25f19ce04fcd87749cfe35ec61e12d1152f684373fb2f
B_ofdm_active_subcarriers,P0_no_prior,baseline_P0,"{G001}",1,"G001",7,1e-10,f755618f214ade036f16b616dc8412ec49d122d8be76256dc4ab6aceb879199a
B_ofdm_active_subcarriers,P0_no_prior,baseline_P0,"{G002,G005}",2,"G002,G005",7,1e-10,f755618f214ade036f16b616dc8412ec49d122d8be76256dc4ab6aceb879199a
B_ofdm_active_subcarriers,P0_no_prior,baseline_P0,"{G003}",1,"G003",7,1e-10,f755618f214ade036f16b616dc8412ec49d122d8be76256dc4ab6aceb879199a
B_ofdm_active_subcarriers,P0_no_prior,baseline_P0,"{G004,G007}",2,"G004,G007",7,1e-10,f755618f214ade036f16b616dc8412ec49d122d8be76256dc4ab6aceb879199a
B_ofdm_active_subcarriers,P0_no_prior,baseline_P0,"{G006}",1,"G006",7,1e-10,f755618f214ade036f16b616dc8412ec49d122d8be76256dc4ab6aceb879199a
B_ofdm_active_subcarriers,P0_no_prior,prior_conditioned,"{G001}",1,"G001",7,1e-10,f755618f214ade036f16b616dc8412ec49d122d8be76256dc4ab6aceb879199a
B_ofdm_active_subcarriers,P0_no_prior,prior_conditioned,"{G002,G005}",2,"G002,G005",7,1e-10,f755618f214ade036f16b616dc8412ec49d122d8be76256dc4ab6aceb879199a
B_ofdm_active_subcarriers,P0_no_prior,prior_conditioned,"{G003}",1,"G003",7,1e-10,f755618f214ade036f16b616dc8412ec49d122d8be76256dc4ab6aceb879199a
B_ofdm_active_subcarriers,P0_no_prior,prior_conditioned,"{G004,G007}",2,"G004,G007",7,1e-10,f755618f214ade036f16b616dc8412ec49d122d8be76256dc4ab6aceb879199a
B_ofdm_active_subcarriers,P0_no_prior,prior_conditioned,"{G006}",1,"G006",7,1e-10,f755618f214ade036f16b616dc8412ec49d122d8be76256dc4ab6aceb879199a
B_ofdm_active_subcarriers,P1_partial_consistent_prior,prior_conditioned,"{G001}",1,"G001",4,1e-10,e7c3871b86971ed633896bf88f123a263aa41f6dba38529841747371ba7cf5cd
B_ofdm_active_subcarriers,P1_partial_consistent_prior,prior_conditioned,"{G003}",1,"G003",4,1e-10,e7c3871b86971ed633896bf88f123a263aa41f6dba38529841747371ba7cf5cd
B_ofdm_active_subcarriers,P1_partial_consistent_prior,prior_conditioned,"{G005}",1,"G005",4,1e-10,e7c3871b86971ed633896bf88f123a263aa41f6dba38529841747371ba7cf5cd
B_ofdm_active_subcarriers,P1_partial_consistent_prior,prior_conditioned,"{G007}",1,"G007",4,1e-10,e7c3871b86971ed633896bf88f123a263aa41f6dba38529841747371ba7cf5cd
B_ofdm_active_subcarriers,P2_stale_or_inconsistent_prior,prior_conditioned,"{G001}",1,"G001",4,1e-10,251a9f9d6f0c8d00352ddcf857ca04cc34b2fbca5d92db63dabbdc27898e74a6
B_ofdm_active_subcarriers,P2_stale_or_inconsistent_prior,prior_conditioned,"{G002,G005}",2,"G002,G005",4,1e-10,251a9f9d6f0c8d00352ddcf857ca04cc34b2fbca5d92db63dabbdc27898e74a6
B_ofdm_active_subcarriers,P2_stale_or_inconsistent_prior,prior_conditioned,"{G006}",1,"G006",4,1e-10,251a9f9d6f0c8d00352ddcf857ca04cc34b2fbca5d92db63dabbdc27898e74a6
