sample_id,grid_id,decision,best_template_id,best_topology_id,best_equivalence_class,accepted_topology_set,baseline_P0_equivalence_class,baseline_P0_equivalence_class_size,prior_conditioned_equivalence_class,prior_conditioned_equivalence_class_size,best_parameter_values,best_distance,second_competing_class,second_distance,margin,candidate_count_before_prior,candidate_count_after_prior,parameter_template_count,composite_template_count,distance_evaluations,matching_time_s,cache_hit,residual_threshold,margin_threshold,configuration_hash
test_G001_01,A_stage4a1_quick61,reject_model_mismatch,G001_P137,G001,"{G001}","",{G001},1,"{G001}",1,main=1;branch=0.95;load=0.8;Zs=55;Zr=50,0.103989680583025,"{G002,G005}",0.148868282076936,0.0448786014939109,7,7,243,1701,1701,0.326538,1,0.0434390063322205,0.0665180564690625,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
test_G002_01,A_stage4a1_quick61,equivalence_class,G005_P041,G005,"{G002,G005}","{G002,G005}",,0,"{G002,G005}",2,main=1;branch=1;load=1;Zs=50;Zr=45,0.0115731343296618,"{G006}",0.101674948113334,0.0901018137836724,7,7,243,1701,1701,0.317679,1,0.0434390063322205,0.0665180564690625,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
test_G003_01,A_stage4a1_quick61,reject_model_mismatch,G003_P161,G003,"{G003}","",{G003},1,"{G003}",1,main=1;branch=1.05;load=1.2;Zs=55;Zr=50,0.101331135023932,"{G004,G007}",0.161254533053684,0.0599233980297517,7,7,243,1701,1701,0.303903,1,0.0434390063322205,0.0665180564690625,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
test_G004_01,A_stage4a1_quick61,equivalence_class,G004_P187,G004,"{G004,G007}","{G004,G007}",,0,"{G004,G007}",2,main=0.95;branch=1.05;load=1.2;Zs=45;Zr=55,0.0141928608292019,"{G006}",0.0993701530847357,0.0851772922555338,7,7,243,1701,1701,0.302189,1,0.0434390063322205,0.0665180564690625,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
test_G005_01,A_stage4a1_quick61,equivalence_class,G005_P178,G005,"{G002,G005}","{G002,G005}",,0,"{G002,G005}",2,main=0.95;branch=1.05;load=1;Zs=45;Zr=55,0.00750994427227804,"{G006}",0.148428301556377,0.140918357284099,7,7,243,1701,1701,0.316386,1,0.0434390063322205,0.0665180564690625,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
test_G006_01,A_stage4a1_quick61,unique_topology,G006_P175,G006,"{G006}","G006",{G006},1,"{G006}",1,main=0.95;branch=1;load=1;Zs=45;Zr=55,0.0160094489188047,"{G004,G007}",0.0857651480024609,0.0697556990836561,7,7,243,1701,1701,0.363597,1,0.0434390063322205,0.0665180564690625,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
test_G007_01,A_stage4a1_quick61,equivalence_class,G004_P227,G004,"{G004,G007}","{G004,G007}",,0,"{G004,G007}",2,main=1;branch=0.95;load=1;Zs=55;Zr=55,0.0147157267648231,"{G003}",0.107816949980473,0.0931012232156498,7,7,243,1701,1701,0.390082,1,0.0434390063322205,0.0665180564690625,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
test_structure_out_01,A_stage4a1_quick61,reject_low_margin,G002_P019,G002,"{G002,G005}","",,0,"{G002,G005}",2,main=0.95;branch=0.95;load=1.2;Zs=45;Zr=45,0.0354105286034163,"{G006}",0.0959922823608337,0.0605817537574175,7,7,243,1701,1701,0.410976,1,0.0434390063322205,0.0665180564690625,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
test_structure_out_02,A_stage4a1_quick61,reject_model_mismatch,G003_P101,G003,"{G003}","",{G003},1,"{G003}",1,main=1;branch=0.95;load=1.2;Zs=45;Zr=50,0.105218654029751,"{G004,G007}",0.142853447877539,0.037634793847788,7,7,243,1701,1701,0.340194,1,0.0434390063322205,0.0665180564690625,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
test_parameter_out_01,A_stage4a1_quick61,reject_model_mismatch,G001_P057,G001,"{G001}","",{G001},1,"{G001}",1,main=1.05;branch=0.95;load=0.8;Zs=55;Zr=45,0.287507775263619,"{G002,G005}",0.343821620033913,0.0563138447702949,7,7,243,1701,1701,0.322206,1,0.0434390063322205,0.0665180564690625,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
test_parameter_out_02,A_stage4a1_quick61,equivalence_class,G002_P057,G002,"{G002,G005}","{G002,G005}",,0,"{G002,G005}",2,main=1.05;branch=0.95;load=0.8;Zs=55;Zr=45,0.0359994446739684,"{G006}",0.102683198918574,0.0666837542446053,7,7,243,1701,1701,0.291875,1,0.0434390063322205,0.0665180564690625,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
test_G001_01,A_stage4a1_quick61,reject_model_mismatch,G001_P137,G001,"{G001}","",{G001},1,"{G001}",1,main=1;branch=0.95;load=0.8;Zs=55;Zr=50,0.103989680583025,"{G005}",0.148868282076936,0.0448786014939109,4,4,243,972,972,0.201156,1,0.0434390063322205,0.0665180564690625,f4504f99e28f7d12fe5bf004e51465b284645f42f8a2c566899a698e7e03ab83
test_G002_01,A_stage4a1_quick61,unique_topology,G005_P041,G005,"{G005}","G005",,0,"{G005}",1,main=1;branch=1;load=1;Zs=50;Zr=45,0.0115731343296618,"{G001}",0.122241738057174,0.110668603727512,4,4,243,972,972,0.178855,1,0.0434390063322205,0.0665180564690625,f4504f99e28f7d12fe5bf004e51465b284645f42f8a2c566899a698e7e03ab83
test_G003_01,A_stage4a1_quick61,reject_model_mismatch,G003_P161,G003,"{G003}","",{G003},1,"{G003}",1,main=1;branch=1.05;load=1.2;Zs=55;Zr=50,0.101331135023932,"{G007}",0.161254533053684,0.0599233980297517,4,4,243,972,972,0.161118,1,0.0434390063322205,0.0665180564690625,f4504f99e28f7d12fe5bf004e51465b284645f42f8a2c566899a698e7e03ab83
test_G004_01,A_stage4a1_quick61,unique_topology,G007_P160,G007,"{G007}","G007",,0,"{G007}",1,main=0.95;branch=1.05;load=1.2;Zs=55;Zr=50,0.0157347598259245,"{G003}",0.144969861794564,0.129235101968639,4,4,243,972,972,0.171028,1,0.0434390063322205,0.0665180564690625,f4504f99e28f7d12fe5bf004e51465b284645f42f8a2c566899a698e7e03ab83
test_G005_01,A_stage4a1_quick61,unique_topology,G005_P178,G005,"{G005}","G005",,0,"{G005}",1,main=0.95;branch=1.05;load=1;Zs=45;Zr=55,0.00750994427227804,"{G001}",0.175521920210969,0.168011975938691,4,4,243,972,972,0.17384,1,0.0434390063322205,0.0665180564690625,f4504f99e28f7d12fe5bf004e51465b284645f42f8a2c566899a698e7e03ab83
test_G006_01,A_stage4a1_quick61,reject_model_mismatch,G007_P049,G007,"{G007}","",,0,"{G007}",1,main=0.95;branch=1;load=1.2;Zs=50;Zr=45,0.0863324737643992,"{G005}",0.152472615563358,0.0661401417989591,4,4,243,972,972,0.182258,1,0.0434390063322205,0.0665180564690625,f4504f99e28f7d12fe5bf004e51465b284645f42f8a2c566899a698e7e03ab83
test_G007_01,A_stage4a1_quick61,unique_topology,G007_P227,G007,"{G007}","G007",,0,"{G007}",1,main=1;branch=0.95;load=1;Zs=55;Zr=55,0.0147157267648231,"{G003}",0.107816949980473,0.0931012232156498,4,4,243,972,972,0.247943,1,0.0434390063322205,0.0665180564690625,f4504f99e28f7d12fe5bf004e51465b284645f42f8a2c566899a698e7e03ab83
test_structure_out_01,A_stage4a1_quick61,unique_topology,G005_P019,G005,"{G005}","G005",,0,"{G005}",1,main=0.95;branch=0.95;load=1.2;Zs=45;Zr=45,0.0354105286034164,"{G007}",0.164863582891463,0.129453054288047,4,4,243,972,972,0.251191,1,0.0434390063322205,0.0665180564690625,f4504f99e28f7d12fe5bf004e51465b284645f42f8a2c566899a698e7e03ab83
test_structure_out_02,A_stage4a1_quick61,reject_model_mismatch,G003_P101,G003,"{G003}","",{G003},1,"{G003}",1,main=1;branch=0.95;load=1.2;Zs=45;Zr=50,0.105218654029751,"{G007}",0.142853447877539,0.037634793847788,4,4,243,972,972,0.22777,1,0.0434390063322205,0.0665180564690625,f4504f99e28f7d12fe5bf004e51465b284645f42f8a2c566899a698e7e03ab83
test_parameter_out_01,A_stage4a1_quick61,reject_model_mismatch,G001_P057,G001,"{G001}","",{G001},1,"{G001}",1,main=1.05;branch=0.95;load=0.8;Zs=55;Zr=45,0.287507775263619,"{G005}",0.343821620033913,0.0563138447702949,4,4,243,972,972,0.213066,1,0.0434390063322205,0.0665180564690625,f4504f99e28f7d12fe5bf004e51465b284645f42f8a2c566899a698e7e03ab83
test_parameter_out_02,A_stage4a1_quick61,unique_topology,G005_P057,G005,"{G005}","G005",,0,"{G005}",1,main=1.05;branch=0.95;load=0.8;Zs=55;Zr=45,0.0360665350440033,"{G001}",0.142510031923635,0.106443496879631,4,4,243,972,972,0.170523,1,0.0434390063322205,0.0665180564690625,f4504f99e28f7d12fe5bf004e51465b284645f42f8a2c566899a698e7e03ab83
test_G001_01,A_stage4a1_quick61,reject_model_mismatch,G001_P137,G001,"{G001}","",{G001},1,"{G001}",1,main=1;branch=0.95;load=0.8;Zs=55;Zr=50,0.103989680583025,"{G002,G005}",0.148868282076936,0.0448786014939109,4,4,243,972,972,0.175493,1,0.0434390063322205,0.0665180564690625,596ac5ff578aebe6c6e25f19ce04fcd87749cfe35ec61e12d1152f684373fb2f
test_G002_01,A_stage4a1_quick61,equivalence_class,G005_P041,G005,"{G002,G005}","{G002,G005}",,0,"{G002,G005}",2,main=1;branch=1;load=1;Zs=50;Zr=45,0.0115731343296618,"{G006}",0.101674948113334,0.0901018137836724,4,4,243,972,972,0.16477,1,0.0434390063322205,0.0665180564690625,596ac5ff578aebe6c6e25f19ce04fcd87749cfe35ec61e12d1152f684373fb2f
test_G003_01,A_stage4a1_quick61,reject_model_mismatch,G001_P056,G001,"{G001}","",{G001},1,"{G001}",1,main=1;branch=0.95;load=0.8;Zs=55;Zr=45,0.221521971974122,"{G002,G005}",0.231239690244907,0.0097177182707853,4,4,243,972,972,0.16605,1,0.0434390063322205,0.0665180564690625,596ac5ff578aebe6c6e25f19ce04fcd87749cfe35ec61e12d1152f684373fb2f
test_G004_01,A_stage4a1_quick61,reject_model_mismatch,G006_P232,G006,"{G006}","",{G006},1,"{G006}",1,main=0.95;branch=1.05;load=1;Zs=55;Zr=55,0.0993701530847357,"{G002,G005}",0.182315439535335,0.0829452864505993,4,4,243,972,972,0.195984,1,0.0434390063322205,0.0665180564690625,596ac5ff578aebe6c6e25f19ce04fcd87749cfe35ec61e12d1152f684373fb2f
test_G005_01,A_stage4a1_quick61,equivalence_class,G005_P178,G005,"{G002,G005}","{G002,G005}",,0,"{G002,G005}",2,main=0.95;branch=1.05;load=1;Zs=45;Zr=55,0.00750994427227804,"{G006}",0.148428301556377,0.140918357284099,4,4,243,972,972,0.175632,1,0.0434390063322205,0.0665180564690625,596ac5ff578aebe6c6e25f19ce04fcd87749cfe35ec61e12d1152f684373fb2f
