scenario_id,grid_id,category,sample_count,truth_coverage_rate,truth_coverage_num,truth_coverage_den,truth_coverage_wilson_low,truth_coverage_wilson_high,nearest_topology_hit_rate,nearest_topology_hit_num,nearest_topology_hit_den,nearest_topology_hit_wilson_low,nearest_topology_hit_wilson_high,nearest_class_hit_rate,nearest_class_hit_num,nearest_class_hit_den,nearest_class_hit_wilson_low,nearest_class_hit_wilson_high,in_library_reject_rate,in_library_reject_num,in_library_reject_den,in_library_reject_wilson_low,in_library_reject_wilson_high,unique_given_prior_rate,unique_given_prior_num,unique_given_prior_den,unique_given_prior_wilson_low,unique_given_prior_wilson_high,unique_given_prior_error_rate,unique_given_prior_error_num,unique_given_prior_error_den,unique_given_prior_error_wilson_low,unique_given_prior_error_wilson_high,prior_collapsed_equivalence_rate,prior_collapsed_equivalence_num,prior_collapsed_equivalence_den,prior_collapsed_equivalence_wilson_low,prior_collapsed_equivalence_wilson_high,structure_out_false_accept_rate,structure_out_false_accept_num,structure_out_false_accept_den,structure_out_false_accept_wilson_low,structure_out_false_accept_wilson_high,parameter_out_false_accept_rate,parameter_out_false_accept_num,parameter_out_false_accept_den,parameter_out_false_accept_wilson_low,parameter_out_false_accept_wilson_high,excluded_by_prior_false_accept_rate,excluded_by_prior_false_accept_num,excluded_by_prior_false_accept_den,excluded_by_prior_false_accept_wilson_low,excluded_by_prior_false_accept_wilson_high,reject_model_mismatch_rate,reject_model_mismatch_num,reject_model_mismatch_den,reject_model_mismatch_wilson_low,reject_model_mismatch_wilson_high,reject_low_margin_rate,reject_low_margin_num,reject_low_margin_den,reject_low_margin_wilson_low,reject_low_margin_wilson_high,reject_no_feasible_candidate_rate,reject_no_feasible_candidate_num,reject_no_feasible_candidate_den,reject_no_feasible_candidate_wilson_low,reject_no_feasible_candidate_wilson_high,unique_accuracy_given_covered,unique_accuracy_num,unique_accuracy_den,unique_accuracy_wilson_low,unique_accuracy_wilson_high,set_accuracy_given_covered,set_accuracy_num,set_accuracy_den,set_accuracy_wilson_low,set_accuracy_wilson_high,unique_given_prior_accuracy,unique_given_prior_accuracy_num,unique_given_prior_accuracy_den,unique_given_prior_accuracy_wilson_low,unique_given_prior_accuracy_wilson_high,false_unique_rate_given_nonunique,false_unique_num,false_unique_den,false_unique_wilson_low,false_unique_wilson_high,mean_best_distance,mean_margin,mean_candidate_count_after_prior,parameter_template_count,composite_template_count,config_hash
P0_no_prior,A_stage4a1_quick61,in_library_continuous,7,1,7,7,0.645669564933314,1,0.714285714285714,5,7,0.35893445183262,0.917781075995943,1,7,7,0.645669564933314,1,0.285714285714286,2,7,0.0822189240040569,0.64106554816738,0,0,7,0,0.354330435066686,NaN,0,0,NaN,NaN,0,0,4,0,0.489890836454596,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.285714285714286,2,7,0.0822189240040569,0.64106554816738,0,0,7,0,0.354330435066686,0,0,7,0,0.354330435066686,0.142857142857143,1,7,0.0256796243447437,0.513127829274318,0.714285714285714,5,7,0.35893445183262,0.917781075995943,NaN,0,0,NaN,NaN,0,0,4,0,0.489890836454596,0.0384745615316753,0.0834080550208962,7,243,1701,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
P0_no_prior,A_stage4a1_quick61,parameter_out,2,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.5,1,2,0.0945312057342311,0.905468794265769,NaN,0,0,NaN,NaN,0.5,1,2,0.0945312057342311,0.905468794265769,0,0,2,0,0.657619772493346,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,1,0,0.793450685622762,0.161753609968793,0.0614987995074501,7,243,1701,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
P0_no_prior,A_stage4a1_quick61,structure_out,2,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.5,1,2,0.0945312057342311,0.905468794265769,0.5,1,2,0.0945312057342311,0.905468794265769,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.0703145913165838,0.0491082738026027,7,243,1701,3f0635f724644e37e6f359c231e744fcd3b5707f968998f7161e58c30031dae0
P0_no_prior,B_ofdm_active_subcarriers,in_library_continuous,7,1,7,7,0.645669564933314,1,0.571428571428571,4,7,0.250458364527658,0.84178014474853,1,7,7,0.645669564933314,1,0.571428571428571,4,7,0.250458364527658,0.84178014474853,0,0,7,0,0.354330435066686,NaN,0,0,NaN,NaN,0,0,4,0,0.489890836454596,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.142857142857143,1,7,0.0256796243447437,0.513127829274318,0.428571428571429,3,7,0.15821985525147,0.749541635472342,0,0,7,0,0.354330435066686,0.142857142857143,1,7,0.0256796243447437,0.513127829274318,0.428571428571429,3,7,0.15821985525147,0.749541635472342,NaN,0,0,NaN,NaN,0,0,4,0,0.489890836454596,0.00594827966237166,0.04816249561042,7,243,1701,f755618f214ade036f16b616dc8412ec49d122d8be76256dc4ab6aceb879199a
P0_no_prior,B_ofdm_active_subcarriers,parameter_out,2,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.5,1,2,0.0945312057342311,0.905468794265769,NaN,0,0,NaN,NaN,0.5,1,2,0.0945312057342311,0.905468794265769,0,0,2,0,0.657619772493346,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,1,0,0.793450685622762,0.0248606344792429,0.0535675025988197,7,243,1701,f755618f214ade036f16b616dc8412ec49d122d8be76256dc4ab6aceb879199a
P0_no_prior,B_ofdm_active_subcarriers,structure_out,2,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.5,1,2,0.0945312057342311,0.905468794265769,0.5,1,2,0.0945312057342311,0.905468794265769,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.0183141347583996,0.0164949551378943,7,243,1701,f755618f214ade036f16b616dc8412ec49d122d8be76256dc4ab6aceb879199a
P1_partial_consistent_prior,A_stage4a1_quick61,in_library_continuous,7,0.571428571428571,4,7,0.250458364527658,0.84178014474853,1,4,4,0.510109163545404,1,1,4,4,0.510109163545404,1,0.5,2,4,0.15003898915215,0.84996101084785,0,0,7,0,0.354330435066686,NaN,0,0,NaN,NaN,1,2,2,0.342380227506654,1,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.666666666666667,2,3,0.207659600802048,0.938508055279603,0.428571428571429,3,7,0.15821985525147,0.749541635472342,0,0,7,0,0.354330435066686,0,0,7,0,0.354330435066686,0.5,2,4,0.15003898915215,0.84996101084785,0.5,2,4,0.15003898915215,0.84996101084785,NaN,0,0,NaN,NaN,1,4,4,0.510109163545404,1,0.0487409792234349,0.0959941494533019,4,243,972,f4504f99e28f7d12fe5bf004e51465b284645f42f8a2c566899a698e7e03ab83
P1_partial_consistent_prior,A_stage4a1_quick61,parameter_out,2,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.5,1,2,0.0945312057342311,0.905468794265769,NaN,0,0,NaN,NaN,0.5,1,2,0.0945312057342311,0.905468794265769,0,0,2,0,0.657619772493346,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,1,1,1,0.206549314377238,1,0.161787155153811,0.0813786708249631,4,243,972,f4504f99e28f7d12fe5bf004e51465b284645f42f8a2c566899a698e7e03ab83
P1_partial_consistent_prior,A_stage4a1_quick61,structure_out,2,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.5,1,2,0.0945312057342311,0.905468794265769,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.5,1,2,0.0945312057342311,0.905468794265769,0,0,2,0,0.657619772493346,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.0703145913165838,0.0835439240679175,4,243,972,f4504f99e28f7d12fe5bf004e51465b284645f42f8a2c566899a698e7e03ab83
P1_partial_consistent_prior,B_ofdm_active_subcarriers,in_library_continuous,7,0.571428571428571,4,7,0.250458364527658,0.84178014474853,1,4,4,0.510109163545404,1,1,4,4,0.510109163545404,1,0.25,1,4,0.0455872608097007,0.699358157417597,0,0,7,0,0.354330435066686,NaN,0,0,NaN,NaN,1,2,2,0.342380227506654,1,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.666666666666667,2,3,0.207659600802048,0.938508055279603,0.285714285714286,2,7,0.0822189240040569,0.64106554816738,0,0,7,0,0.354330435066686,0,0,7,0,0.354330435066686,0.75,3,4,0.300641842582403,0.954412739190299,0.75,3,4,0.300641842582403,0.954412739190299,NaN,0,0,NaN,NaN,1,4,4,0.510109163545404,1,0.00786709075011053,0.0928702011935838,4,243,972,e7c3871b86971ed633896bf88f123a263aa41f6dba38529841747371ba7cf5cd
