grid_id,scenario_id,equivalence_class,member_count,member_topology_ids,candidate_count,tie_tolerance,config_hash
A_stage4a1_quick61,P0_no_prior,"{G001}",1,"G001",7,1e-10,55831F22
A_stage4a1_quick61,P0_no_prior,"{G002,G005}",2,"G002,G005",7,1e-10,55831F22
A_stage4a1_quick61,P0_no_prior,"{G003}",1,"G003",7,1e-10,55831F22
A_stage4a1_quick61,P0_no_prior,"{G004,G007}",2,"G004,G007",7,1e-10,55831F22
A_stage4a1_quick61,P0_no_prior,"{G006}",1,"G006",7,1e-10,55831F22
A_stage4a1_quick61,P1_partial_consistent_prior,"{G001}",1,"G001",4,1e-10,55831F22
A_stage4a1_quick61,P1_partial_consistent_prior,"{G003}",1,"G003",4,1e-10,55831F22
A_stage4a1_quick61,P1_partial_consistent_prior,"{G005}",1,"G005",4,1e-10,55831F22
A_stage4a1_quick61,P1_partial_consistent_prior,"{G007}",1,"G007",4,1e-10,55831F22
A_stage4a1_quick61,P2_stale_or_inconsistent_prior,"{G001}",1,"G001",4,1e-10,55831F22
A_stage4a1_quick61,P2_stale_or_inconsistent_prior,"{G002,G005}",2,"G002,G005",4,1e-10,55831F22
A_stage4a1_quick61,P2_stale_or_inconsistent_prior,"{G006}",1,"G006",4,1e-10,55831F22
B_ofdm_active_subcarriers,P0_no_prior,"{G001}",1,"G001",7,1e-10,55831F22
B_ofdm_active_subcarriers,P0_no_prior,"{G002,G005}",2,"G002,G005",7,1e-10,55831F22
B_ofdm_active_subcarriers,P0_no_prior,"{G003}",1,"G003",7,1e-10,55831F22
B_ofdm_active_subcarriers,P0_no_prior,"{G004,G007}",2,"G004,G007",7,1e-10,55831F22
B_ofdm_active_subcarriers,P0_no_prior,"{G006}",1,"G006",7,1e-10,55831F22
B_ofdm_active_subcarriers,P1_partial_consistent_prior,"{G001}",1,"G001",4,1e-10,55831F22
B_ofdm_active_subcarriers,P1_partial_consistent_prior,"{G003}",1,"G003",4,1e-10,55831F22
B_ofdm_active_subcarriers,P1_partial_consistent_prior,"{G005}",1,"G005",4,1e-10,55831F22
B_ofdm_active_subcarriers,P1_partial_consistent_prior,"{G007}",1,"G007",4,1e-10,55831F22
B_ofdm_active_subcarriers,P2_stale_or_inconsistent_prior,"{G001}",1,"G001",4,1e-10,55831F22
B_ofdm_active_subcarriers,P2_stale_or_inconsistent_prior,"{G002,G005}",2,"G002,G005",4,1e-10,55831F22
B_ofdm_active_subcarriers,P2_stale_or_inconsistent_prior,"{G006}",1,"G006",4,1e-10,55831F22
