sample_id,grid_id,decision,best_template_id,best_topology_id,best_equivalence_class,best_parameter_values,best_distance,second_competing_class,second_distance,margin,candidate_count_before_prior,candidate_count_after_prior,parameter_template_count,composite_template_count,streaming_used,residual_threshold,margin_threshold,config_hash
test_G001_01,A_stage4a1_quick61,reject_model_mismatch,G001_P002,G001,"{G001}",main=1;branch=0.95;load=0.8;Zs=45;Zr=45,0.276017265277367,"{G002,G005}",0.284493301675433,0.00847603639806577,7,7,243,1701,1,0.267130227889787,0.00642971910469442,55831F22
test_G002_01,A_stage4a1_quick61,equivalence_class,G002_P013,G002,"{G002,G005}",main=0.95;branch=1;load=1;Zs=45;Zr=45,0.141178623800338,"{G006}",0.16156151062378,0.0203828868234414,7,7,243,1701,1,0.267130227889787,0.00642971910469442,55831F22
test_G003_01,A_stage4a1_quick61,unique_topology,G003_P071,G003,"{G003}",main=1;branch=1.05;load=1;Zs=55;Zr=45,0.0404560481059936,"{G002,G005}",0.119750006907944,0.0792939588019504,7,7,243,1701,1,0.267130227889787,0.00642971910469442,55831F22
test_G004_01,A_stage4a1_quick61,equivalence_class,G007_P069,G007,"{G004,G007}",main=1.05;branch=1;load=1;Zs=55;Zr=45,0.0706191834802353,"{G006}",0.0819812745887808,0.0113620911085455,7,7,243,1701,1,0.267130227889787,0.00642971910469442,55831F22
test_G005_01,A_stage4a1_quick61,equivalence_class,G005_P111,G005,"{G002,G005}",main=1.05;branch=0.95;load=0.8;Zs=50;Zr=50,0.0436270500503278,"{G006}",0.104571623134597,0.0609445730842694,7,7,243,1701,1,0.267130227889787,0.00642971910469442,55831F22
test_G006_01,A_stage4a1_quick61,unique_topology,G006_P104,G006,"{G006}",main=1;branch=1;load=1.2;Zs=45;Zr=50,0.0279919214592527,"{G004,G007}",0.0471594403601616,0.019167518900909,7,7,243,1701,1,0.267130227889787,0.00642971910469442,55831F22
test_G007_01,A_stage4a1_quick61,equivalence_class,G004_P011,G004,"{G004,G007}",main=1;branch=0.95;load=1;Zs=45;Zr=45,0.114242949350693,"{G006}",0.120644209500292,0.00640126014959874,7,7,243,1701,1,0.267130227889787,0.00642971910469442,55831F22
test_structure_out,A_stage4a1_quick61,equivalence_class,G006_P021,G006,"{G006}",main=1.05;branch=0.95;load=1.2;Zs=45;Zr=45,0.137900082812456,"{G004,G007}",0.138260859044597,0.00036077623214123,7,7,243,1701,1,0.267130227889787,0.00642971910469442,55831F22
test_parameter_out,A_stage4a1_quick61,reject_model_mismatch,G004_P026,G004,"{G004,G007}",main=1;branch=1.05;load=1.2;Zs=45;Zr=45,0.367783265786907,"{G006}",0.369334763714717,0.00155149792781029,7,7,243,1701,1,0.267130227889787,0.00642971910469442,55831F22
test_G001_01,A_stage4a1_quick61,reject_model_mismatch,G001_P002,G001,"{G001}",main=1;branch=0.95;load=0.8;Zs=45;Zr=45,0.276017265277367,"{G005}",0.284493301675433,0.00847603639806577,4,4,243,972,1,0.267130227889787,0.00642971910469442,55831F22
test_G002_01,A_stage4a1_quick61,unique_topology,G005_P013,G005,"{G005}",main=0.95;branch=1;load=1;Zs=45;Zr=45,0.141178623800338,"{G007}",0.161649587172812,0.0204709633724737,4,4,243,972,1,0.267130227889787,0.00642971910469442,55831F22
test_G003_01,A_stage4a1_quick61,unique_topology,G003_P071,G003,"{G003}",main=1;branch=1.05;load=1;Zs=55;Zr=45,0.0404560481059936,"{G005}",0.120311964805133,0.0798559166991395,4,4,243,972,1,0.267130227889787,0.00642971910469442,55831F22
test_G004_01,A_stage4a1_quick61,unique_topology,G007_P069,G007,"{G007}",main=1.05;branch=1;load=1;Zs=55;Zr=45,0.0706191834802353,"{G005}",0.112994328326944,0.0423751448467089,4,4,243,972,1,0.267130227889787,0.00642971910469442,55831F22
test_G005_01,A_stage4a1_quick61,unique_topology,G005_P111,G005,"{G005}",main=1.05;branch=0.95;load=0.8;Zs=50;Zr=50,0.0436270500503278,"{G007}",0.106578047293112,0.0629509972427841,4,4,243,972,1,0.267130227889787,0.00642971910469442,55831F22
test_G006_01,A_stage4a1_quick61,unique_topology,G007_P104,G007,"{G007}",main=1;branch=1;load=1.2;Zs=45;Zr=50,0.0477400519659866,"{G005}",0.092134114556717,0.0443940625907304,4,4,243,972,1,0.267130227889787,0.00642971910469442,55831F22
test_G007_01,A_stage4a1_quick61,unique_topology,G007_P011,G007,"{G007}",main=1;branch=0.95;load=1;Zs=45;Zr=45,0.114242949350693,"{G005}",0.159883952428962,0.0456410030782682,4,4,243,972,1,0.267130227889787,0.00642971910469442,55831F22
test_structure_out,A_stage4a1_quick61,unique_topology,G007_P021,G007,"{G007}",main=1.05;branch=0.95;load=1.2;Zs=45;Zr=45,0.138260859044597,"{G005}",0.191093962767863,0.0528331037232652,4,4,243,972,1,0.267130227889787,0.00642971910469442,55831F22
test_parameter_out,A_stage4a1_quick61,reject_model_mismatch,G007_P026,G007,"{G007}",main=1;branch=1.05;load=1.2;Zs=45;Zr=45,0.367783265786907,"{G005}",0.399076891879801,0.0312936260928945,4,4,243,972,1,0.267130227889787,0.00642971910469442,55831F22
test_G001_01,A_stage4a1_quick61,reject_model_mismatch,G001_P002,G001,"{G001}",main=1;branch=0.95;load=0.8;Zs=45;Zr=45,0.276017265277367,"{G002,G005}",0.284493301675433,0.00847603639806577,4,4,243,972,1,0.267130227889787,0.00642971910469442,55831F22
test_G002_01,A_stage4a1_quick61,equivalence_class,G002_P013,G002,"{G002,G005}",main=0.95;branch=1;load=1;Zs=45;Zr=45,0.141178623800338,"{G006}",0.16156151062378,0.0203828868234414,4,4,243,972,1,0.267130227889787,0.00642971910469442,55831F22
test_G003_01,A_stage4a1_quick61,equivalence_class,G002_P080,G002,"{G002,G005}",main=1;branch=1.05;load=1.2;Zs=55;Zr=45,0.119750006907944,"{G006}",0.134757423684575,0.0150074167766308,4,4,243,972,1,0.267130227889787,0.00642971910469442,55831F22
test_G004_01,A_stage4a1_quick61,unique_topology,G006_P078,G006,"{G006}",main=1.05;branch=1;load=1.2;Zs=55;Zr=45,0.0819812745887808,"{G002,G005}",0.112994328326944,0.0310130537381635,4,4,243,972,1,0.267130227889787,0.00642971910469442,55831F22
test_G005_01,A_stage4a1_quick61,equivalence_class,G005_P111,G005,"{G002,G005}",main=1.05;branch=0.95;load=0.8;Zs=50;Zr=50,0.0436270500503278,"{G006}",0.104571623134597,0.0609445730842694,4,4,243,972,1,0.267130227889787,0.00642971910469442,55831F22
test_G006_01,A_stage4a1_quick61,unique_topology,G006_P104,G006,"{G006}",main=1;branch=1;load=1.2;Zs=45;Zr=50,0.0279919214592527,"{G002,G005}",0.092134114556717,0.0641421930974643,4,4,243,972,1,0.267130227889787,0.00642971910469442,55831F22
test_G007_01,A_stage4a1_quick61,unique_topology,G006_P020,G006,"{G006}",main=1;branch=0.95;load=1.2;Zs=45;Zr=45,0.120644209500292,"{G002,G005}",0.159883952428961,0.0392397429286694,4,4,243,972,1,0.267130227889787,0.00642971910469442,55831F22
test_structure_out,A_stage4a1_quick61,unique_topology,G006_P021,G006,"{G006}",main=1.05;branch=0.95;load=1.2;Zs=45;Zr=45,0.137900082812456,"{G002,G005}",0.191093962767863,0.0531938799554065,4,4,243,972,1,0.267130227889787,0.00642971910469442,55831F22
test_parameter_out,A_stage4a1_quick61,reject_model_mismatch,G006_P026,G006,"{G006}",main=1;branch=1.05;load=1.2;Zs=45;Zr=45,0.369334763714717,"{G002,G005}",0.399076891879801,0.0297421281650843,4,4,243,972,1,0.267130227889787,0.00642971910469442,55831F22
test_G001_01,B_ofdm_active_subcarriers,reject_model_mismatch,G001_P002,G001,"{G001}",main=1;branch=0.95;load=0.8;Zs=45;Zr=45,0.277169548363363,"{G002,G005}",0.285802219172963,0.00863267080960023,7,7,243,1701,1,0.268404871174611,0.0065976736159663,55831F22
test_G002_01,B_ofdm_active_subcarriers,equivalence_class,G002_P013,G002,"{G002,G005}",main=0.95;branch=1;load=1;Zs=45;Zr=45,0.142716658838,"{G004,G007}",0.158915399687882,0.0161987408498824,7,7,243,1701,1,0.268404871174611,0.0065976736159663,55831F22
test_G003_01,B_ofdm_active_subcarriers,unique_topology,G003_P071,G003,"{G003}",main=1;branch=1.05;load=1;Zs=55;Zr=45,0.0409139764380527,"{G002,G005}",0.117913271485126,0.0769992950470737,7,7,243,1701,1,0.268404871174611,0.0065976736159663,55831F22
test_G004_01,B_ofdm_active_subcarriers,equivalence_class,G007_P069,G007,"{G004,G007}",main=1.05;branch=1;load=1;Zs=55;Zr=45,0.0709235399398703,"{G006}",0.0825326193507258,0.0116090794108555,7,7,243,1701,1,0.268404871174611,0.0065976736159663,55831F22
test_G005_01,B_ofdm_active_subcarriers,equivalence_class,G002_P147,G002,"{G002,G005}",main=1.05;branch=0.95;load=1;Zs=55;Zr=50,0.0436869069020654,"{G006}",0.102290795110676,0.0586038882086108,7,7,243,1701,1,0.268404871174611,0.0065976736159663,55831F22
test_G006_01,B_ofdm_active_subcarriers,unique_topology,G006_P104,G006,"{G006}",main=1;branch=1;load=1.2;Zs=45;Zr=50,0.0280991166155741,"{G004,G007}",0.0472133265958858,0.0191142099803117,7,7,243,1701,1,0.268404871174611,0.0065976736159663,55831F22
test_G007_01,B_ofdm_active_subcarriers,equivalence_class,G004_P011,G004,"{G004,G007}",main=1;branch=0.95;load=1;Zs=45;Zr=45,0.114507760078148,"{G006}",0.120993307006604,0.0064855469284565,7,7,243,1701,1,0.268404871174611,0.0065976736159663,55831F22
test_structure_out,B_ofdm_active_subcarriers,equivalence_class,G006_P021,G006,"{G006}",main=1.05;branch=0.95;load=1.2;Zs=45;Zr=45,0.137283574923053,"{G004,G007}",0.138390385822222,0.00110681089916953,7,7,243,1701,1,0.268404871174611,0.0065976736159663,55831F22
test_parameter_out,B_ofdm_active_subcarriers,reject_model_mismatch,G004_P026,G004,"{G004,G007}",main=1;branch=1.05;load=1.2;Zs=45;Zr=45,0.371604228735812,"{G006}",0.372902718185971,0.00129848945015992,7,7,243,1701,1,0.268404871174611,0.0065976736159663,55831F22
test_G001_01,B_ofdm_active_subcarriers,reject_model_mismatch,G001_P002,G001,"{G001}",main=1;branch=0.95;load=0.8;Zs=45;Zr=45,0.277169548363363,"{G005}",0.285802219172963,0.00863267080960023,4,4,243,972,1,0.268404871174611,0.0065976736159663,55831F22
test_G002_01,B_ofdm_active_subcarriers,unique_topology,G005_P013,G005,"{G005}",main=0.95;branch=1;load=1;Zs=45;Zr=45,0.142716658838,"{G007}",0.158915399687882,0.0161987408498823,4,4,243,972,1,0.268404871174611,0.0065976736159663,55831F22
test_G003_01,B_ofdm_active_subcarriers,unique_topology,G003_P071,G003,"{G003}",main=1;branch=1.05;load=1;Zs=55;Zr=45,0.0409139764380527,"{G005}",0.118193146011762,0.0772791695737094,4,4,243,972,1,0.268404871174611,0.0065976736159663,55831F22
test_G004_01,B_ofdm_active_subcarriers,unique_topology,G007_P069,G007,"{G007}",main=1.05;branch=1;load=1;Zs=55;Zr=45,0.0709235399398703,"{G005}",0.109250341956008,0.0383268020161379,4,4,243,972,1,0.268404871174611,0.0065976736159663,55831F22
test_G005_01,B_ofdm_active_subcarriers,unique_topology,G005_P111,G005,"{G005}",main=1.05;branch=0.95;load=0.8;Zs=50;Zr=50,0.043715953035732,"{G007}",0.102571439359852,0.0588554863241204,4,4,243,972,1,0.268404871174611,0.0065976736159663,55831F22
test_G006_01,B_ofdm_active_subcarriers,unique_topology,G007_P104,G007,"{G007}",main=1;branch=1;load=1.2;Zs=45;Zr=50,0.0478342233275138,"{G005}",0.0883156236215964,0.0404814002940826,4,4,243,972,1,0.268404871174611,0.0065976736159663,55831F22
test_G007_01,B_ofdm_active_subcarriers,unique_topology,G007_P011,G007,"{G007}",main=1;branch=0.95;load=1;Zs=45;Zr=45,0.114507760078148,"{G005}",0.157110540146984,0.0426027800688363,4,4,243,972,1,0.268404871174611,0.0065976736159663,55831F22
test_structure_out,B_ofdm_active_subcarriers,unique_topology,G007_P021,G007,"{G007}",main=1.05;branch=0.95;load=1.2;Zs=45;Zr=45,0.138390385822222,"{G005}",0.189802907129153,0.0514125213069304,4,4,243,972,1,0.268404871174611,0.0065976736159663,55831F22
test_parameter_out,B_ofdm_active_subcarriers,reject_model_mismatch,G007_P026,G007,"{G007}",main=1;branch=1.05;load=1.2;Zs=45;Zr=45,0.371604228735812,"{G005}",0.40354515071734,0.031940921981528,4,4,243,972,1,0.268404871174611,0.0065976736159663,55831F22
test_G001_01,B_ofdm_active_subcarriers,reject_model_mismatch,G001_P002,G001,"{G001}",main=1;branch=0.95;load=0.8;Zs=45;Zr=45,0.277169548363363,"{G002,G005}",0.285802219172963,0.00863267080960023,4,4,243,972,1,0.268404871174611,0.0065976736159663,55831F22
test_G002_01,B_ofdm_active_subcarriers,equivalence_class,G002_P013,G002,"{G002,G005}",main=0.95;branch=1;load=1;Zs=45;Zr=45,0.142716658838,"{G006}",0.158955481069566,0.0162388222315663,4,4,243,972,1,0.268404871174611,0.0065976736159663,55831F22
test_G003_01,B_ofdm_active_subcarriers,equivalence_class,G002_P080,G002,"{G002,G005}",main=1;branch=1.05;load=1.2;Zs=55;Zr=45,0.117913271485126,"{G006}",0.137302247289226,0.0193889758041,4,4,243,972,1,0.268404871174611,0.0065976736159663,55831F22
test_G004_01,B_ofdm_active_subcarriers,unique_topology,G006_P078,G006,"{G006}",main=1.05;branch=1;load=1.2;Zs=55;Zr=45,0.0825326193507258,"{G002,G005}",0.109250341956008,0.0267177226052825,4,4,243,972,1,0.268404871174611,0.0065976736159663,55831F22
test_G005_01,B_ofdm_active_subcarriers,equivalence_class,G002_P147,G002,"{G002,G005}",main=1.05;branch=0.95;load=1;Zs=55;Zr=50,0.0436869069020654,"{G006}",0.102290795110676,0.0586038882086108,4,4,243,972,1,0.268404871174611,0.0065976736159663,55831F22
test_G006_01,B_ofdm_active_subcarriers,unique_topology,G006_P104,G006,"{G006}",main=1;branch=1;load=1.2;Zs=45;Zr=50,0.0280991166155741,"{G002,G005}",0.0883156236215964,0.0602165070060223,4,4,243,972,1,0.268404871174611,0.0065976736159663,55831F22
test_G007_01,B_ofdm_active_subcarriers,unique_topology,G006_P020,G006,"{G006}",main=1;branch=0.95;load=1.2;Zs=45;Zr=45,0.120993307006604,"{G002,G005}",0.157110540146984,0.0361172331403798,4,4,243,972,1,0.268404871174611,0.0065976736159663,55831F22
test_structure_out,B_ofdm_active_subcarriers,unique_topology,G006_P021,G006,"{G006}",main=1.05;branch=0.95;load=1.2;Zs=45;Zr=45,0.137283574923053,"{G002,G005}",0.189802907129153,0.0525193322061,4,4,243,972,1,0.268404871174611,0.0065976736159663,55831F22
test_parameter_out,B_ofdm_active_subcarriers,reject_model_mismatch,G006_P021,G006,"{G006}",main=1.05;branch=0.95;load=1.2;Zs=45;Zr=45,0.372902718185971,"{G002,G005}",0.40354515071734,0.0306424325313681,4,4,243,972,1,0.268404871174611,0.0065976736159663,55831F22
