scenario_id,grid_id,category,sample_count,truth_coverage_rate,truth_coverage_num,truth_coverage_den,truth_coverage_wilson_low,truth_coverage_wilson_high,strict_accuracy_given_covered,strict_num,strict_den,strict_wilson_low,strict_wilson_high,equivalent_class_accuracy_given_covered,equivalent_num,equivalent_den,equivalent_wilson_low,equivalent_wilson_high,in_library_reject_rate,in_library_reject_num,in_library_reject_den,in_library_reject_wilson_low,in_library_reject_wilson_high,false_unique_rate_given_nonunique,false_unique_num,false_unique_den,false_unique_wilson_low,false_unique_wilson_high,out_of_library_false_accept_rate,out_of_library_false_accept_num,out_of_library_false_accept_den,out_of_library_false_accept_wilson_low,out_of_library_false_accept_wilson_high,out_of_library_reject_rate,out_of_library_reject_num,out_of_library_reject_den,out_of_library_reject_wilson_low,out_of_library_reject_wilson_high,mean_best_distance,mean_margin,config_hash
P0_no_prior,A_stage4a1_quick61,in_library_continuous,7,1,7,7,0.645669564933314,1,0.714285714285714,5,7,0.35893445183262,0.917781075995943,1,7,7,0.645669564933314,1,0.142857142857143,1,7,0.0256796243447437,0.513127829274318,0,0,4,0,0.489890836454596,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.10201900593203,0.0294326178952543,55831F22
P0_no_prior,A_stage4a1_quick61,parameter_out,1,0,0,1,0,0.793450685622762,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,1,0,0.793450685622762,0,0,1,0,0.793450685622762,1,1,1,0.206549314377238,1,0.367783265786907,0.00155149792781029,55831F22
P0_no_prior,A_stage4a1_quick61,structure_out,1,0,0,1,0,0.793450685622762,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,1,1,1,0.206549314377238,1,0,0,1,0,0.793450685622762,0.137900082812456,0.00036077623214123,55831F22
P0_no_prior,B_ofdm_active_subcarriers,in_library_continuous,7,1,7,7,0.645669564933314,1,0.571428571428571,4,7,0.250458364527658,0.84178014474853,1,7,7,0.645669564933314,1,0.142857142857143,1,7,0.0256796243447437,0.513127829274318,0,0,4,0,0.489890836454596,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.102573929596439,0.0282347758906844,55831F22
P0_no_prior,B_ofdm_active_subcarriers,parameter_out,1,0,0,1,0,0.793450685622762,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,1,0,0.793450685622762,0,0,1,0,0.793450685622762,1,1,1,0.206549314377238,1,0.371604228735812,0.00129848945015992,55831F22
P0_no_prior,B_ofdm_active_subcarriers,structure_out,1,0,0,1,0,0.793450685622762,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,1,1,1,0.206549314377238,1,0,0,1,0,0.793450685622762,0.137283574923053,0.00110681089916953,55831F22
P1_partial_consistent_prior,A_stage4a1_quick61,in_library_continuous,7,0.571428571428571,4,7,0.250458364527658,0.84178014474853,1,4,4,0.510109163545404,1,1,4,4,0.510109163545404,1,0.25,1,4,0.0455872608097007,0.699358157417597,NaN,0,0,NaN,NaN,1,3,3,0.438502968244955,1,0,0,3,0,0.561497031755045,0.104840167432992,0.0434520177468815,55831F22
P1_partial_consistent_prior,A_stage4a1_quick61,parameter_out,1,0,0,1,0,0.793450685622762,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,1,0,0.793450685622762,1,1,1,0.206549314377238,1,0.367783265786907,0.0312936260928945,55831F22
P1_partial_consistent_prior,A_stage4a1_quick61,structure_out,1,0,0,1,0,0.793450685622762,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,1,1,1,0.206549314377238,1,0,0,1,0,0.793450685622762,0.138260859044597,0.0528331037232652,55831F22
P1_partial_consistent_prior,B_ofdm_active_subcarriers,in_library_continuous,7,0.571428571428571,4,7,0.250458364527658,0.84178014474853,1,4,4,0.510109163545404,1,1,4,4,0.510109163545404,1,0.25,1,4,0.0455872608097007,0.699358157417597,NaN,0,0,NaN,NaN,1,3,3,0.438502968244955,1,0,0,3,0,0.561497031755045,0.105397380002954,0.0403395785623385,55831F22
P1_partial_consistent_prior,B_ofdm_active_subcarriers,parameter_out,1,0,0,1,0,0.793450685622762,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,1,0,0.793450685622762,1,1,1,0.206549314377238,1,0.371604228735812,0.031940921981528,55831F22
P1_partial_consistent_prior,B_ofdm_active_subcarriers,structure_out,1,0,0,1,0,0.793450685622762,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,1,1,1,0.206549314377238,1,0,0,1,0,0.793450685622762,0.138390385822222,0.0514125213069304,55831F22
P2_stale_or_inconsistent_prior,A_stage4a1_quick61,in_library_continuous,7,0.571428571428571,4,7,0.250458364527658,0.84178014474853,1,4,4,0.510109163545404,1,1,4,4,0.510109163545404,1,0.25,1,4,0.0455872608097007,0.699358157417597,0,0,3,0,0.561497031755045,1,3,3,0.438502968244955,1,0,0,3,0,0.561497031755045,0.115884335940615,0.0341722718352435,55831F22
P2_stale_or_inconsistent_prior,A_stage4a1_quick61,parameter_out,1,0,0,1,0,0.793450685622762,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,1,0,0.793450685622762,1,1,1,0.206549314377238,1,0.369334763714717,0.0297421281650843,55831F22
P2_stale_or_inconsistent_prior,A_stage4a1_quick61,structure_out,1,0,0,1,0,0.793450685622762,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,1,1,1,0.206549314377238,1,0,0,1,0,0.793450685622762,0.137900082812456,0.0531938799554065,55831F22
P2_stale_or_inconsistent_prior,B_ofdm_active_subcarriers,in_library_continuous,7,0.571428571428571,4,7,0.250458364527658,0.84178014474853,0.75,3,4,0.300641842582403,0.954412739190299,1,4,4,0.510109163545404,1,0.25,1,4,0.0455872608097007,0.699358157417597,0,0,3,0,0.561497031755045,1,3,3,0.438502968244955,1,0,0,3,0,0.561497031755045,0.11615877550878,0.0322736885436517,55831F22
P2_stale_or_inconsistent_prior,B_ofdm_active_subcarriers,parameter_out,1,0,0,1,0,0.793450685622762,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,1,0,0.793450685622762,1,1,1,0.206549314377238,1,0.372902718185971,0.0306424325313681,55831F22
P2_stale_or_inconsistent_prior,B_ofdm_active_subcarriers,structure_out,1,0,0,1,0,0.793450685622762,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,1,1,1,0.206549314377238,1,0,0,1,0,0.793450685622762,0.137283574923053,0.0525193322061,55831F22
