sample_id,grid_id,scenario_id,truth_topology_id,category,coverage_status,truth_main_length_scale,truth_branch_length_scale,truth_branch_load_scale,truth_source_impedance_ohm,truth_receiver_impedance_ohm,config_hash
test_G001_01,A_stage4a1_quick61,P0_no_prior,G001,in_library_continuous,covered,1.02464205367461,0.981254248296933,1.16161644155495,51.6749701014698,49.3178863388929,55831F22
test_G002_01,A_stage4a1_quick61,P0_no_prior,G002,in_library_continuous,covered,0.968636776061385,0.950009658555493,1.03249112289535,47.8504756343777,49.5818930384761,55831F22
test_G003_01,A_stage4a1_quick61,P0_no_prior,G003,in_library_continuous,covered,0.995836001930354,1.04872353463935,1.05955415603626,48.8332511981854,48.2787963539652,55831F22
test_G004_01,A_stage4a1_quick61,P0_no_prior,G004,in_library_continuous,covered,1.0392701473432,1.04681852113987,1.07296690441652,49.4375869495281,51.1211751259766,55831F22
test_G005_01,A_stage4a1_quick61,P0_no_prior,G005,in_library_continuous,covered,1.04498419991389,0.95552095432125,0.948234955738162,51.1876702575247,50.8842128720142,55831F22
test_G006_01,A_stage4a1_quick61,P0_no_prior,G006,in_library_continuous,covered,1.00275648798721,1.00941756327185,1.17058404514923,50.5326008928072,47.6991272952927,55831F22
test_G007_01,A_stage4a1_quick61,P0_no_prior,G007,in_library_continuous,covered,0.978194722829873,1.01429205602688,1.05397197827475,47.0172463920044,45.1062122322487,55831F22
test_structure_out,A_stage4a1_quick61,P0_no_prior,G008,structure_out,out_of_library_or_excluded,1.02721424107815,0.966932150642435,1.02446506573891,46.5180281844447,51.860039398064,55831F22
test_parameter_out,A_stage4a1_quick61,P0_no_prior,G001,parameter_out,out_of_library_or_excluded,1.12,0.88,1.35,60,40,55831F22
test_G001_01,A_stage4a1_quick61,P1_partial_consistent_prior,G001,in_library_continuous,covered,1.02464205367461,0.981254248296933,1.16161644155495,51.6749701014698,49.3178863388929,55831F22
test_G002_01,A_stage4a1_quick61,P1_partial_consistent_prior,G002,in_library_continuous,out_of_library_or_excluded,0.968636776061385,0.950009658555493,1.03249112289535,47.8504756343777,49.5818930384761,55831F22
test_G003_01,A_stage4a1_quick61,P1_partial_consistent_prior,G003,in_library_continuous,covered,0.995836001930354,1.04872353463935,1.05955415603626,48.8332511981854,48.2787963539652,55831F22
test_G004_01,A_stage4a1_quick61,P1_partial_consistent_prior,G004,in_library_continuous,out_of_library_or_excluded,1.0392701473432,1.04681852113987,1.07296690441652,49.4375869495281,51.1211751259766,55831F22
test_G005_01,A_stage4a1_quick61,P1_partial_consistent_prior,G005,in_library_continuous,covered,1.04498419991389,0.95552095432125,0.948234955738162,51.1876702575247,50.8842128720142,55831F22
test_G006_01,A_stage4a1_quick61,P1_partial_consistent_prior,G006,in_library_continuous,out_of_library_or_excluded,1.00275648798721,1.00941756327185,1.17058404514923,50.5326008928072,47.6991272952927,55831F22
test_G007_01,A_stage4a1_quick61,P1_partial_consistent_prior,G007,in_library_continuous,covered,0.978194722829873,1.01429205602688,1.05397197827475,47.0172463920044,45.1062122322487,55831F22
test_structure_out,A_stage4a1_quick61,P1_partial_consistent_prior,G008,structure_out,out_of_library_or_excluded,1.02721424107815,0.966932150642435,1.02446506573891,46.5180281844447,51.860039398064,55831F22
test_parameter_out,A_stage4a1_quick61,P1_partial_consistent_prior,G001,parameter_out,out_of_library_or_excluded,1.12,0.88,1.35,60,40,55831F22
test_G001_01,A_stage4a1_quick61,P2_stale_or_inconsistent_prior,G001,in_library_continuous,covered,1.02464205367461,0.981254248296933,1.16161644155495,51.6749701014698,49.3178863388929,55831F22
test_G002_01,A_stage4a1_quick61,P2_stale_or_inconsistent_prior,G002,in_library_continuous,covered,0.968636776061385,0.950009658555493,1.03249112289535,47.8504756343777,49.5818930384761,55831F22
test_G003_01,A_stage4a1_quick61,P2_stale_or_inconsistent_prior,G003,in_library_continuous,out_of_library_or_excluded,0.995836001930354,1.04872353463935,1.05955415603626,48.8332511981854,48.2787963539652,55831F22
test_G004_01,A_stage4a1_quick61,P2_stale_or_inconsistent_prior,G004,in_library_continuous,out_of_library_or_excluded,1.0392701473432,1.04681852113987,1.07296690441652,49.4375869495281,51.1211751259766,55831F22
test_G005_01,A_stage4a1_quick61,P2_stale_or_inconsistent_prior,G005,in_library_continuous,covered,1.04498419991389,0.95552095432125,0.948234955738162,51.1876702575247,50.8842128720142,55831F22
test_G006_01,A_stage4a1_quick61,P2_stale_or_inconsistent_prior,G006,in_library_continuous,covered,1.00275648798721,1.00941756327185,1.17058404514923,50.5326008928072,47.6991272952927,55831F22
test_G007_01,A_stage4a1_quick61,P2_stale_or_inconsistent_prior,G007,in_library_continuous,out_of_library_or_excluded,0.978194722829873,1.01429205602688,1.05397197827475,47.0172463920044,45.1062122322487,55831F22
test_structure_out,A_stage4a1_quick61,P2_stale_or_inconsistent_prior,G008,structure_out,out_of_library_or_excluded,1.02721424107815,0.966932150642435,1.02446506573891,46.5180281844447,51.860039398064,55831F22
test_parameter_out,A_stage4a1_quick61,P2_stale_or_inconsistent_prior,G001,parameter_out,out_of_library_or_excluded,1.12,0.88,1.35,60,40,55831F22
test_G001_01,B_ofdm_active_subcarriers,P0_no_prior,G001,in_library_continuous,covered,1.02464205367461,0.981254248296933,1.16161644155495,51.6749701014698,49.3178863388929,55831F22
test_G002_01,B_ofdm_active_subcarriers,P0_no_prior,G002,in_library_continuous,covered,0.968636776061385,0.950009658555493,1.03249112289535,47.8504756343777,49.5818930384761,55831F22
test_G003_01,B_ofdm_active_subcarriers,P0_no_prior,G003,in_library_continuous,covered,0.995836001930354,1.04872353463935,1.05955415603626,48.8332511981854,48.2787963539652,55831F22
test_G004_01,B_ofdm_active_subcarriers,P0_no_prior,G004,in_library_continuous,covered,1.0392701473432,1.04681852113987,1.07296690441652,49.4375869495281,51.1211751259766,55831F22
test_G005_01,B_ofdm_active_subcarriers,P0_no_prior,G005,in_library_continuous,covered,1.04498419991389,0.95552095432125,0.948234955738162,51.1876702575247,50.8842128720142,55831F22
test_G006_01,B_ofdm_active_subcarriers,P0_no_prior,G006,in_library_continuous,covered,1.00275648798721,1.00941756327185,1.17058404514923,50.5326008928072,47.6991272952927,55831F22
test_G007_01,B_ofdm_active_subcarriers,P0_no_prior,G007,in_library_continuous,covered,0.978194722829873,1.01429205602688,1.05397197827475,47.0172463920044,45.1062122322487,55831F22
test_structure_out,B_ofdm_active_subcarriers,P0_no_prior,G008,structure_out,out_of_library_or_excluded,1.02721424107815,0.966932150642435,1.02446506573891,46.5180281844447,51.860039398064,55831F22
test_parameter_out,B_ofdm_active_subcarriers,P0_no_prior,G001,parameter_out,out_of_library_or_excluded,1.12,0.88,1.35,60,40,55831F22
test_G001_01,B_ofdm_active_subcarriers,P1_partial_consistent_prior,G001,in_library_continuous,covered,1.02464205367461,0.981254248296933,1.16161644155495,51.6749701014698,49.3178863388929,55831F22
test_G002_01,B_ofdm_active_subcarriers,P1_partial_consistent_prior,G002,in_library_continuous,out_of_library_or_excluded,0.968636776061385,0.950009658555493,1.03249112289535,47.8504756343777,49.5818930384761,55831F22
test_G003_01,B_ofdm_active_subcarriers,P1_partial_consistent_prior,G003,in_library_continuous,covered,0.995836001930354,1.04872353463935,1.05955415603626,48.8332511981854,48.2787963539652,55831F22
test_G004_01,B_ofdm_active_subcarriers,P1_partial_consistent_prior,G004,in_library_continuous,out_of_library_or_excluded,1.0392701473432,1.04681852113987,1.07296690441652,49.4375869495281,51.1211751259766,55831F22
test_G005_01,B_ofdm_active_subcarriers,P1_partial_consistent_prior,G005,in_library_continuous,covered,1.04498419991389,0.95552095432125,0.948234955738162,51.1876702575247,50.8842128720142,55831F22
test_G006_01,B_ofdm_active_subcarriers,P1_partial_consistent_prior,G006,in_library_continuous,out_of_library_or_excluded,1.00275648798721,1.00941756327185,1.17058404514923,50.5326008928072,47.6991272952927,55831F22
test_G007_01,B_ofdm_active_subcarriers,P1_partial_consistent_prior,G007,in_library_continuous,covered,0.978194722829873,1.01429205602688,1.05397197827475,47.0172463920044,45.1062122322487,55831F22
test_structure_out,B_ofdm_active_subcarriers,P1_partial_consistent_prior,G008,structure_out,out_of_library_or_excluded,1.02721424107815,0.966932150642435,1.02446506573891,46.5180281844447,51.860039398064,55831F22
test_parameter_out,B_ofdm_active_subcarriers,P1_partial_consistent_prior,G001,parameter_out,out_of_library_or_excluded,1.12,0.88,1.35,60,40,55831F22
test_G001_01,B_ofdm_active_subcarriers,P2_stale_or_inconsistent_prior,G001,in_library_continuous,covered,1.02464205367461,0.981254248296933,1.16161644155495,51.6749701014698,49.3178863388929,55831F22
test_G002_01,B_ofdm_active_subcarriers,P2_stale_or_inconsistent_prior,G002,in_library_continuous,covered,0.968636776061385,0.950009658555493,1.03249112289535,47.8504756343777,49.5818930384761,55831F22
test_G003_01,B_ofdm_active_subcarriers,P2_stale_or_inconsistent_prior,G003,in_library_continuous,out_of_library_or_excluded,0.995836001930354,1.04872353463935,1.05955415603626,48.8332511981854,48.2787963539652,55831F22
test_G004_01,B_ofdm_active_subcarriers,P2_stale_or_inconsistent_prior,G004,in_library_continuous,out_of_library_or_excluded,1.0392701473432,1.04681852113987,1.07296690441652,49.4375869495281,51.1211751259766,55831F22
test_G005_01,B_ofdm_active_subcarriers,P2_stale_or_inconsistent_prior,G005,in_library_continuous,covered,1.04498419991389,0.95552095432125,0.948234955738162,51.1876702575247,50.8842128720142,55831F22
test_G006_01,B_ofdm_active_subcarriers,P2_stale_or_inconsistent_prior,G006,in_library_continuous,covered,1.00275648798721,1.00941756327185,1.17058404514923,50.5326008928072,47.6991272952927,55831F22
test_G007_01,B_ofdm_active_subcarriers,P2_stale_or_inconsistent_prior,G007,in_library_continuous,out_of_library_or_excluded,0.978194722829873,1.01429205602688,1.05397197827475,47.0172463920044,45.1062122322487,55831F22
test_structure_out,B_ofdm_active_subcarriers,P2_stale_or_inconsistent_prior,G008,structure_out,out_of_library_or_excluded,1.02721424107815,0.966932150642435,1.02446506573891,46.5180281844447,51.860039398064,55831F22
test_parameter_out,B_ofdm_active_subcarriers,P2_stale_or_inconsistent_prior,G001,parameter_out,out_of_library_or_excluded,1.12,0.88,1.35,60,40,55831F22
