sample_id,grid_id,scenario_id,method_id,decision,decision_reason,best_template_id,best_topology_id,best_equivalence_class,accepted_topology_set,baseline_P0_equivalence_class,baseline_P0_equivalence_class_size,prior_conditioned_equivalence_class,prior_conditioned_equivalence_class_size,best_distance,second_distance,margin,rho,robust_best_score,robust_margin,candidate_count_before_prior,candidate_count_after_prior,parameter_template_count,composite_template_count,distance_evaluations,matching_time_s,residual_threshold,margin_threshold,rho_threshold,configuration_hash,calibration_hash
test_cont_G001_01,A_stage4a1_quick61,P0_no_prior,baseline_abs_margin,unique_topology,"singleton baseline class passed frozen rule",G001_P056,G001,"{G001}","G001","{G001}",1,"{G001}",1,0.196288381282162,0.243585449658209,0.0472970683760473,0.805829664935985,-2.66718243435994,3.69315813095862,7,7,243,1701,1701,0.012758,0.197872894909751,0.00940725419415299,0.946365309974925,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_cont_G001_02,A_stage4a1_quick61,P0_no_prior,baseline_abs_margin,reject_model_mismatch,"best residual exceeds frozen absolute threshold",G001_P003,G001,"{G001}","","{G001}",1,"{G001}",1,0.25706404637811,0.268429285855853,0.011365239477743,0.957660210425759,1.14222311685746,0.0704493155676558,7,7,243,1701,1701,0.012403,0.197872894909751,0.00940725419415299,0.946365309974925,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_cont_G001_03,A_stage4a1_quick61,P0_no_prior,baseline_abs_margin,reject_model_mismatch,"best residual exceeds frozen absolute threshold",G001_P002,G001,"{G001}","","{G001}",1,"{G001}",1,0.256399771228517,0.265699603393094,0.00929983216457703,0.964998697601429,1.10058649406771,0.13046377281183,7,7,243,1701,1701,0.013714,0.197872894909751,0.00940725419415299,0.946365309974925,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_cont_G001_04,A_stage4a1_quick61,P0_no_prior,baseline_abs_margin,unique_topology,"singleton baseline class passed frozen rule",G001_P001,G001,"{G001}","G001","{G001}",1,"{G001}",1,0.168619036092897,0.210974602164574,0.0423555660716769,0.799238554603667,-4.4014910099408,5.20394991714303,7,7,243,1701,1701,0.013676,0.197872894909751,0.00940725419415299,0.946365309974925,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_cont_G001_05,A_stage4a1_quick61,P0_no_prior,baseline_abs_margin,unique_topology,"singleton baseline class passed frozen rule",G001_P030,G001,"{G001}","G001","{G001}",1,"{G001}",1,0.187675547539437,0.231596220543372,0.0439206730039356,0.810356693638182,-3.20703299164221,4.12247602257901,7,7,243,1701,1701,0.015304,0.197872894909751,0.00940725419415299,0.946365309974925,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_cont_G001_06,A_stage4a1_quick61,P0_no_prior,baseline_abs_margin,reject_model_mismatch,"best residual exceeds frozen absolute threshold",G001_P003,G001,"{G001}","","{G001}",1,"{G001}",1,0.275537431272556,0.292304336765572,0.0167669054930157,0.94263887536022,1.40251324871568,0.829821263833762,7,7,243,1701,1701,0.014325,0.197872894909751,0.00940725419415299,0.946365309974925,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_grid_G001_01,A_stage4a1_quick61,P0_no_prior,baseline_abs_margin,unique_topology,"singleton baseline class passed frozen rule",G001_P110,G001,"{G001}","G001","{G001}",1,"{G001}",1,0,0.17286420118993,0.17286420118993,0,-14.9704957443049,15.440193932126,7,7,243,1701,1701,0.013415,0.197872894909751,0.00940725419415299,0.946365309974925,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_grid_G001_02,A_stage4a1_quick61,P0_no_prior,baseline_abs_margin,unique_topology,"singleton baseline class passed frozen rule",G001_P110,G001,"{G001}","G001","{G001}",1,"{G001}",1,0,0.17286420118993,0.17286420118993,0,-14.9704957443049,15.440193932126,7,7,243,1701,1701,0.014397,0.197872894909751,0.00940725419415299,0.946365309974925,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_cont_G002_01,A_stage4a1_quick61,P0_no_prior,baseline_abs_margin,equivalence_class,"best observation class has multiple members",G002_P157,G002,"{G002,G005}","G002,G005","{G002,G005}",2,"{G002,G005}",2,0.0581796937996688,0.121585852922782,0.0634061591231133,0.478507099309815,-4.12383849909032,3.95800952566112,7,7,243,1701,1701,0.012915,0.197872894909751,0.00940725419415299,0.946365309974925,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_cont_G002_02,A_stage4a1_quick61,P0_no_prior,baseline_abs_margin,equivalence_class,"best observation class has multiple members",G005_P194,G005,"{G002,G005}","G002,G005","{G002,G005}",2,"{G002,G005}",2,0.0590421512064138,0.125140265360677,0.0660981141542629,0.471807783336338,-3.84712903959767,3.69013430862525,7,7,243,1701,1701,0.011864,0.197872894909751,0.00940725419415299,0.946365309974925,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
