sample_id,grid_id,scenario_id,method_id,decision,decision_reason,best_template_id,best_topology_id,best_equivalence_class,accepted_topology_set,baseline_P0_equivalence_class,baseline_P0_equivalence_class_size,prior_conditioned_equivalence_class,prior_conditioned_equivalence_class_size,best_distance,second_distance,margin,rho,robust_best_score,robust_margin,candidate_count_before_prior,candidate_count_after_prior,parameter_template_count,composite_template_count,distance_evaluations,matching_time_s,residual_threshold,margin_threshold,rho_threshold,configuration_hash,calibration_hash
test_cont_G001_01,A_stage4a1_quick61,P0_no_prior,baseline_abs_margin,reject_model_mismatch,"best residual exceeds frozen absolute threshold",G001_P056,G001,"{G001}","","{G001}",1,"{G001}",1,0.196288381282162,0.243585449658209,0.0472970683760473,0.805829664935985,0.486458911045339,0.540117801081185,7,7,243,1701,1701,0.015009,0.133827337751763,0.018679137750332,0.91719276362627,45ae7e8eba4b5eb22bcea7a30225b2886beb5bc1023c7967763ae61abf6eb35e,8b9c2264b70a7310da9cde1503099518ba5adc9cae80aa756b63f241b8b23902
test_cont_G001_02,A_stage4a1_quick61,P0_no_prior,baseline_abs_margin,reject_model_mismatch,"best residual exceeds frozen absolute threshold",G001_P003,G001,"{G001}","","{G001}",1,"{G001}",1,0.25706404637811,0.268429285855853,0.011365239477743,0.957660210425759,0.845917213710871,0.342295519164116,7,7,243,1701,1701,0.013825,0.133827337751763,0.018679137750332,0.91719276362627,45ae7e8eba4b5eb22bcea7a30225b2886beb5bc1023c7967763ae61abf6eb35e,8b9c2264b70a7310da9cde1503099518ba5adc9cae80aa756b63f241b8b23902
test_grid_G001_01,A_stage4a1_quick61,P0_no_prior,baseline_abs_margin,unique_topology,"singleton baseline class passed frozen rule",G001_P110,G001,"{G001}","G001","{G001}",1,"{G001}",1,0,0.17286420118993,0.17286420118993,0,-0.674490759472606,1.21946032109029,7,7,243,1701,1701,0.021033,0.133827337751763,0.018679137750332,0.91719276362627,45ae7e8eba4b5eb22bcea7a30225b2886beb5bc1023c7967763ae61abf6eb35e,8b9c2264b70a7310da9cde1503099518ba5adc9cae80aa756b63f241b8b23902
test_cont_G002_01,A_stage4a1_quick61,P0_no_prior,baseline_abs_margin,reject_model_mismatch,"best residual exceeds frozen absolute threshold",G002_P002,G002,"{G002,G005}","","{G002,G005}",2,"{G002,G005}",2,0.167365356604459,0.175689852914696,0.00832449631023699,0.952618229379295,0.685421810715831,0.165430559908058,7,7,243,1701,1701,0.015523,0.133827337751763,0.018679137750332,0.91719276362627,45ae7e8eba4b5eb22bcea7a30225b2886beb5bc1023c7967763ae61abf6eb35e,8b9c2264b70a7310da9cde1503099518ba5adc9cae80aa756b63f241b8b23902
test_cont_G002_02,A_stage4a1_quick61,P0_no_prior,baseline_abs_margin,equivalence_class,"best observation class has multiple members",G005_P007,G005,"{G002,G005}","G002,G005","{G002,G005}",2,"{G002,G005}",2,0.105673835163608,0.13088185896233,0.0252080237987221,0.807398641802722,0.368437613671822,0.229599328229562,7,7,243,1701,1701,0.016412,0.133827337751763,0.018679137750332,0.91719276362627,45ae7e8eba4b5eb22bcea7a30225b2886beb5bc1023c7967763ae61abf6eb35e,8b9c2264b70a7310da9cde1503099518ba5adc9cae80aa756b63f241b8b23902
test_grid_G002_01,A_stage4a1_quick61,P0_no_prior,baseline_abs_margin,equivalence_class,"best observation class has multiple members",G002_P122,G002,"{G002,G005}","G002,G005","{G002,G005}",2,"{G002,G005}",2,0,0.0966310350221523,0.0966310350221523,0,-0.674490759463648,0.798191704427495,7,7,243,1701,1701,0.01571,0.133827337751763,0.018679137750332,0.91719276362627,45ae7e8eba4b5eb22bcea7a30225b2886beb5bc1023c7967763ae61abf6eb35e,8b9c2264b70a7310da9cde1503099518ba5adc9cae80aa756b63f241b8b23902
test_cont_G003_01,A_stage4a1_quick61,P0_no_prior,baseline_abs_margin,reject_model_mismatch,"best residual exceeds frozen absolute threshold",G003_P030,G003,"{G003}","","{G003}",1,"{G003}",1,0.134424223281358,0.16705933862945,0.0326351153480912,0.804649559751442,0.249752875423716,0.37186109962802,7,7,243,1701,1701,0.016456,0.133827337751763,0.018679137750332,0.91719276362627,45ae7e8eba4b5eb22bcea7a30225b2886beb5bc1023c7967763ae61abf6eb35e,8b9c2264b70a7310da9cde1503099518ba5adc9cae80aa756b63f241b8b23902
test_cont_G003_02,A_stage4a1_quick61,P0_no_prior,baseline_abs_margin,reject_model_mismatch,"best residual exceeds frozen absolute threshold",G003_P003,G003,"{G003}","","{G003}",1,"{G003}",1,0.194730161083048,0.209240910682988,0.0145107495999394,0.930650514024694,0.664390786650211,0.257375818619675,7,7,243,1701,1701,0.020107,0.133827337751763,0.018679137750332,0.91719276362627,45ae7e8eba4b5eb22bcea7a30225b2886beb5bc1023c7967763ae61abf6eb35e,8b9c2264b70a7310da9cde1503099518ba5adc9cae80aa756b63f241b8b23902
test_grid_G003_01,A_stage4a1_quick61,P0_no_prior,baseline_abs_margin,unique_topology,"singleton baseline class passed frozen rule",G003_P122,G003,"{G003}","G003","{G003}",1,"{G003}",1,0,0.120305081617247,0.120305081617247,0,-0.674490759471958,0.978457951129586,7,7,243,1701,1701,0.013416,0.133827337751763,0.018679137750332,0.91719276362627,45ae7e8eba4b5eb22bcea7a30225b2886beb5bc1023c7967763ae61abf6eb35e,8b9c2264b70a7310da9cde1503099518ba5adc9cae80aa756b63f241b8b23902
test_cont_G004_01,A_stage4a1_quick61,P0_no_prior,baseline_abs_margin,reject_low_margin,"class margin below frozen threshold",G007_P157,G007,"{G004,G007}","","{G004,G007}",2,"{G004,G007}",2,0.0452312313803292,0.0618562084068859,0.0166249770265567,0.731231877034396,-0.119882967487753,0.110688425247643,7,7,243,1701,1701,0.012695,0.133827337751763,0.018679137750332,0.91719276362627,45ae7e8eba4b5eb22bcea7a30225b2886beb5bc1023c7967763ae61abf6eb35e,8b9c2264b70a7310da9cde1503099518ba5adc9cae80aa756b63f241b8b23902
