method_id,grid_id,scenario_id,category,sample_count,truth_coverage_rate,truth_coverage_num,truth_coverage_den,truth_coverage_ci_low,truth_coverage_ci_high,unique_accuracy_given_covered,unique_accuracy_num,unique_accuracy_den,unique_accuracy_ci_low,unique_accuracy_ci_high,set_accuracy_given_covered,set_accuracy_num,set_accuracy_den,set_accuracy_ci_low,set_accuracy_ci_high,nearest_topology_hit_rate,nearest_topology_hit_num,nearest_topology_hit_den,nearest_topology_hit_ci_low,nearest_topology_hit_ci_high,nearest_class_hit_rate,nearest_class_hit_num,nearest_class_hit_den,nearest_class_hit_ci_low,nearest_class_hit_ci_high,in_library_rejection_rate,in_library_rejection_num,in_library_rejection_den,in_library_rejection_ci_low,in_library_rejection_ci_high,false_unique_rate_given_nonunique,false_unique_num,false_unique_den,false_unique_ci_low,false_unique_ci_high,unique_output_precision,unique_output_precision_num,unique_output_precision_den,unique_output_precision_ci_low,unique_output_precision_ci_high,unique_given_prior_rate,unique_given_prior_num,unique_given_prior_den,unique_given_prior_ci_low,unique_given_prior_ci_high,unique_given_prior_accuracy,unique_given_prior_accuracy_num,unique_given_prior_accuracy_den,unique_given_prior_accuracy_ci_low,unique_given_prior_accuracy_ci_high,structure_out_false_accept_rate,structure_out_false_accept_num,structure_out_false_accept_den,structure_out_false_accept_ci_low,structure_out_false_accept_ci_high,parameter_out_false_accept_rate,parameter_out_false_accept_num,parameter_out_false_accept_den,parameter_out_false_accept_ci_low,parameter_out_false_accept_ci_high,excluded_by_prior_false_accept_rate,excluded_by_prior_false_accept_num,excluded_by_prior_false_accept_den,excluded_by_prior_false_accept_ci_low,excluded_by_prior_false_accept_ci_high,reject_model_mismatch_rate,reject_model_mismatch_num,reject_model_mismatch_den,reject_model_mismatch_ci_low,reject_model_mismatch_ci_high,reject_low_margin_rate,reject_low_margin_num,reject_low_margin_den,reject_low_margin_ci_low,reject_low_margin_ci_high,reject_no_feasible_candidate_rate,reject_no_feasible_candidate_num,reject_no_feasible_candidate_den,reject_no_feasible_candidate_ci_low,reject_no_feasible_candidate_ci_high,accepted_rate,accepted_num,accepted_den,accepted_ci_low,accepted_ci_high,mean_best_distance,mean_margin,mean_rho,mean_accepted_set_size,mean_candidate_count_after_prior
baseline_abs_margin,A_stage4a1_quick61,P0_no_prior,in_library_continuous,14,1,14,14,0.784689197262365,1,0,0,14,0,0.215310802737635,0.214285714285714,3,14,0.075713867126932,0.475892305866002,0.714285714285714,10,14,0.453509156701069,0.882786213554231,1,14,14,0.784689197262365,1,0.785714285714286,11,14,0.524107694133997,0.924286132873068,0,0,8,0,0.324407564883879,NaN,0,0,NaN,NaN,0,0,14,0,0.215310802737635,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.357142857142857,5,14,0.163447317535542,0.612355768960926,0.428571428571429,6,14,0.213807989044742,0.674093554203492,0,0,14,0,0.215310802737635,0.214285714285714,3,14,0.075713867126932,0.475892305866002,0.124440230590617,0.0191286281536228,0.846387915217258,0.428571428571429,7
baseline_abs_margin,A_stage4a1_quick61,P0_no_prior,in_library_grid,7,1,7,7,0.645669564933314,1,0.428571428571429,3,7,0.15821985525147,0.749541635472342,1,7,7,0.645669564933314,1,1,7,7,0.645669564933314,1,1,7,7,0.645669564933314,1,0,0,7,0,0.354330435066686,0,0,4,0,0.489890836454596,1,3,3,0.438502968244955,1,0,0,7,0,0.354330435066686,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,7,0,0.354330435066686,0,0,7,0,0.354330435066686,0,0,7,0,0.354330435066686,1,7,7,0.645669564933314,1,0,0.0882953437770115,0,1.57142857142857,7
baseline_abs_margin,A_stage4a1_quick61,P0_no_prior,structure_out,2,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,1,0,0.793450685622762,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,0.5,1,2,0.0945312057342311,0.905468794265769,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,2,0,0.657619772493346,0.5,1,2,0.0945312057342311,0.905468794265769,0,0,2,0,0.657619772493346,0.5,1,2,0.0945312057342311,0.905468794265769,0.0879852649636491,0.0124094870222734,0.885998530949129,0.5,7
baseline_abs_margin,A_stage4a1_quick61,P0_no_prior,parameter_out,2,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,1,0,0.793450685622762,NaN,0,0,NaN,NaN,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.5,1,2,0.0945312057342311,0.905468794265769,NaN,0,0,NaN,NaN,0.5,1,2,0.0945312057342311,0.905468794265769,0,0,2,0,0.657619772493346,0,0,2,0,0.657619772493346,0.5,1,2,0.0945312057342311,0.905468794265769,0.237861114388563,0.0248911692879241,0.79285214573847,1,7
absolute_ratio,A_stage4a1_quick61,P0_no_prior,in_library_continuous,14,1,14,14,0.784689197262365,1,0.0714285714285714,1,14,0.012722215247891,0.314687044241511,0.428571428571429,6,14,0.213807989044742,0.674093554203492,0.714285714285714,10,14,0.453509156701069,0.882786213554231,1,14,14,0.784689197262365,1,0.571428571428571,8,14,0.325906445796508,0.786192010955258,0,0,8,0,0.324407564883879,1,1,1,0.206549314377238,1,0,0,14,0,0.215310802737635,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.357142857142857,5,14,0.163447317535542,0.612355768960926,0.214285714285714,3,14,0.075713867126932,0.475892305866002,0,0,14,0,0.215310802737635,0.428571428571429,6,14,0.213807989044742,0.674093554203492,0.124440230590617,0.0191286281536228,0.846387915217258,0.785714285714286,7
absolute_ratio,A_stage4a1_quick61,P0_no_prior,in_library_grid,7,1,7,7,0.645669564933314,1,0.428571428571429,3,7,0.15821985525147,0.749541635472342,1,7,7,0.645669564933314,1,1,7,7,0.645669564933314,1,1,7,7,0.645669564933314,1,0,0,7,0,0.354330435066686,0,0,4,0,0.489890836454596,1,3,3,0.438502968244955,1,0,0,7,0,0.354330435066686,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,7,0,0.354330435066686,0,0,7,0,0.354330435066686,0,0,7,0,0.354330435066686,1,7,7,0.645669564933314,1,0,0.0882953437770115,0,1.57142857142857,7
absolute_ratio,A_stage4a1_quick61,P0_no_prior,structure_out,2,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,1,0,0.793450685622762,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,0.5,1,2,0.0945312057342311,0.905468794265769,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,2,0,0.657619772493346,0.5,1,2,0.0945312057342311,0.905468794265769,0,0,2,0,0.657619772493346,0.5,1,2,0.0945312057342311,0.905468794265769,0.0879852649636491,0.0124094870222734,0.885998530949129,0.5,7
absolute_ratio,A_stage4a1_quick61,P0_no_prior,parameter_out,2,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,1,0,0.793450685622762,NaN,0,0,NaN,NaN,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.5,1,2,0.0945312057342311,0.905468794265769,NaN,0,0,NaN,NaN,0.5,1,2,0.0945312057342311,0.905468794265769,0,0,2,0,0.657619772493346,0,0,2,0,0.657619772493346,0.5,1,2,0.0945312057342311,0.905468794265769,0.237861114388563,0.0248911692879241,0.79285214573847,1,7
joint_abs_margin_ratio,A_stage4a1_quick61,P0_no_prior,in_library_continuous,14,1,14,14,0.784689197262365,1,0,0,14,0,0.215310802737635,0.214285714285714,3,14,0.075713867126932,0.475892305866002,0.714285714285714,10,14,0.453509156701069,0.882786213554231,1,14,14,0.784689197262365,1,0.785714285714286,11,14,0.524107694133997,0.924286132873068,0,0,8,0,0.324407564883879,NaN,0,0,NaN,NaN,0,0,14,0,0.215310802737635,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.357142857142857,5,14,0.163447317535542,0.612355768960926,0.428571428571429,6,14,0.213807989044742,0.674093554203492,0,0,14,0,0.215310802737635,0.214285714285714,3,14,0.075713867126932,0.475892305866002,0.124440230590617,0.0191286281536228,0.846387915217258,0.428571428571429,7
joint_abs_margin_ratio,A_stage4a1_quick61,P0_no_prior,in_library_grid,7,1,7,7,0.645669564933314,1,0.428571428571429,3,7,0.15821985525147,0.749541635472342,1,7,7,0.645669564933314,1,1,7,7,0.645669564933314,1,1,7,7,0.645669564933314,1,0,0,7,0,0.354330435066686,0,0,4,0,0.489890836454596,1,3,3,0.438502968244955,1,0,0,7,0,0.354330435066686,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,7,0,0.354330435066686,0,0,7,0,0.354330435066686,0,0,7,0,0.354330435066686,1,7,7,0.645669564933314,1,0,0.0882953437770115,0,1.57142857142857,7
joint_abs_margin_ratio,A_stage4a1_quick61,P0_no_prior,structure_out,2,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,1,0,0.793450685622762,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,0.5,1,2,0.0945312057342311,0.905468794265769,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,2,0,0.657619772493346,0.5,1,2,0.0945312057342311,0.905468794265769,0,0,2,0,0.657619772493346,0.5,1,2,0.0945312057342311,0.905468794265769,0.0879852649636491,0.0124094870222734,0.885998530949129,0.5,7
joint_abs_margin_ratio,A_stage4a1_quick61,P0_no_prior,parameter_out,2,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,1,0,0.793450685622762,NaN,0,0,NaN,NaN,0,0,2,0,0.657619772493346,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.5,1,2,0.0945312057342311,0.905468794265769,NaN,0,0,NaN,NaN,0.5,1,2,0.0945312057342311,0.905468794265769,0,0,2,0,0.657619772493346,0,0,2,0,0.657619772493346,0.5,1,2,0.0945312057342311,0.905468794265769,0.237861114388563,0.0248911692879241,0.79285214573847,1,7
class_conditioned,A_stage4a1_quick61,P0_no_prior,in_library_continuous,14,1,14,14,0.784689197262365,1,0.0714285714285714,1,14,0.012722215247891,0.314687044241511,0.5,7,14,0.267992024524137,0.732007975475863,0.714285714285714,10,14,0.453509156701069,0.882786213554231,1,14,14,0.784689197262365,1,0.5,7,14,0.267992024524137,0.732007975475863,0,0,8,0,0.324407564883879,1,1,1,0.206549314377238,1,0,0,14,0,0.215310802737635,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.357142857142857,5,14,0.163447317535542,0.612355768960926,0.142857142857143,2,14,0.040093921271465,0.399413794969703,0,0,14,0,0.215310802737635,0.5,7,14,0.267992024524137,0.732007975475863,0.124440230590617,0.0191286281536228,0.846387915217258,0.928571428571429,7
