sample_id,split,category,truth_topology_id,canonical_key,truth_main_length_scale,truth_branch_length_scale,truth_branch_load_scale,truth_source_impedance_ohm,truth_receiver_impedance_ohm,outlier_dimension,outlier_direction,source_tag,training_seed,calibration_seed,validation_seed,test_seed
training_cont_G001_01,training,in_library_continuous,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",0.980414139468275,0.957650371273317,0.936598931496408,48.8835080815197,48.3186008982935,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
training_grid_G001_01,training,in_library_grid,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
training_cont_G002_01,training,in_library_continuous,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",1.02934814345348,1.04331613141254,0.926088201389093,52.5958518150402,49.9152263358137,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
training_grid_G002_01,training,in_library_grid,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
training_cont_G003_01,training,in_library_continuous,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",0.974956264928223,0.95552294108217,0.817522876457257,46.6807876924293,47.5758237418159,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
training_grid_G003_01,training,in_library_grid,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
training_cont_G004_01,training,in_library_continuous,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",1.02802237059475,0.978472071316066,1.12714296895959,52.8894219903223,48.3145425694793,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
training_grid_G004_01,training,in_library_grid,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
training_cont_G005_01,training,in_library_continuous,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",0.991641365718058,1.00527326673352,1.1469579912117,53.696993188425,47.8945720064955,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
training_grid_G005_01,training,in_library_grid,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
training_cont_G006_01,training,in_library_continuous,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",0.971272596874449,1.01738698830263,1.00126065168529,46.2699840719281,46.8362863578772,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
training_grid_G006_01,training,in_library_grid,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
training_cont_G007_01,training,in_library_continuous,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",0.98094060538291,0.983856378187199,0.925375626763345,47.2242753275155,50.9620041566865,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
training_grid_G007_01,training,in_library_grid,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
calibration_cont_G001_01,calibration,in_library_continuous,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",0.953865339465546,0.957426531244983,0.870189780803206,49.5263632803273,45.0481940890245,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
calibration_grid_G001_01,calibration,in_library_grid,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
calibration_cont_G002_01,calibration,in_library_continuous,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",1.0491377356445,0.975837686476086,1.04300382572996,50.5050762504311,53.4355570345944,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
calibration_grid_G002_01,calibration,in_library_grid,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
calibration_cont_G003_01,calibration,in_library_continuous,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",0.990595182685705,1.03715104668258,0.859100247325866,47.2639284616422,50.0204608792361,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
calibration_grid_G003_01,calibration,in_library_grid,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
calibration_cont_G004_01,calibration,in_library_continuous,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",1.03511418118312,0.990040289838097,0.914444459494614,47.7823469737182,54.3274884246946,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
calibration_grid_G004_01,calibration,in_library_grid,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
calibration_cont_G005_01,calibration,in_library_continuous,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",0.976432137352509,0.98266433712707,0.964819875749058,47.0624098394083,50.0342791689907,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
calibration_grid_G005_01,calibration,in_library_grid,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
calibration_cont_G006_01,calibration,in_library_continuous,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",1.01245695626993,0.958919467190481,1.12266709873419,52.2635438847289,51.2584213127319,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
calibration_grid_G006_01,calibration,in_library_grid,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
calibration_cont_G007_01,calibration,in_library_continuous,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",1.012828244856,0.983177797337737,1.07264421967507,46.3397347483204,46.9885071618377,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
calibration_grid_G007_01,calibration,in_library_grid,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_cont_G001_01,validation,in_library_continuous,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",1.03690831191672,0.982565883464444,0.84551823877663,54.1149091370233,49.8423185002937,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_cont_G001_02,validation,in_library_continuous,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",1.03298329254144,0.964218412696142,1.05600950068881,45.6314088690326,48.1800172754311,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_grid_G001_01,validation,in_library_grid,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_cont_G002_01,validation,in_library_continuous,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",1.02002198337029,0.951174722823894,1.19400557395929,48.374998064059,51.3995845965331,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_cont_G002_02,validation,in_library_continuous,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",0.978073193993906,1.04719179696826,0.831711298994252,46.4107705671564,53.4974503297842,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_grid_G002_01,validation,in_library_grid,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_cont_G003_01,validation,in_library_continuous,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",0.971267595481144,1.04188104595414,1.0730653468109,49.1186358559873,52.0533286860242,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_cont_G003_02,validation,in_library_continuous,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",1.01863178428905,1.04166056611792,1.0674049210268,51.1879024955687,48.8200255176983,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_grid_G003_01,validation,in_library_grid,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_cont_G004_01,validation,in_library_continuous,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",0.989634140443948,1.01873405557647,1.01157643328168,52.5080999754634,51.9987851376508,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_cont_G004_02,validation,in_library_continuous,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",1.04065409616681,1.04316449201662,0.915384790413601,45.800046788509,49.7724478693089,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_grid_G004_01,validation,in_library_grid,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_cont_G005_01,validation,in_library_continuous,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",1.01154859625165,1.04355554026789,0.909554617497878,51.8523319172306,49.0318962339087,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_cont_G005_02,validation,in_library_continuous,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",1.04578845988876,1.0139789666982,1.07543191130792,46.9936946498888,50.0190578580043,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_grid_G005_01,validation,in_library_grid,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_cont_G006_01,validation,in_library_continuous,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",1.00458261703671,1.02126943649209,0.8737576723882,47.9806254403802,46.9076754435598,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_cont_G006_02,validation,in_library_continuous,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",0.957254943739556,1.03222459367863,0.885357385776676,46.1504297566473,51.0587310637222,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_grid_G006_01,validation,in_library_grid,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_cont_G007_01,validation,in_library_continuous,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",1.00467190814373,0.984791348401693,1.04171879519461,50.83956946232,46.5514938332277,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_cont_G007_02,validation,in_library_continuous,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",1.02240248952365,1.03898091413944,1.08727863572801,50.367284348903,52.8878998622054,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_grid_G007_01,validation,in_library_grid,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_structure_out_01,validation,structure_out,G003,"TX=TX|RX=RX|P=4|1:0,2:0,3:2",1.04976608773898,1.00860674181849,0.860105158376863,47.7062355830567,48.6906844140007,structure_key_01,legal_one_level_tree_outside_P0,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_structure_out_02,validation,structure_out,G006,"TX=TX|RX=RX|P=4|1:0,2:2,3:0",0.981450696433329,1.044353434458,0.823355592045332,51.800535749806,53.3508094476998,structure_key_02,legal_one_level_tree_outside_P0,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_parameter_out_01,validation,parameter_out,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",1.122,0.970671472806407,1.11597971744517,47.141324882897,51.2700813843148,main_length_scale,above_max,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
validation_parameter_out_02,validation,parameter_out,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",1.02263255643471,0.876,0.888204396645934,54.689189428468,46.3395640010612,branch_length_scale,below_min,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
test_cont_G001_01,test,in_library_continuous,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",1.01547640391277,1.0306363866511,1.17711293646498,54.5008447402074,51.9615991185638,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
test_cont_G001_02,test,in_library_continuous,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",1.02668999165148,0.974044667537523,1.07842436448726,45.474785880599,50.1411384363037,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
test_grid_G001_01,test,in_library_grid,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
test_cont_G002_01,test,in_library_continuous,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",0.977386409198091,0.989168149847915,0.882579772643307,51.452277071595,47.0786455433913,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
test_cont_G002_02,test,in_library_continuous,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",0.964145228011407,1.01335845992549,0.848932179143233,49.8178859347466,45.596648171879,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
test_grid_G002_01,test,in_library_grid,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
test_cont_G003_01,test,in_library_continuous,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",1.03437343103335,0.979752883596299,0.960233526403821,51.8686267077261,49.9974991074763,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
test_cont_G003_02,test,in_library_continuous,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",1.02632778894869,1.00933947626471,0.893510769510278,54.831715335333,51.6451555301756,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
test_grid_G003_01,test,in_library_grid,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
test_cont_G004_01,test,in_library_continuous,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",0.956662622739462,0.974152795500947,1.15342458835382,54.4895475086165,52.1169242313522,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
test_cont_G004_02,test,in_library_continuous,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",0.993514722339824,1.02807009446517,0.828344326248211,52.9345452969475,54.9159316792354,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
test_grid_G004_01,test,in_library_grid,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",1,1,1,50,50,,,synthetic_demo_prior_not_field_data,20261111,20261112,20261113,20261114
