grid_id,replicate_id,bootstrap_index,block_index,block_start,block_end,frequency_count,resampling_seed,experiment_scientific_hash
A_stage4a1_quick61,dev01,1,1,12,26,15,20277552,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d
A_stage4a1_quick61,dev01,1,2,20,34,15,20277552,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d
A_stage4a1_quick61,dev01,1,3,19,33,15,20277552,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d
A_stage4a1_quick61,dev01,1,4,13,27,15,20277552,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d
A_stage4a1_quick61,dev01,2,1,15,29,15,20277552,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d
A_stage4a1_quick61,dev01,2,2,2,16,15,20277552,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d
A_stage4a1_quick61,dev01,2,3,44,58,15,20277552,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d
A_stage4a1_quick61,dev01,2,4,14,28,15,20277552,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d
A_stage4a1_quick61,dev01,3,1,32,46,15,20277552,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d
A_stage4a1_quick61,dev01,3,2,34,48,15,20277552,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d
A_stage4a1_quick61,dev01,3,3,41,55,15,20277552,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d
A_stage4a1_quick61,dev01,3,4,17,31,15,20277552,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d
A_stage4a1_quick61,dev01,4,1,44,58,15,20277552,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d
A_stage4a1_quick61,dev01,4,2,9,23,15,20277552,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d
A_stage4a1_quick61,dev01,4,3,15,29,15,20277552,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d
A_stage4a1_quick61,dev01,4,4,11,25,15,20277552,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d
A_stage4a1_quick61,dev01,5,1,28,42,15,20277552,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d
A_stage4a1_quick61,dev01,5,2,21,35,15,20277552,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d
A_stage4a1_quick61,dev01,5,3,14,28,15,20277552,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d
A_stage4a1_quick61,dev01,5,4,14,28,15,20277552,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d
A_stage4a1_quick61,dev01,6,1,24,38,15,20277552,dccc3a51956080d2bca1f2d126abb9e50ea355b453939dde7fc6adaadcd86c4d
