method_id,grid_id,scenario_id,category,sample_count,truth_coverage_rate,truth_coverage_num,truth_coverage_den,truth_coverage_ci_low,truth_coverage_ci_high,unique_accuracy_given_covered,unique_accuracy_num,unique_accuracy_den,unique_accuracy_ci_low,unique_accuracy_ci_high,set_accuracy_given_covered,set_accuracy_num,set_accuracy_den,set_accuracy_ci_low,set_accuracy_ci_high,nearest_topology_hit_rate,nearest_topology_hit_num,nearest_topology_hit_den,nearest_topology_hit_ci_low,nearest_topology_hit_ci_high,nearest_class_hit_rate,nearest_class_hit_num,nearest_class_hit_den,nearest_class_hit_ci_low,nearest_class_hit_ci_high,in_library_rejection_rate,in_library_rejection_num,in_library_rejection_den,in_library_rejection_ci_low,in_library_rejection_ci_high,false_unique_rate_given_nonunique,false_unique_num,false_unique_den,false_unique_ci_low,false_unique_ci_high,unique_output_precision,unique_output_precision_num,unique_output_precision_den,unique_output_precision_ci_low,unique_output_precision_ci_high,unique_given_prior_rate,unique_given_prior_num,unique_given_prior_den,unique_given_prior_ci_low,unique_given_prior_ci_high,unique_given_prior_accuracy,unique_given_prior_accuracy_num,unique_given_prior_accuracy_den,unique_given_prior_accuracy_ci_low,unique_given_prior_accuracy_ci_high,structure_out_false_accept_rate,structure_out_false_accept_num,structure_out_false_accept_den,structure_out_false_accept_ci_low,structure_out_false_accept_ci_high,parameter_out_false_accept_rate,parameter_out_false_accept_num,parameter_out_false_accept_den,parameter_out_false_accept_ci_low,parameter_out_false_accept_ci_high,excluded_by_prior_false_accept_rate,excluded_by_prior_false_accept_num,excluded_by_prior_false_accept_den,excluded_by_prior_false_accept_ci_low,excluded_by_prior_false_accept_ci_high,reject_model_mismatch_rate,reject_model_mismatch_num,reject_model_mismatch_den,reject_model_mismatch_ci_low,reject_model_mismatch_ci_high,reject_low_margin_rate,reject_low_margin_num,reject_low_margin_den,reject_low_margin_ci_low,reject_low_margin_ci_high,reject_no_feasible_candidate_rate,reject_no_feasible_candidate_num,reject_no_feasible_candidate_den,reject_no_feasible_candidate_ci_low,reject_no_feasible_candidate_ci_high,accepted_rate,accepted_num,accepted_den,accepted_ci_low,accepted_ci_high,mean_best_distance,mean_margin,mean_rho,mean_accepted_set_size,mean_candidate_count_after_prior,stage4a5_source_hash
baseline_abs_margin,A_stage4a1_quick61,P0_no_prior,in_library_continuous,42,1,42,42,0.916201209134296,1,0.285714285714286,12,42,0.171670246260491,0.435672092681953,0.738095238095238,31,42,0.589312692942281,0.84697359712167,0.69047619047619,29,42,0.53974006063911,0.809288971412051,1,42,42,0.916201209134296,1,0.261904761904762,11,42,0.15302640287833,0.410687307057719,0,0,24,0,0.13797620467498,1,12,12,0.75750599334476,1,0,0,42,0,0.0837987908657036,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.0714285714285714,3,42,0.024590409873306,0.190094268011583,0.19047619047619,8,42,0.0998200828164775,0.333007740100387,0,0,42,0,0.0837987908657036,0.738095238095238,31,42,0.589312692942281,0.84697359712167,0.105251816872609,0.0277705223550136,0.750918392806766,1.19047619047619,7,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
baseline_abs_margin,A_stage4a1_quick61,P0_no_prior,in_library_grid,14,1,14,14,0.784689197262365,1,0.428571428571429,6,14,0.213807989044742,0.674093554203492,1,14,14,0.784689197262365,1,1,14,14,0.784689197262365,1,1,14,14,0.784689197262365,1,0,0,14,0,0.215310802737635,0,0,8,0,0.324407564883879,1,6,6,0.609665712097836,1,0,0,14,0,0.215310802737635,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,14,0,0.215310802737635,0,0,14,0,0.215310802737635,0,0,14,0,0.215310802737635,1,14,14,0.784689197262365,1,0,0.0882953437770115,0,1.57142857142857,7,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
baseline_abs_margin,A_stage4a1_quick61,P0_no_prior,structure_out,20,0,0,20,0,0.161125158052819,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,8,0,0.324407564883879,0,0,20,0,0.161125158052819,NaN,0,0,NaN,NaN,0.4,8,20,0.218806532372817,0.613418499237746,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,20,0,0.161125158052819,0.6,12,20,0.386581500762254,0.781193467627183,0,0,20,0,0.161125158052819,0.4,8,20,0.218806532372817,0.613418499237746,0.0931435719097037,0.00943830252885661,0.89214513677729,0.4,7,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
baseline_abs_margin,A_stage4a1_quick61,P0_no_prior,parameter_out,20,0,0,20,0,0.161125158052819,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,11,0,0.258832966968031,1,3,3,0.438502968244955,1,0,0,20,0,0.161125158052819,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.4,8,20,0.218806532372817,0.613418499237746,NaN,0,0,NaN,NaN,0.4,8,20,0.218806532372817,0.613418499237746,0.2,4,20,0.0806576625797981,0.416017432251893,0,0,20,0,0.161125158052819,0.4,8,20,0.218806532372817,0.613418499237746,0.167730401217514,0.0180718719020291,0.857387989728041,0.65,7,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
absolute_ratio,A_stage4a1_quick61,P0_no_prior,in_library_continuous,42,1,42,42,0.916201209134296,1,0.357142857142857,15,42,0.229891883156188,0.508336342805442,0.857142857142857,36,42,0.721589105255553,0.932840329840373,0.69047619047619,29,42,0.53974006063911,0.809288971412051,1,42,42,0.916201209134296,1,0.142857142857143,6,42,0.0671596701596266,0.278410894744447,0,0,24,0,0.13797620467498,1,15,15,0.796116698964152,1,0,0,42,0,0.0837987908657036,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.0714285714285714,3,42,0.024590409873306,0.190094268011583,0.0714285714285714,3,42,0.024590409873306,0.190094268011583,0,0,42,0,0.0837987908657036,0.857142857142857,36,42,0.721589105255553,0.932840329840373,0.105251816872609,0.0277705223550136,0.750918392806766,1.35714285714286,7,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
absolute_ratio,A_stage4a1_quick61,P0_no_prior,in_library_grid,14,1,14,14,0.784689197262365,1,0.428571428571429,6,14,0.213807989044742,0.674093554203492,1,14,14,0.784689197262365,1,1,14,14,0.784689197262365,1,1,14,14,0.784689197262365,1,0,0,14,0,0.215310802737635,0,0,8,0,0.324407564883879,1,6,6,0.609665712097836,1,0,0,14,0,0.215310802737635,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,14,0,0.215310802737635,0,0,14,0,0.215310802737635,0,0,14,0,0.215310802737635,1,14,14,0.784689197262365,1,0,0.0882953437770115,0,1.57142857142857,7,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
absolute_ratio,A_stage4a1_quick61,P0_no_prior,structure_out,20,0,0,20,0,0.161125158052819,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,11,0,0.258832966968031,0,0,20,0,0.161125158052819,NaN,0,0,NaN,NaN,0.55,11,20,0.342085342450343,0.741802141744375,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,20,0,0.161125158052819,0.45,9,20,0.258197858255625,0.657914657549657,0,0,20,0,0.161125158052819,0.55,11,20,0.342085342450343,0.741802141744375,0.0931435719097037,0.00943830252885661,0.89214513677729,0.55,7,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
absolute_ratio,A_stage4a1_quick61,P0_no_prior,parameter_out,20,0,0,20,0,0.161125158052819,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,11,0,0.258832966968031,1,4,4,0.510109163545404,1,0,0,20,0,0.161125158052819,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.5,10,20,0.299298008198213,0.700701991801787,NaN,0,0,NaN,NaN,0.4,8,20,0.218806532372817,0.613418499237746,0.1,2,20,0.0278664812137683,0.301033645228487,0,0,20,0,0.161125158052819,0.5,10,20,0.299298008198213,0.700701991801787,0.167730401217514,0.0180718719020291,0.857387989728041,0.8,7,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
joint_abs_margin_ratio,A_stage4a1_quick61,P0_no_prior,in_library_continuous,42,1,42,42,0.916201209134296,1,0.285714285714286,12,42,0.171670246260491,0.435672092681953,0.738095238095238,31,42,0.589312692942281,0.84697359712167,0.69047619047619,29,42,0.53974006063911,0.809288971412051,1,42,42,0.916201209134296,1,0.261904761904762,11,42,0.15302640287833,0.410687307057719,0,0,24,0,0.13797620467498,1,12,12,0.75750599334476,1,0,0,42,0,0.0837987908657036,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.0714285714285714,3,42,0.024590409873306,0.190094268011583,0.19047619047619,8,42,0.0998200828164775,0.333007740100387,0,0,42,0,0.0837987908657036,0.738095238095238,31,42,0.589312692942281,0.84697359712167,0.105251816872609,0.0277705223550136,0.750918392806766,1.19047619047619,7,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
joint_abs_margin_ratio,A_stage4a1_quick61,P0_no_prior,in_library_grid,14,1,14,14,0.784689197262365,1,0.428571428571429,6,14,0.213807989044742,0.674093554203492,1,14,14,0.784689197262365,1,1,14,14,0.784689197262365,1,1,14,14,0.784689197262365,1,0,0,14,0,0.215310802737635,0,0,8,0,0.324407564883879,1,6,6,0.609665712097836,1,0,0,14,0,0.215310802737635,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,14,0,0.215310802737635,0,0,14,0,0.215310802737635,0,0,14,0,0.215310802737635,1,14,14,0.784689197262365,1,0,0.0882953437770115,0,1.57142857142857,7,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
