sample_id,replicate_id,split,grid_id,scenario_id,method_id,method_family,decision,decision_reason,best_template_id,best_topology_id,best_equivalence_class,accepted_topology_set,baseline_P0_equivalence_class,baseline_P0_equivalence_class_size,prior_conditioned_equivalence_class_size,best_distance,second_distance,margin,rho,subband_max_stat,subband_quantile_stat,neighborhood_score,neighborhood_margin,stability_value,stability_threshold,candidate_count_before_prior,candidate_count_after_prior,parameter_template_count,composite_template_count,configuration_hash,calibration_hash
final01_final_replication_test_cont_G001_01,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,unique_topology,singleton baseline class passed all frozen rules,G001_P001,G001,"{G001}","G001","{G001}",1,1,0.182168865239383,0.220029196171281,0.0378603309318986,0.827930422000659,NaN,NaN,0.182168865239383,0.0384281205531505,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G001_02,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,reject_model_mismatch,best full-band residual exceeds calibration threshold,G001_P002,G001,"{G001}","","{G001}",1,1,0.256893699432517,0.27515007361267,0.0182563741801526,0.933649393796689,NaN,NaN,NaN,NaN,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G001_03,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,unique_topology,singleton baseline class passed all frozen rules,G001_P111,G001,"{G001}","G001","{G001}",1,1,0.183345489366849,0.2416876170792,0.0583421277123507,0.75860522595996,NaN,NaN,0.183345489366849,0.0595245526011146,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G001_04,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,unique_topology,singleton baseline class passed all frozen rules,G001_P138,G001,"{G001}","G001","{G001}",1,1,0.0873639900391097,0.193879900162465,0.106515910123356,0.450608804550914,NaN,NaN,0.0873639900391097,0.108212069719868,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G001_05,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,reject_model_mismatch,best full-band residual exceeds calibration threshold,G001_P001,G001,"{G001}","","{G001}",1,1,0.209353439965011,0.246349630944757,0.0369961909797463,0.849822421739725,NaN,NaN,NaN,NaN,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G001_06,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,unique_topology,singleton baseline class passed all frozen rules,G001_P002,G001,"{G001}","G001","{G001}",1,1,0.185603229608208,0.21429657532261,0.0286933457144019,0.866104506466928,NaN,NaN,0.185603229608208,0.0290973560408352,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_grid_G001_01,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,unique_topology,singleton baseline class passed all frozen rules,G001_P110,G001,"{G001}","G001","{G001}",1,1,0,0.17286420118993,0.17286420118993,0,NaN,NaN,0,0.174537016048003,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_grid_G001_02,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,unique_topology,singleton baseline class passed all frozen rules,G001_P110,G001,"{G001}","G001","{G001}",1,1,0,0.17286420118993,0.17286420118993,0,NaN,NaN,0,0.174537016048003,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G002_01,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,equivalence_class,best observation class has multiple members,G005_P013,G005,"{G002,G005}","G002,G005","{G002,G005}",2,2,0.0255383272165771,0.0939474638014752,0.0684091365848981,0.271836260213171,NaN,NaN,0.0267360236858931,0.06799242406738,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G002_02,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,equivalence_class,best observation class has multiple members,G005_P007,G005,"{G002,G005}","G002,G005","{G002,G005}",2,2,0.0557826188824645,0.100600953169733,0.0448183342872686,0.554493939911226,NaN,NaN,0.0572364330653161,0.0444813529992737,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
