sample_id,replicate_id,split,grid_id,scenario_id,best_topology_id,best_equivalence_class,best_distance,margin,rho,best_subband_distance,best_amplitude_distance,best_phase_distance,topology_best_distances,topK_neighborhood_scores,topK_neighborhood_std,stability_value,block_repetitions,uses_topK_cache,distance_evaluations,configuration_hash
final01_final_replication_test_cont_G001_01,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,G001,"{G001}",0.182168865239383,0.0378603309318986,0.827930422000659,[0.0938349 0.138174 0.155174 0.192928 0.199767 0.211234 0.215743 0.214392],0.0498923927254612,0.570086678023775,[0.182169 0.220405 0.228296 0.271432 0.220029 0.274093 0.271432],[0.182169 0.182169 0.182312;0.220419 0.220597 0.222031;0.228417 0.228775 0.229586;0.271867 0.272224 0.273677;0.220561 0.220771 0.221956;0.274539 0.274982 0.276394;0.27188 0.272361 0.273689],[0 0 0.000429623;1.30261e-05 0.000220065 0.0016791;0.000110293 0.000457998 0.000965594;0.000385529 0.000579785 0.00159469;0.000376262 0.000404284 0.00144535;0.00031861 0.000602956 0.00160272;0.000317635 0.000639441 0.00150222],1,30,1,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85
final01_final_replication_test_cont_G001_01,final01,final_replication_test,A_stage4a1_quick61,P1_partial_consistent_prior,G001,"{G001}",0.182168865239383,0.0378603309318986,0.827930422000659,[0.0938349 0.138174 0.155174 0.192928 0.199767 0.211234 0.215743 0.214392],0.0498923927254612,0.570086678023775,[0.182169 0.228296 0.220029 0.271432],[0.182169 0.182169 0.182312;0.228417 0.228775 0.229586;0.220561 0.220771 0.221956;0.27188 0.272361 0.273689],[0 0 0.000429623;0.000110293 0.000457998 0.000965594;0.000376262 0.000404284 0.00144535;0.000317635 0.000639441 0.00150222],1,30,1,972,45730c6484f397830c411e04b050555c36fd02843e0f955e1b442cd1d927df0c
final01_final_replication_test_cont_G001_01,final01,final_replication_test,A_stage4a1_quick61,P2_stale_or_inconsistent_prior,G001,"{G001}",0.182168865239383,0.0378603309318986,0.827930422000659,[0.0938349 0.138174 0.155174 0.192928 0.199767 0.211234 0.215743 0.214392],0.0498923927254612,0.570086678023775,[0.182169 0.220405 0.220029 0.274093],[0.182169 0.182169 0.182312;0.220419 0.220597 0.222031;0.220561 0.220771 0.221956;0.274539 0.274982 0.276394],[0 0 0.000429623;1.30261e-05 0.000220065 0.0016791;0.000376262 0.000404284 0.00144535;0.00031861 0.000602956 0.00160272],1,30,1,972,b17052d94dcd7df8157639d4abbec353befae316da88ce43e32c5fe1f8bad4a0
final01_final_replication_test_cont_G001_01,final01,final_replication_test,B_ofdm_active_subcarriers,P0_no_prior,G001,"{G001}",0.183138333619021,0.0372457851638048,0.830996056474745,[0.0948853 0.133739 0.16085 0.18533 0.20676 0.212725 0.214065 0.217668],0.0503824905249896,0.570741140979334,[0.183138 0.220592 0.224749 0.269138 0.220384 0.271763 0.269138],[0.183138 0.183138 0.183277;0.220732 0.220902 0.222497;0.225001 0.225391 0.226226;0.269621 0.270034 0.271643;0.220749 0.221094 0.222431;0.27228 0.272762 0.274332;0.269656 0.270187 0.271664],[0 0 0.000414867;9.86926e-05 0.00030667 0.00177075;0.000178577 0.000501166 0.00106163;0.000426822 0.000655273 0.00177064;0.00027917 0.000480235 0.00152715;0.000374778 0.000668497 0.00178766;0.000366792 0.000711232 0.00167668],1,30,1,1701,cb4a8948d2c30a9ff5901bc3cb4b64cea7348e122640626cf6b74c9c437dc641
final01_final_replication_test_cont_G001_01,final01,final_replication_test,B_ofdm_active_subcarriers,P1_partial_consistent_prior,G001,"{G001}",0.183138333619021,0.0372457851638048,0.830996056474745,[0.0948853 0.133739 0.16085 0.18533 0.20676 0.212725 0.214065 0.217668],0.0503824905249896,0.570741140979334,[0.183138 0.224749 0.220384 0.269138],[0.183138 0.183138 0.183277;0.225001 0.225391 0.226226;0.220749 0.221094 0.222431;0.269656 0.270187 0.271664],[0 0 0.000414867;0.000178577 0.000501166 0.00106163;0.00027917 0.000480235 0.00152715;0.000366792 0.000711232 0.00167668],1,30,1,972,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470
final01_final_replication_test_cont_G001_01,final01,final_replication_test,B_ofdm_active_subcarriers,P2_stale_or_inconsistent_prior,G001,"{G001}",0.183138333619021,0.0372457851638048,0.830996056474745,[0.0948853 0.133739 0.16085 0.18533 0.20676 0.212725 0.214065 0.217668],0.0503824905249896,0.570741140979334,[0.183138 0.220592 0.220384 0.271763],[0.183138 0.183138 0.183277;0.220732 0.220902 0.222497;0.220749 0.221094 0.222431;0.27228 0.272762 0.274332],[0 0 0.000414867;9.86926e-05 0.00030667 0.00177075;0.00027917 0.000480235 0.00152715;0.000374778 0.000668497 0.00178766],1,30,1,972,ea7b1f1038fa0e7f944dafa07d86a670bf5d0c86ee37902f05ee261e1b70cb02
final01_final_replication_test_cont_G001_02,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,G001,"{G001}",0.256893699432517,0.0182563741801526,0.933649393796689,[0.143673 0.189419 0.232158 0.275862 0.274274 0.278686 0.302042 0.312825],0.082280962723323,0.805306891014574,[0.256894 0.275476 0.282893 0.31407 0.27515 0.317573 0.31407],[0.256894 0.256894 0.256992;0.27553 0.27566 0.276089;0.28304 0.283355 0.284041;0.314379 0.314649 0.315541;0.275616 0.275758 0.276174;0.317838 0.318153 0.319005;0.314386 0.314746 0.315574],[0 0 0.000293529;4.17797e-05 0.000164145 0.000453107;0.000162184 0.000406397 0.000782885;0.000266161 0.000424718 0.000957552;0.000330968 0.000313123 0.000501322;0.000189476 0.000413896 0.000943756;0.000225496 0.000474903 0.000917438],0.966666666666667,30,1,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85
final01_final_replication_test_cont_G001_02,final01,final_replication_test,A_stage4a1_quick61,P1_partial_consistent_prior,G001,"{G001}",0.256893699432517,0.0182563741801526,0.933649393796689,[0.143673 0.189419 0.232158 0.275862 0.274274 0.278686 0.302042 0.312825],0.082280962723323,0.805306891014574,[0.256894 0.282893 0.27515 0.31407],[0.256894 0.256894 0.256992;0.28304 0.283355 0.284041;0.275616 0.275758 0.276174;0.314386 0.314746 0.315574],[0 0 0.000293529;0.000162184 0.000406397 0.000782885;0.000330968 0.000313123 0.000501322;0.000225496 0.000474903 0.000917438],0.966666666666667,30,1,972,45730c6484f397830c411e04b050555c36fd02843e0f955e1b442cd1d927df0c
final01_final_replication_test_cont_G001_02,final01,final_replication_test,A_stage4a1_quick61,P2_stale_or_inconsistent_prior,G001,"{G001}",0.256893699432517,0.0182563741801526,0.933649393796689,[0.143673 0.189419 0.232158 0.275862 0.274274 0.278686 0.302042 0.312825],0.082280962723323,0.805306891014574,[0.256894 0.275476 0.27515 0.317573],[0.256894 0.256894 0.256992;0.27553 0.27566 0.276089;0.275616 0.275758 0.276174;0.317838 0.318153 0.319005],[0 0 0.000293529;4.17797e-05 0.000164145 0.000453107;0.000330968 0.000313123 0.000501322;0.000189476 0.000413896 0.000943756],1,30,1,972,b17052d94dcd7df8157639d4abbec353befae316da88ce43e32c5fe1f8bad4a0
final01_final_replication_test_cont_G001_02,final01,final_replication_test,B_ofdm_active_subcarriers,P0_no_prior,G001,"{G001}",0.257059850790306,0.019125779324792,0.930750273583197,[0.144392 0.190444 0.237893 0.274482 0.273152 0.281314 0.299173 0.310307],0.0816760343490449,0.801640168346707,[0.25706 0.276474 0.279783 0.312753 0.276186 0.316397 0.312753],[0.25706 0.25706 0.257164;0.276556 0.276669 0.277099;0.279942 0.280291 0.280956;0.31315 0.313473 0.314348;0.276567 0.276745 0.277167;0.316746 0.317113 0.318049;0.313157 0.313581 0.314384],[0 0 0.000311807;8.58086e-05 0.000183788 0.000464037;0.000144395 0.000444956 0.00083096;0.000341141 0.000515402 0.000958969;0.000276411 0.000306426 0.000488632;0.000246415 0.000491776 0.00103529;0.000285963 0.000565383 0.000909568],0.933333333333333,30,1,1701,cb4a8948d2c30a9ff5901bc3cb4b64cea7348e122640626cf6b74c9c437dc641
