grid_id,subband_id,start_index,end_index,start_frequency_hz,end_frequency_hz,frequency_count,configuration_hash
A_stage4a1_quick61,1,1,15,2000000,8533333.33333333,15,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,2,16,31,9000000,16000000,16,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,3,32,46,16466666.6666667,23000000,15,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,4,47,61,23466666.6666667,30000000,15,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,1,1,8,2000000,5266666.66666667,8,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,2,9,15,5733333.33333333,8533333.33333333,7,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,3,16,23,9000000,12266666.6666667,8,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,4,24,31,12733333.3333333,16000000,8,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,5,32,38,16466666.6666667,19266666.6666667,7,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,6,39,46,19733333.3333333,23000000,8,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,7,47,53,23466666.6666667,26266666.6666667,7,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,8,54,61,26733333.3333333,30000000,8,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,1,1,448,2000000,8984375,448,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,2,449,897,9000000,16000000,449,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,3,898,1345,16015625,23000000,448,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,4,1346,1793,23015625,30000000,448,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,1,1,224,2000000,5484375,224,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,2,225,448,5500000,8984375,224,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,3,449,672,9000000,12484375,224,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,4,673,897,12500000,16000000,225,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,5,898,1121,16015625,19500000,224,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,6,1122,1345,19515625,23000000,224,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,7,1346,1569,23015625,26500000,224,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,8,1570,1793,26515625,30000000,224,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
