sample_id,replicate_id,split,category,truth_topology_id,canonical_key,outlier_dimension,outlier_direction,source_tag,seed,development_seed,final_seed
dev01_development_training_cont_G001_01,dev01,development_training,in_library_continuous,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",,,synthetic_demo_prior_not_field_data,20261212,20261201,0
dev01_development_training_cont_G001_02,dev01,development_training,in_library_continuous,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",,,synthetic_demo_prior_not_field_data,20261212,20261201,0
dev01_development_training_grid_G001_01,dev01,development_training,in_library_grid,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",,,synthetic_demo_prior_not_field_data,20261212,20261201,0
dev01_development_training_cont_G002_01,dev01,development_training,in_library_continuous,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",,,synthetic_demo_prior_not_field_data,20261212,20261201,0
dev01_development_training_cont_G002_02,dev01,development_training,in_library_continuous,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",,,synthetic_demo_prior_not_field_data,20261212,20261201,0
dev01_development_training_grid_G002_01,dev01,development_training,in_library_grid,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",,,synthetic_demo_prior_not_field_data,20261212,20261201,0
dev01_development_training_cont_G003_01,dev01,development_training,in_library_continuous,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",,,synthetic_demo_prior_not_field_data,20261212,20261201,0
dev01_development_training_cont_G003_02,dev01,development_training,in_library_continuous,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",,,synthetic_demo_prior_not_field_data,20261212,20261201,0
dev01_development_training_grid_G003_01,dev01,development_training,in_library_grid,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",,,synthetic_demo_prior_not_field_data,20261212,20261201,0
dev01_development_training_cont_G004_01,dev01,development_training,in_library_continuous,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",,,synthetic_demo_prior_not_field_data,20261212,20261201,0
dev01_development_training_cont_G004_02,dev01,development_training,in_library_continuous,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",,,synthetic_demo_prior_not_field_data,20261212,20261201,0
dev01_development_training_grid_G004_01,dev01,development_training,in_library_grid,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",,,synthetic_demo_prior_not_field_data,20261212,20261201,0
dev01_development_training_cont_G005_01,dev01,development_training,in_library_continuous,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",,,synthetic_demo_prior_not_field_data,20261212,20261201,0
dev01_development_training_cont_G005_02,dev01,development_training,in_library_continuous,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",,,synthetic_demo_prior_not_field_data,20261212,20261201,0
dev01_development_training_grid_G005_01,dev01,development_training,in_library_grid,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",,,synthetic_demo_prior_not_field_data,20261212,20261201,0
dev01_development_training_cont_G006_01,dev01,development_training,in_library_continuous,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",,,synthetic_demo_prior_not_field_data,20261212,20261201,0
dev01_development_training_cont_G006_02,dev01,development_training,in_library_continuous,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",,,synthetic_demo_prior_not_field_data,20261212,20261201,0
dev01_development_training_grid_G006_01,dev01,development_training,in_library_grid,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",,,synthetic_demo_prior_not_field_data,20261212,20261201,0
dev01_development_training_cont_G007_01,dev01,development_training,in_library_continuous,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",,,synthetic_demo_prior_not_field_data,20261212,20261201,0
dev01_development_training_cont_G007_02,dev01,development_training,in_library_continuous,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",,,synthetic_demo_prior_not_field_data,20261212,20261201,0
dev01_development_training_grid_G007_01,dev01,development_training,in_library_grid,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",,,synthetic_demo_prior_not_field_data,20261212,20261201,0
dev01_development_calibration_cont_G001_01,dev01,development_calibration,in_library_continuous,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",,,synthetic_demo_prior_not_field_data,20261218,20261201,0
dev01_development_calibration_cont_G001_02,dev01,development_calibration,in_library_continuous,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",,,synthetic_demo_prior_not_field_data,20261218,20261201,0
