topology_status,topology_set,best_topology_id,parameter_domain_status,parameter_evidence,method_id,profile_reliable,optimizer_converged,multistart_consistent,active_parameters_identifiable,sample_id,replicate_id,grid_id,optimization_converged,experiment_scientific_hash
unique_topology,"G001",G001,parameter_not_evaluated,parameter-domain detector not applicable,A6_1_M0_topology_only,0,0,0,0,final01_test_in_01,final01,A_stage4a1_quick61,1,ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
unique_topology,"G001",G001,parameter_domain_indeterminate,insufficient_calibration,A6_1_M1_boundary,0,0,0,0,final01_test_in_01,final01,A_stage4a1_quick61,1,ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
unique_topology,"G001",G001,parameter_domain_indeterminate,insufficient_calibration,A6_1_M2_extended_profile,0,0,0,0,final01_test_in_01,final01,A_stage4a1_quick61,1,ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
unique_topology,"G001",G001,parameter_domain_indeterminate,insufficient_calibration,A6_1_M3_joint_diagnostic,0,0,0,0,final01_test_in_01,final01,A_stage4a1_quick61,1,ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
equivalence_class,"G002,G005",G002,parameter_not_evaluated,parameter-domain detector not applicable,A6_1_M0_topology_only,0,0,0,0,final01_test_in_02,final01,A_stage4a1_quick61,1,ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
equivalence_class,"G002,G005",G002,parameter_domain_indeterminate,insufficient_calibration,A6_1_M1_boundary,0,0,0,0,final01_test_in_02,final01,A_stage4a1_quick61,1,ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
equivalence_class,"G002,G005",G002,parameter_domain_indeterminate,insufficient_calibration,A6_1_M2_extended_profile,0,0,0,0,final01_test_in_02,final01,A_stage4a1_quick61,1,ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
equivalence_class,"G002,G005",G002,parameter_domain_indeterminate,insufficient_calibration,A6_1_M3_joint_diagnostic,0,0,0,0,final01_test_in_02,final01,A_stage4a1_quick61,1,ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
unique_topology,"G001",G001,parameter_not_evaluated,parameter-domain detector not applicable,A6_1_M0_topology_only,0,0,0,0,final01_test_out_main_length_scale_near,final01,A_stage4a1_quick61,1,ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
unique_topology,"G001",G001,parameter_domain_indeterminate,insufficient_calibration,A6_1_M1_boundary,0,0,0,0,final01_test_out_main_length_scale_near,final01,A_stage4a1_quick61,1,ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
unique_topology,"G001",G001,parameter_domain_indeterminate,insufficient_calibration,A6_1_M2_extended_profile,0,0,0,0,final01_test_out_main_length_scale_near,final01,A_stage4a1_quick61,1,ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
unique_topology,"G001",G001,parameter_domain_indeterminate,insufficient_calibration,A6_1_M3_joint_diagnostic,0,0,0,0,final01_test_out_main_length_scale_near,final01,A_stage4a1_quick61,1,ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
equivalence_class,"G002,G005",G005,parameter_not_evaluated,parameter-domain detector not applicable,A6_1_M0_topology_only,0,0,0,0,final01_test_out_branch_length_scale_medium,final01,A_stage4a1_quick61,1,ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
equivalence_class,"G002,G005",G005,parameter_domain_indeterminate,insufficient_calibration,A6_1_M1_boundary,0,0,0,0,final01_test_out_branch_length_scale_medium,final01,A_stage4a1_quick61,1,ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
equivalence_class,"G002,G005",G005,parameter_domain_indeterminate,insufficient_calibration,A6_1_M2_extended_profile,0,0,0,0,final01_test_out_branch_length_scale_medium,final01,A_stage4a1_quick61,1,ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
equivalence_class,"G002,G005",G005,parameter_domain_indeterminate,insufficient_calibration,A6_1_M3_joint_diagnostic,0,0,0,0,final01_test_out_branch_length_scale_medium,final01,A_stage4a1_quick61,1,ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
