method_id,grid_id,replicate_id,category,outlier_dimension,outlier_severity,sample_count,topology_set_accuracy,topology_rejection_rate,wrong_topology_acceptance_rate,false_unique_rate,parameter_status,parameter_ood_recall,parameter_in_domain_false_alarm,parameter_ood_miss_rate,parameter_indeterminate_rate,optimization_failure_rate,profile_reliability_rate
A6_1_M0_topology_only,A_stage4a1_quick61,final01,parameter_in_domain,,,2,1,0,0,0,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN
A6_1_M1_boundary,A_stage4a1_quick61,final01,parameter_in_domain,,,2,1,0,0,0,evaluated,NaN,0,NaN,1,1,0
A6_1_M2_extended_profile,A_stage4a1_quick61,final01,parameter_in_domain,,,2,1,0,0,0,evaluated,NaN,0,NaN,1,1,0
A6_1_M3_joint_diagnostic,A_stage4a1_quick61,final01,parameter_in_domain,,,2,1,0,0,0,evaluated,NaN,0,NaN,1,1,0
A6_1_M0_topology_only,A_stage4a1_quick61,final01,parameter_out_of_domain,main_length_scale,near,1,1,0,0,0,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN
A6_1_M1_boundary,A_stage4a1_quick61,final01,parameter_out_of_domain,main_length_scale,near,1,1,0,0,0,evaluated,0,NaN,0,1,1,0
A6_1_M2_extended_profile,A_stage4a1_quick61,final01,parameter_out_of_domain,main_length_scale,near,1,1,0,0,0,evaluated,0,NaN,0,1,1,0
A6_1_M3_joint_diagnostic,A_stage4a1_quick61,final01,parameter_out_of_domain,main_length_scale,near,1,1,0,0,0,evaluated,0,NaN,0,1,1,0
A6_1_M0_topology_only,A_stage4a1_quick61,final01,parameter_out_of_domain,branch_length_scale,medium,1,1,0,0,0,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN
A6_1_M1_boundary,A_stage4a1_quick61,final01,parameter_out_of_domain,branch_length_scale,medium,1,1,0,0,0,evaluated,0,NaN,0,1,1,0
A6_1_M2_extended_profile,A_stage4a1_quick61,final01,parameter_out_of_domain,branch_length_scale,medium,1,1,0,0,0,evaluated,0,NaN,0,1,1,0
A6_1_M3_joint_diagnostic,A_stage4a1_quick61,final01,parameter_out_of_domain,branch_length_scale,medium,1,1,0,0,0,evaluated,0,NaN,0,1,1,0
