sample_id,replicate_id,split,grid_id,category,outlier_dimension,outlier_severity,parameter_domain_truth,truth_topology_id,canonical_key,truth_is_nonunique,truth_equivalence_class,experiment_scientific_hash
final01_test_in_01,final01,stage4a6_final_test,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",0,"{G001}",ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
final01_test_in_01,final01,stage4a6_final_test,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",0,"{G001}",ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
final01_test_in_01,final01,stage4a6_final_test,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",0,"{G001}",ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
final01_test_in_01,final01,stage4a6_final_test,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",0,"{G001}",ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
final01_test_in_02,final01,stage4a6_final_test,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",1,"{G002,G005}",ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
final01_test_in_02,final01,stage4a6_final_test,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",1,"{G002,G005}",ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
final01_test_in_02,final01,stage4a6_final_test,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",1,"{G002,G005}",ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
final01_test_in_02,final01,stage4a6_final_test,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",1,"{G002,G005}",ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
final01_test_out_main_length_scale_near,final01,stage4a6_final_test,A_stage4a1_quick61,parameter_out_of_domain,main_length_scale,near,out_of_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",0,"{G001}",ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
final01_test_out_main_length_scale_near,final01,stage4a6_final_test,A_stage4a1_quick61,parameter_out_of_domain,main_length_scale,near,out_of_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",0,"{G001}",ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
final01_test_out_main_length_scale_near,final01,stage4a6_final_test,A_stage4a1_quick61,parameter_out_of_domain,main_length_scale,near,out_of_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",0,"{G001}",ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
final01_test_out_main_length_scale_near,final01,stage4a6_final_test,A_stage4a1_quick61,parameter_out_of_domain,main_length_scale,near,out_of_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",0,"{G001}",ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
final01_test_out_branch_length_scale_medium,final01,stage4a6_final_test,A_stage4a1_quick61,parameter_out_of_domain,branch_length_scale,medium,out_of_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",1,"{G002,G005}",ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
final01_test_out_branch_length_scale_medium,final01,stage4a6_final_test,A_stage4a1_quick61,parameter_out_of_domain,branch_length_scale,medium,out_of_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",1,"{G002,G005}",ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
final01_test_out_branch_length_scale_medium,final01,stage4a6_final_test,A_stage4a1_quick61,parameter_out_of_domain,branch_length_scale,medium,out_of_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",1,"{G002,G005}",ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
final01_test_out_branch_length_scale_medium,final01,stage4a6_final_test,A_stage4a1_quick61,parameter_out_of_domain,branch_length_scale,medium,out_of_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",1,"{G002,G005}",ddcc533a338b31c9c6bc787b5c3d59f8817898069ba7998eb5fa6849325a0df6
