case_id,expected_output_path,attempt_count,retry_count,final_status,runtime_s,error_identifier,error_message,checksum_valid,scientific_hash,source_tree_hash
cal_G001_001,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G001_001.mat,1,0,completed,1.231841,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G001_002,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G001_002.mat,1,0,completed,0.312457,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G001_003,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G001_003.mat,1,0,completed,0.317519,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G001_004,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G001_004.mat,1,0,completed,0.317997,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G001_005,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G001_005.mat,1,0,completed,2.072873,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G001_006,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G001_006.mat,1,0,completed,0.274055,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G001_007,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G001_007.mat,1,0,completed,0.280302,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G001_008,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G001_008.mat,1,0,completed,0.268211,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G001_009,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G001_009.mat,1,0,completed,0.288454,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G001_010,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G001_010.mat,1,0,completed,0.268509,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G002_001,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G002_001.mat,1,0,completed,0.921703,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G002_002,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G002_002.mat,1,0,completed,0.796952,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
