sample_id,split,replicate_id,seed,truth_topology_id,canonical_key,active_parameter_names,active_parameter_count,has_branch,category,outlier_dimension,outlier_severity,outlier_direction,parameter_domain_truth,grid_id,frequency_count,source_tag
cal_G001_001,calibration,calibration,20263802,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0","main_length_scale,source_impedance_ohm,receiver_impedance_ohm",3,0,in_domain_interior,,,,in_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
cal_G001_002,calibration,calibration,20263803,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0","main_length_scale,source_impedance_ohm,receiver_impedance_ohm",3,0,in_domain_interior,,,,in_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
cal_G001_003,calibration,calibration,20263804,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0","main_length_scale,source_impedance_ohm,receiver_impedance_ohm",3,0,in_domain_interior,,,,in_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
cal_G001_004,calibration,calibration,20263805,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0","main_length_scale,source_impedance_ohm,receiver_impedance_ohm",3,0,in_domain_interior,,,,in_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
cal_G001_005,calibration,calibration,20263806,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0","main_length_scale,source_impedance_ohm,receiver_impedance_ohm",3,0,in_domain_interior,,,,in_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
cal_G001_006,calibration,calibration,20263807,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0","main_length_scale,source_impedance_ohm,receiver_impedance_ohm",3,0,in_domain_interior,,,,in_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
cal_G001_007,calibration,calibration,20263808,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0","main_length_scale,source_impedance_ohm,receiver_impedance_ohm",3,0,in_domain_interior,,,,in_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
cal_G001_008,calibration,calibration,20263809,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0","main_length_scale,source_impedance_ohm,receiver_impedance_ohm",3,0,in_domain_interior,,,,in_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
cal_G001_009,calibration,calibration,20263810,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0","main_length_scale,source_impedance_ohm,receiver_impedance_ohm",3,0,in_domain_interior,,,,in_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
cal_G001_010,calibration,calibration,20263811,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0","main_length_scale,source_impedance_ohm,receiver_impedance_ohm",3,0,in_domain_interior,,,,in_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
