sample_id,method_id,topology_status,topology_set,parameter_domain_status,profile_reliable,member_count,truth_free_best_distance,scientific_hash
final_s01_G001_in_001,A6_3_M0_topology_only,equivalence_class,"G002,G005",parameter_not_evaluated,0,1,0.304980710028737,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_in_001,A6_3_M1_boundary,equivalence_class,"G002,G005",parameter_out_suspected,0,1,0.304980710028737,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_in_001,A6_3_M2_profile,equivalence_class,"G002,G005",parameter_out_suspected,0,1,0.304980710028737,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_in_001,A6_3_M3_joint_diagnostic,equivalence_class,"G002,G005",parameter_domain_indeterminate,0,1,0.304980710028737,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_in_002,A6_3_M0_topology_only,unique_topology,"G001",parameter_not_evaluated,1,1,0.257363520659765,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_in_002,A6_3_M1_boundary,unique_topology,"G001",parameter_in_domain,1,1,0.257363520659765,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_in_002,A6_3_M2_profile,unique_topology,"G001",parameter_in_domain,1,1,0.257363520659765,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_in_002,A6_3_M3_joint_diagnostic,unique_topology,"G001",parameter_in_domain,1,1,0.257363520659765,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_in_003,A6_3_M0_topology_only,unique_topology,"G001",parameter_not_evaluated,1,1,0.140038905405309,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_in_003,A6_3_M1_boundary,unique_topology,"G001",parameter_in_domain,1,1,0.140038905405309,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_in_003,A6_3_M2_profile,unique_topology,"G001",parameter_in_domain,1,1,0.140038905405309,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_in_003,A6_3_M3_joint_diagnostic,unique_topology,"G001",parameter_in_domain,1,1,0.140038905405309,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_in_004,A6_3_M0_topology_only,unique_topology,"G001",parameter_not_evaluated,1,1,0.0146957696053402,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_in_004,A6_3_M1_boundary,unique_topology,"G001",parameter_in_domain,1,1,0.0146957696053402,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_in_004,A6_3_M2_profile,unique_topology,"G001",parameter_in_domain,1,1,0.0146957696053402,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_in_004,A6_3_M3_joint_diagnostic,unique_topology,"G001",parameter_in_domain,1,1,0.0146957696053402,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
final_s01_G001_main_length_scale_near_lower_01,A6_3_M0_topology_only,equivalence_class,"G004,G007",parameter_not_evaluated,1,1,0.435262202934892,6383b4515b9aab465a216c6fab2066bb7b11dc9bedd7aafeff2972b919809584
