method_id,category,sample_count,ood_out_numerator,ood_denominator,ood_recall,ood_ci_low,ood_ci_high,ood_false_accept_numerator,ood_false_accept_rate,in_domain_false_alarm_numerator,in_domain_denominator,in_domain_false_alarm_rate,in_domain_ci_low,in_domain_ci_high,indeterminate_numerator,indeterminate_rate,indeterminate_ci_low,indeterminate_ci_high,decision_coverage_numerator,decision_coverage,coverage_ci_low,coverage_ci_high
A6_3_M0_topology_only,in_domain_interior,84,0,0,NaN,NaN,NaN,0,NaN,0,84,0,0,0.0437317284146599,84,1,0.95626827158534,1,0,0,0,0.0437317284146599
A6_3_M0_topology_only,out_of_domain_near,396,0,396,0,0,0.00960745499484784,0,0,0,0,NaN,NaN,NaN,396,1,0.990392545005152,1,0,0,0,0.00960745499484784
A6_3_M0_topology_only,out_of_domain_medium,396,0,396,0,0,0.00960745499484784,0,0,0,0,NaN,NaN,NaN,396,1,0.990392545005152,1,0,0,0,0.00960745499484784
A6_3_M0_topology_only,out_of_domain_far,396,0,396,0,0,0.00960745499484784,0,0,0,0,NaN,NaN,NaN,396,1,0.990392545005152,1,0,0,0,0.00960745499484784
A6_3_M1_boundary,in_domain_interior,84,0,0,NaN,NaN,NaN,0,NaN,10,84,0.119047619047619,0.0659654924759903,0.205449157744703,14,0.166666666666667,0.101957421489707,0.260530397453399,70,0.833333333333333,0.739469602546601,0.898042578510293
A6_3_M1_boundary,out_of_domain_near,396,282,396,0.712121212121212,0.665656635411967,0.754509898832643,54,0.136363636363636,0,0,NaN,NaN,NaN,60,0.151515151515152,0.119559838215085,0.190166569811628,336,0.848484848484849,0.809833430188373,0.880440161784915
A6_3_M1_boundary,out_of_domain_medium,396,348,396,0.878787878787879,0.842951993920989,0.907345388658672,30,0.0757575757575758,0,0,NaN,NaN,NaN,18,0.0454545454545455,0.028942794303438,0.0707003466009692,378,0.954545454545455,0.929299653399031,0.971057205696562
A6_3_M1_boundary,out_of_domain_far,396,288,396,0.727272727272727,0.681381336366207,0.76879709318159,6,0.0151515151515152,0,0,NaN,NaN,NaN,102,0.257575757575758,0.216978587935041,0.302831087213976,294,0.742424242424242,0.697168912786024,0.783021412064959
A6_3_M2_profile,in_domain_interior,84,0,0,NaN,NaN,NaN,0,NaN,10,84,0.119047619047619,0.0659654924759903,0.205449157744703,14,0.166666666666667,0.101957421489707,0.260530397453399,70,0.833333333333333,0.739469602546601,0.898042578510293
A6_3_M2_profile,out_of_domain_near,396,348,396,0.878787878787879,0.842951993920989,0.907345388658672,18,0.0454545454545455,0,0,NaN,NaN,NaN,30,0.0757575757575758,0.0535787295280332,0.106088201982747,366,0.924242424242424,0.893911798017253,0.946421270471967
A6_3_M2_profile,out_of_domain_medium,396,342,396,0.863636363636364,0.826324673655501,0.893960813620974,18,0.0454545454545455,0,0,NaN,NaN,NaN,36,0.0909090909090909,0.0663885438250849,0.123290282988882,360,0.909090909090909,0.876709717011118,0.933611456174915
A6_3_M2_profile,out_of_domain_far,396,336,396,0.848484848484849,0.809833430188373,0.880440161784915,6,0.0151515151515152,0,0,NaN,NaN,NaN,54,0.136363636363636,0.106039186379026,0.173675326344499,342,0.863636363636364,0.826324673655501,0.893960813620974
A6_3_M3_joint_diagnostic,in_domain_interior,84,0,0,NaN,NaN,NaN,0,NaN,0,84,0,0,0.0437317284146599,24,0.285714285714286,0.200150341216128,0.390020399533012,60,0.714285714285714,0.609979600466988,0.799849658783872
A6_3_M3_joint_diagnostic,out_of_domain_near,396,24,396,0.0606060606060606,0.0410619629408562,0.0885930732667374,18,0.0454545454545455,0,0,NaN,NaN,NaN,354,0.893939393939394,0.859737143498881,0.920572134383966,42,0.106060606060606,0.0794278656160341,0.140262856501119
A6_3_M3_joint_diagnostic,out_of_domain_medium,396,12,396,0.0303030303030303,0.0174180304910249,0.0522132151101958,18,0.0454545454545455,0,0,NaN,NaN,NaN,366,0.924242424242424,0.893911798017253,0.946421270471967,30,0.0757575757575758,0.0535787295280332,0.106088201982747
A6_3_M3_joint_diagnostic,out_of_domain_far,396,0,396,0,0,0.00960745499484784,6,0.0151515151515152,0,0,NaN,NaN,NaN,390,0.984848484848485,0.967342741953658,0.993037907748308,6,0.0151515151515152,0.00696209225169247,0.0326572580463418
