case_id,expected_output_path,attempt_count,retry_count,final_status,runtime_s,error_identifier,error_message,checksum_valid,scientific_hash,source_tree_hash
final_s01_G001_in_001,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_in_001.mat,1,0,completed,3.36919,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
final_s01_G001_in_002,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_in_002.mat,1,0,completed,0.359167,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
final_s01_G001_in_003,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_in_003.mat,1,0,completed,0.346587,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
final_s01_G001_in_004,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_in_004.mat,1,0,completed,0.31919,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
final_s01_G001_main_length_scale_near_lower_01,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_main_length_scale_near_lower_01.mat,1,0,completed,0.998965,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
final_s01_G001_main_length_scale_near_lower_02,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_main_length_scale_near_lower_02.mat,1,0,completed,0.863618,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
final_s01_G001_main_length_scale_near_upper_01,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_main_length_scale_near_upper_01.mat,1,0,completed,2.059948,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
final_s01_G001_main_length_scale_near_upper_02,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_main_length_scale_near_upper_02.mat,1,0,completed,2.047461,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
final_s01_G001_main_length_scale_medium_lower_01,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_main_length_scale_medium_lower_01.mat,1,0,completed,1.199452,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
final_s01_G001_main_length_scale_medium_lower_02,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_main_length_scale_medium_lower_02.mat,1,0,completed,1.041101,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
final_s01_G001_main_length_scale_medium_upper_01,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_main_length_scale_medium_upper_01.mat,1,0,completed,2.401009,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
final_s01_G001_main_length_scale_medium_upper_02,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_main_length_scale_medium_upper_02.mat,1,0,completed,2.464993,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
final_s01_G001_main_length_scale_far_lower_01,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_main_length_scale_far_lower_01.mat,1,0,completed,3.218978,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
final_s01_G001_main_length_scale_far_lower_02,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_main_length_scale_far_lower_02.mat,1,0,completed,3.230487,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
final_s01_G001_main_length_scale_far_upper_01,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_main_length_scale_far_upper_01.mat,1,0,completed,2.457554,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
final_s01_G001_main_length_scale_far_upper_02,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_main_length_scale_far_upper_02.mat,1,0,completed,4.040627,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
final_s01_G001_source_impedance_ohm_near_lower_01,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_source_impedance_ohm_near_lower_01.mat,1,0,completed,0.274823,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
final_s01_G001_source_impedance_ohm_near_lower_02,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_source_impedance_ohm_near_lower_02.mat,1,0,completed,0.271487,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
final_s01_G001_source_impedance_ohm_near_upper_01,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_source_impedance_ohm_near_upper_01.mat,1,0,completed,0.289158,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
final_s01_G001_source_impedance_ohm_near_upper_02,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_source_impedance_ohm_near_upper_02.mat,1,0,completed,0.286559,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
final_s01_G001_source_impedance_ohm_medium_lower_01,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_source_impedance_ohm_medium_lower_01.mat,1,0,completed,0.269977,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
final_s01_G001_source_impedance_ohm_medium_lower_02,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_source_impedance_ohm_medium_lower_02.mat,1,0,completed,0.272334,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
final_s01_G001_source_impedance_ohm_medium_upper_01,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_source_impedance_ohm_medium_upper_01.mat,1,0,completed,0.28598,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
final_s01_G001_source_impedance_ohm_medium_upper_02,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_source_impedance_ohm_medium_upper_02.mat,1,0,completed,0.283641,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
final_s01_G001_source_impedance_ohm_far_lower_01,results/data/stage4a6_3/runs/final_9584b02a950b32f1/shards/final_s01_G001_source_impedance_ohm_far_lower_01.mat,1,0,completed,0.277251,,,1,9584b02a950b32f14cde9bc240e6db4714ea9c703fa8b5a8013ee45135d4e98a,93df76f79aff0be8961a032c99cd4d4ea9bde217de56c9341bedcf49e045d564
