method_id,category,outlier_dimension,outlier_severity,outlier_direction,sample_count,ood_out_numerator,ood_denominator,ood_recall,ood_ci_low,ood_ci_high,ood_false_accept_numerator,ood_false_accept_rate,ood_false_accept_ci_low,ood_false_accept_ci_high,in_domain_false_alarm_numerator,in_domain_denominator,in_domain_false_alarm_rate,in_domain_ci_low,in_domain_ci_high,indeterminate_numerator,indeterminate_rate,indeterminate_ci_low,indeterminate_ci_high,decision_coverage_numerator,decision_coverage,coverage_ci_low,coverage_ci_high
A6_3_M0_topology_only,in_domain_interior,,,,84,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,84,0,0,0.0437317284146599,84,1,0.95626827158534,1,0,0,0,0.0437317284146599
A6_3_M0_topology_only,out_of_domain_near,main_length_scale,near,lower,42,0,42,0,0,0.0837987908657039,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,42,1,0.916201209134296,1,0,0,0,0.0837987908657039
A6_3_M0_topology_only,out_of_domain_near,main_length_scale,near,upper,42,0,42,0,0,0.0837987908657039,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,42,1,0.916201209134296,1,0,0,0,0.0837987908657039
A6_3_M0_topology_only,out_of_domain_medium,main_length_scale,medium,lower,42,0,42,0,0,0.0837987908657039,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,42,1,0.916201209134296,1,0,0,0,0.0837987908657039
A6_3_M0_topology_only,out_of_domain_medium,main_length_scale,medium,upper,42,0,42,0,0,0.0837987908657039,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,42,1,0.916201209134296,1,0,0,0,0.0837987908657039
A6_3_M0_topology_only,out_of_domain_far,main_length_scale,far,lower,42,0,42,0,0,0.0837987908657039,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,42,1,0.916201209134296,1,0,0,0,0.0837987908657039
A6_3_M0_topology_only,out_of_domain_far,main_length_scale,far,upper,42,0,42,0,0,0.0837987908657039,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,42,1,0.916201209134296,1,0,0,0,0.0837987908657039
A6_3_M0_topology_only,out_of_domain_near,source_impedance_ohm,near,lower,42,0,42,0,0,0.0837987908657039,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,42,1,0.916201209134296,1,0,0,0,0.0837987908657039
A6_3_M0_topology_only,out_of_domain_near,source_impedance_ohm,near,upper,42,0,42,0,0,0.0837987908657039,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,42,1,0.916201209134296,1,0,0,0,0.0837987908657039
A6_3_M0_topology_only,out_of_domain_medium,source_impedance_ohm,medium,lower,42,0,42,0,0,0.0837987908657039,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,42,1,0.916201209134296,1,0,0,0,0.0837987908657039
A6_3_M0_topology_only,out_of_domain_medium,source_impedance_ohm,medium,upper,42,0,42,0,0,0.0837987908657039,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,42,1,0.916201209134296,1,0,0,0,0.0837987908657039
A6_3_M0_topology_only,out_of_domain_far,source_impedance_ohm,far,lower,42,0,42,0,0,0.0837987908657039,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,42,1,0.916201209134296,1,0,0,0,0.0837987908657039
A6_3_M0_topology_only,out_of_domain_far,source_impedance_ohm,far,upper,42,0,42,0,0,0.0837987908657039,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,42,1,0.916201209134296,1,0,0,0,0.0837987908657039
A6_3_M0_topology_only,out_of_domain_near,receiver_impedance_ohm,near,lower,42,0,42,0,0,0.0837987908657039,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,42,1,0.916201209134296,1,0,0,0,0.0837987908657039
A6_3_M0_topology_only,out_of_domain_near,receiver_impedance_ohm,near,upper,42,0,42,0,0,0.0837987908657039,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,42,1,0.916201209134296,1,0,0,0,0.0837987908657039
A6_3_M0_topology_only,out_of_domain_medium,receiver_impedance_ohm,medium,lower,42,0,42,0,0,0.0837987908657039,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,42,1,0.916201209134296,1,0,0,0,0.0837987908657039
A6_3_M0_topology_only,out_of_domain_medium,receiver_impedance_ohm,medium,upper,42,0,42,0,0,0.0837987908657039,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,42,1,0.916201209134296,1,0,0,0,0.0837987908657039
A6_3_M0_topology_only,out_of_domain_far,receiver_impedance_ohm,far,lower,42,0,42,0,0,0.0837987908657039,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,42,1,0.916201209134296,1,0,0,0,0.0837987908657039
A6_3_M0_topology_only,out_of_domain_far,receiver_impedance_ohm,far,upper,42,0,42,0,0,0.0837987908657039,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,42,1,0.916201209134296,1,0,0,0,0.0837987908657039
A6_3_M0_topology_only,out_of_domain_near,branch_length_scale,near,lower,36,0,36,0,0,0.0964186285944637,0,0,0,0.0964186285944637,0,0,NaN,NaN,NaN,36,1,0.903581371405536,1,0,0,0,0.0964186285944637
A6_3_M0_topology_only,out_of_domain_near,branch_length_scale,near,upper,36,0,36,0,0,0.0964186285944637,0,0,0,0.0964186285944637,0,0,NaN,NaN,NaN,36,1,0.903581371405536,1,0,0,0,0.0964186285944637
A6_3_M0_topology_only,out_of_domain_medium,branch_length_scale,medium,lower,36,0,36,0,0,0.0964186285944637,0,0,0,0.0964186285944637,0,0,NaN,NaN,NaN,36,1,0.903581371405536,1,0,0,0,0.0964186285944637
A6_3_M0_topology_only,out_of_domain_medium,branch_length_scale,medium,upper,36,0,36,0,0,0.0964186285944637,0,0,0,0.0964186285944637,0,0,NaN,NaN,NaN,36,1,0.903581371405536,1,0,0,0,0.0964186285944637
A6_3_M0_topology_only,out_of_domain_far,branch_length_scale,far,lower,36,0,36,0,0,0.0964186285944637,0,0,0,0.0964186285944637,0,0,NaN,NaN,NaN,36,1,0.903581371405536,1,0,0,0,0.0964186285944637
A6_3_M0_topology_only,out_of_domain_far,branch_length_scale,far,upper,36,0,36,0,0,0.0964186285944637,0,0,0,0.0964186285944637,0,0,NaN,NaN,NaN,36,1,0.903581371405536,1,0,0,0,0.0964186285944637
A6_3_M0_topology_only,out_of_domain_near,branch_load_scale,near,lower,36,0,36,0,0,0.0964186285944637,0,0,0,0.0964186285944637,0,0,NaN,NaN,NaN,36,1,0.903581371405536,1,0,0,0,0.0964186285944637
A6_3_M0_topology_only,out_of_domain_near,branch_load_scale,near,upper,36,0,36,0,0,0.0964186285944637,0,0,0,0.0964186285944637,0,0,NaN,NaN,NaN,36,1,0.903581371405536,1,0,0,0,0.0964186285944637
A6_3_M0_topology_only,out_of_domain_medium,branch_load_scale,medium,lower,36,0,36,0,0,0.0964186285944637,0,0,0,0.0964186285944637,0,0,NaN,NaN,NaN,36,1,0.903581371405536,1,0,0,0,0.0964186285944637
A6_3_M0_topology_only,out_of_domain_medium,branch_load_scale,medium,upper,36,0,36,0,0,0.0964186285944637,0,0,0,0.0964186285944637,0,0,NaN,NaN,NaN,36,1,0.903581371405536,1,0,0,0,0.0964186285944637
A6_3_M0_topology_only,out_of_domain_far,branch_load_scale,far,lower,36,0,36,0,0,0.0964186285944637,0,0,0,0.0964186285944637,0,0,NaN,NaN,NaN,36,1,0.903581371405536,1,0,0,0,0.0964186285944637
A6_3_M0_topology_only,out_of_domain_far,branch_load_scale,far,upper,36,0,36,0,0,0.0964186285944637,0,0,0,0.0964186285944637,0,0,NaN,NaN,NaN,36,1,0.903581371405536,1,0,0,0,0.0964186285944637
A6_3_M1_boundary,in_domain_interior,,,,84,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,10,84,0.119047619047619,0.0659654924759903,0.205449157744703,14,0.166666666666667,0.101957421489707,0.260530397453399,70,0.833333333333333,0.739469602546601,0.898042578510293
A6_3_M1_boundary,out_of_domain_near,main_length_scale,near,lower,42,42,42,1,0.916201209134296,1,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,0,0,0,0.0837987908657039,42,1,0.916201209134296,1
A6_3_M1_boundary,out_of_domain_near,main_length_scale,near,upper,42,42,42,1,0.916201209134296,1,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,0,0,0,0.0837987908657039,42,1,0.916201209134296,1
A6_3_M1_boundary,out_of_domain_medium,main_length_scale,medium,lower,42,42,42,1,0.916201209134296,1,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,0,0,0,0.0837987908657039,42,1,0.916201209134296,1
A6_3_M1_boundary,out_of_domain_medium,main_length_scale,medium,upper,42,42,42,1,0.916201209134296,1,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,0,0,0,0.0837987908657039,42,1,0.916201209134296,1
A6_3_M1_boundary,out_of_domain_far,main_length_scale,far,lower,42,12,42,0.285714285714286,0.171670246260491,0.435672092681954,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,30,0.714285714285714,0.564327907318046,0.828329753739509,12,0.285714285714286,0.171670246260491,0.435672092681954
A6_3_M1_boundary,out_of_domain_far,main_length_scale,far,upper,42,0,42,0,0,0.0837987908657039,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,42,1,0.916201209134296,1,0,0,0,0.0837987908657039
A6_3_M1_boundary,out_of_domain_near,source_impedance_ohm,near,lower,42,6,42,0.142857142857143,0.0671596701596265,0.278410894744448,6,0.142857142857143,0.0671596701596265,0.278410894744448,0,0,NaN,NaN,NaN,30,0.714285714285714,0.564327907318046,0.828329753739509,12,0.285714285714286,0.171670246260491,0.435672092681954
A6_3_M1_boundary,out_of_domain_near,source_impedance_ohm,near,upper,42,0,42,0,0,0.0837987908657039,30,0.714285714285714,0.564327907318046,0.828329753739509,0,0,NaN,NaN,NaN,12,0.285714285714286,0.171670246260491,0.435672092681954,30,0.714285714285714,0.564327907318046,0.828329753739509
A6_3_M1_boundary,out_of_domain_medium,source_impedance_ohm,medium,lower,42,18,42,0.428571428571429,0.291176511761861,0.577937601218954,12,0.285714285714286,0.171670246260491,0.435672092681954,0,0,NaN,NaN,NaN,12,0.285714285714286,0.171670246260491,0.435672092681954,30,0.714285714285714,0.564327907318046,0.828329753739509
A6_3_M1_boundary,out_of_domain_medium,source_impedance_ohm,medium,upper,42,18,42,0.428571428571429,0.291176511761861,0.577937601218954,18,0.428571428571429,0.291176511761861,0.577937601218954,0,0,NaN,NaN,NaN,6,0.142857142857143,0.0671596701596265,0.278410894744448,36,0.857142857142857,0.721589105255552,0.932840329840373
A6_3_M1_boundary,out_of_domain_far,source_impedance_ohm,far,lower,42,18,42,0.428571428571429,0.291176511761861,0.577937601218954,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,24,0.571428571428571,0.422062398781046,0.708823488238139,18,0.428571428571429,0.291176511761861,0.577937601218954
A6_3_M1_boundary,out_of_domain_far,source_impedance_ohm,far,upper,42,30,42,0.714285714285714,0.564327907318046,0.828329753739509,6,0.142857142857143,0.0671596701596265,0.278410894744448,0,0,NaN,NaN,NaN,6,0.142857142857143,0.0671596701596265,0.278410894744448,36,0.857142857142857,0.721589105255552,0.932840329840373
A6_3_M1_boundary,out_of_domain_near,receiver_impedance_ohm,near,lower,42,30,42,0.714285714285714,0.564327907318046,0.828329753739509,6,0.142857142857143,0.0671596701596265,0.278410894744448,0,0,NaN,NaN,NaN,6,0.142857142857143,0.0671596701596265,0.278410894744448,36,0.857142857142857,0.721589105255552,0.932840329840373
A6_3_M1_boundary,out_of_domain_near,receiver_impedance_ohm,near,upper,42,18,42,0.428571428571429,0.291176511761861,0.577937601218954,12,0.285714285714286,0.171670246260491,0.435672092681954,0,0,NaN,NaN,NaN,12,0.285714285714286,0.171670246260491,0.435672092681954,30,0.714285714285714,0.564327907318046,0.828329753739509
A6_3_M1_boundary,out_of_domain_medium,receiver_impedance_ohm,medium,lower,42,42,42,1,0.916201209134296,1,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,0,0,0,0.0837987908657039,42,1,0.916201209134296,1
A6_3_M1_boundary,out_of_domain_medium,receiver_impedance_ohm,medium,upper,42,42,42,1,0.916201209134296,1,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,0,0,0,0.0837987908657039,42,1,0.916201209134296,1
A6_3_M1_boundary,out_of_domain_far,receiver_impedance_ohm,far,lower,42,42,42,1,0.916201209134296,1,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,0,0,0,0.0837987908657039,42,1,0.916201209134296,1
A6_3_M1_boundary,out_of_domain_far,receiver_impedance_ohm,far,upper,42,42,42,1,0.916201209134296,1,0,0,0,0.0837987908657039,0,0,NaN,NaN,NaN,0,0,0,0.0837987908657039,42,1,0.916201209134296,1
A6_3_M1_boundary,out_of_domain_near,branch_length_scale,near,lower,36,36,36,1,0.903581371405536,1,0,0,0,0.0964186285944637,0,0,NaN,NaN,NaN,0,0,0,0.0964186285944637,36,1,0.903581371405536,1
A6_3_M1_boundary,out_of_domain_near,branch_length_scale,near,upper,36,36,36,1,0.903581371405536,1,0,0,0,0.0964186285944637,0,0,NaN,NaN,NaN,0,0,0,0.0964186285944637,36,1,0.903581371405536,1
A6_3_M1_boundary,out_of_domain_medium,branch_length_scale,medium,lower,36,36,36,1,0.903581371405536,1,0,0,0,0.0964186285944637,0,0,NaN,NaN,NaN,0,0,0,0.0964186285944637,36,1,0.903581371405536,1
A6_3_M1_boundary,out_of_domain_medium,branch_length_scale,medium,upper,36,36,36,1,0.903581371405536,1,0,0,0,0.0964186285944637,0,0,NaN,NaN,NaN,0,0,0,0.0964186285944637,36,1,0.903581371405536,1
A6_3_M1_boundary,out_of_domain_far,branch_length_scale,far,lower,36,36,36,1,0.903581371405536,1,0,0,0,0.0964186285944637,0,0,NaN,NaN,NaN,0,0,0,0.0964186285944637,36,1,0.903581371405536,1
