case_id,expected_output_path,attempt_count,retry_count,final_status,runtime_s,error_identifier,error_message,checksum_valid,scientific_hash,source_tree_hash
dev_G001_interior,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G001_interior.mat,1,0,completed,1.22123,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G001_ood_near,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G001_ood_near.mat,1,0,completed,0.775941,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G001_ood_medium,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G001_ood_medium.mat,1,0,completed,1.365586,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G001_ood_far,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G001_ood_far.mat,1,0,completed,1.798326,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G002_interior,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G002_interior.mat,1,0,completed,0.888675,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G002_ood_near,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G002_ood_near.mat,1,0,completed,0.866982,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G002_ood_medium,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G002_ood_medium.mat,1,0,completed,0.781954,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G002_ood_far,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G002_ood_far.mat,1,0,completed,1.835601,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G003_interior,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G003_interior.mat,1,0,completed,0.854037,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G003_ood_near,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G003_ood_near.mat,1,0,completed,0.937317,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G003_ood_medium,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G003_ood_medium.mat,1,0,completed,0.778415,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G003_ood_far,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G003_ood_far.mat,1,0,completed,1.971849,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G004_interior,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G004_interior.mat,1,0,completed,1.07927,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G004_ood_near,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G004_ood_near.mat,1,0,completed,1.032741,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G004_ood_medium,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G004_ood_medium.mat,1,0,completed,0.826669,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G004_ood_far,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G004_ood_far.mat,1,0,completed,2.022599,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G005_interior,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G005_interior.mat,1,0,completed,0.830018,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G005_ood_near,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G005_ood_near.mat,1,0,completed,0.845941,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G005_ood_medium,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G005_ood_medium.mat,1,0,completed,0.754162,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G005_ood_far,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G005_ood_far.mat,1,0,completed,1.813716,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G006_interior,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G006_interior.mat,1,0,completed,1.086255,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G006_ood_near,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G006_ood_near.mat,1,0,completed,0.903289,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G006_ood_medium,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G006_ood_medium.mat,1,0,completed,0.799163,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G006_ood_far,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G006_ood_far.mat,1,0,completed,2.076031,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G007_interior,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G007_interior.mat,1,0,completed,1.065451,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G007_ood_near,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G007_ood_near.mat,1,0,completed,1.02513,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G007_ood_medium,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G007_ood_medium.mat,1,0,completed,0.801604,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
dev_G007_ood_far,results/data/stage4a6_3/runs/pilot_ffd55beb5cedc854/shards/dev_G007_ood_far.mat,1,0,completed,1.977633,,,1,ffd55beb5cedc854cdaea6890c9ef09579675bc24ad90ce28663eeae21fa6c11,39f41ff3f5bf272fa281c580663055b2581201a26da711242d133880e1f445da
