sample_id,split,replicate_id,seed,truth_topology_id,canonical_key,active_parameter_names,active_parameter_count,has_branch,category,outlier_dimension,outlier_severity,outlier_direction,parameter_domain_truth,grid_id,frequency_count,source_tag
dev_G001_interior,development,development,20263701,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0","main_length_scale,source_impedance_ohm,receiver_impedance_ohm",3,0,in_domain_interior,,,,in_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G001_ood_near,development,development,20263701,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0","main_length_scale,source_impedance_ohm,receiver_impedance_ohm",3,0,out_of_domain_near,main_length_scale,near,lower,out_of_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G001_ood_medium,development,development,20263701,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0","main_length_scale,source_impedance_ohm,receiver_impedance_ohm",3,0,out_of_domain_medium,main_length_scale,medium,upper,out_of_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G001_ood_far,development,development,20263701,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0","main_length_scale,source_impedance_ohm,receiver_impedance_ohm",3,0,out_of_domain_far,main_length_scale,far,upper,out_of_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G002_interior,development,development,20263701,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1","main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",5,1,in_domain_interior,,,,in_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G002_ood_near,development,development,20263701,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1","main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",5,1,out_of_domain_near,main_length_scale,near,lower,out_of_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G002_ood_medium,development,development,20263701,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1","main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",5,1,out_of_domain_medium,main_length_scale,medium,upper,out_of_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G002_ood_far,development,development,20263701,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1","main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",5,1,out_of_domain_far,main_length_scale,far,upper,out_of_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G003_interior,development,development,20263701,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0","main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",5,1,in_domain_interior,,,,in_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G003_ood_near,development,development,20263701,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0","main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",5,1,out_of_domain_near,main_length_scale,near,lower,out_of_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G003_ood_medium,development,development,20263701,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0","main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",5,1,out_of_domain_medium,main_length_scale,medium,upper,out_of_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G003_ood_far,development,development,20263701,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0","main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",5,1,out_of_domain_far,main_length_scale,far,upper,out_of_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G004_interior,development,development,20263701,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1","main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",5,1,in_domain_interior,,,,in_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G004_ood_near,development,development,20263701,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1","main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",5,1,out_of_domain_near,main_length_scale,near,lower,out_of_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G004_ood_medium,development,development,20263701,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1","main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",5,1,out_of_domain_medium,main_length_scale,medium,upper,out_of_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G004_ood_far,development,development,20263701,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1","main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",5,1,out_of_domain_far,main_length_scale,far,upper,out_of_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G005_interior,development,development,20263701,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0","main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",5,1,in_domain_interior,,,,in_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G005_ood_near,development,development,20263701,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0","main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",5,1,out_of_domain_near,main_length_scale,near,lower,out_of_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G005_ood_medium,development,development,20263701,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0","main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",5,1,out_of_domain_medium,main_length_scale,medium,upper,out_of_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G005_ood_far,development,development,20263701,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0","main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",5,1,out_of_domain_far,main_length_scale,far,upper,out_of_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G006_interior,development,development,20263701,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1","main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",5,1,in_domain_interior,,,,in_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G006_ood_near,development,development,20263701,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1","main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",5,1,out_of_domain_near,main_length_scale,near,lower,out_of_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G006_ood_medium,development,development,20263701,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1","main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",5,1,out_of_domain_medium,main_length_scale,medium,upper,out_of_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G006_ood_far,development,development,20263701,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1","main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",5,1,out_of_domain_far,main_length_scale,far,upper,out_of_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G007_interior,development,development,20263701,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0","main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",5,1,in_domain_interior,,,,in_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G007_ood_near,development,development,20263701,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0","main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",5,1,out_of_domain_near,main_length_scale,near,lower,out_of_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G007_ood_medium,development,development,20263701,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0","main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",5,1,out_of_domain_medium,main_length_scale,medium,upper,out_of_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
dev_G007_ood_far,development,development,20263701,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0","main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",5,1,out_of_domain_far,main_length_scale,far,upper,out_of_domain,A_stage4a1_quick61,61,synthetic_demo_prior_not_field_data
