sample_id,split,source_file,method_id,parameter_domain_status,profile_computed,profile_reliable,accepted_member_count,evaluated_member_count,compatibility_hash,calibration_hash
pilot_G001_main_length_scale_near_upper_02,pilot,stage4a6_3_1_final_pilot_G001_main_length_scale_near_upper_02.mat,A6_3_M3_joint_diagnostic,parameter_out_suspected,1,1,1,1,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,63628f4134c27404d0846c5f9baad3bfffb10acab8d63675ac36230f04763283
pilot_G001_receiver_impedance_ohm_near_upper_02,pilot,stage4a6_3_1_final_pilot_G001_receiver_impedance_ohm_near_upper_02.mat,A6_3_M3_joint_diagnostic,parameter_domain_indeterminate,1,1,1,1,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,63628f4134c27404d0846c5f9baad3bfffb10acab8d63675ac36230f04763283
pilot_G001_source_impedance_ohm_near_lower_01,pilot,stage4a6_3_1_final_pilot_G001_source_impedance_ohm_near_lower_01.mat,A6_3_M3_joint_diagnostic,parameter_domain_indeterminate,1,1,1,1,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,63628f4134c27404d0846c5f9baad3bfffb10acab8d63675ac36230f04763283
pilot_G002_branch_length_scale_near_lower_01,pilot,stage4a6_3_1_final_pilot_G002_branch_length_scale_near_lower_01.mat,A6_3_M3_joint_diagnostic,parameter_domain_indeterminate,1,1,2,2,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,63628f4134c27404d0846c5f9baad3bfffb10acab8d63675ac36230f04763283
pilot_G002_branch_length_scale_near_upper_02,pilot,stage4a6_3_1_final_pilot_G002_branch_length_scale_near_upper_02.mat,A6_3_M3_joint_diagnostic,parameter_domain_indeterminate,1,1,2,2,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,63628f4134c27404d0846c5f9baad3bfffb10acab8d63675ac36230f04763283
pilot_G002_branch_load_scale_far_upper_04,pilot,stage4a6_3_1_final_pilot_G002_branch_load_scale_far_upper_04.mat,A6_3_M3_joint_diagnostic,parameter_domain_indeterminate,1,1,2,2,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,63628f4134c27404d0846c5f9baad3bfffb10acab8d63675ac36230f04763283
pilot_G002_branch_load_scale_near_upper_02,pilot,stage4a6_3_1_final_pilot_G002_branch_load_scale_near_upper_02.mat,A6_3_M3_joint_diagnostic,parameter_domain_indeterminate,1,1,2,2,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,63628f4134c27404d0846c5f9baad3bfffb10acab8d63675ac36230f04763283
pilot_G002_in_01,pilot,stage4a6_3_1_final_pilot_G002_in_01.mat,A6_3_M3_joint_diagnostic,parameter_in_domain,1,1,2,2,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,63628f4134c27404d0846c5f9baad3bfffb10acab8d63675ac36230f04763283
pilot_G002_main_length_scale_near_upper_02,pilot,stage4a6_3_1_final_pilot_G002_main_length_scale_near_upper_02.mat,A6_3_M3_joint_diagnostic,parameter_out_suspected,1,1,2,2,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,63628f4134c27404d0846c5f9baad3bfffb10acab8d63675ac36230f04763283
pilot_G002_receiver_impedance_ohm_medium_lower_03,pilot,stage4a6_3_1_final_pilot_G002_receiver_impedance_ohm_medium_lower_03.mat,A6_3_M3_joint_diagnostic,parameter_domain_indeterminate,1,1,2,2,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,63628f4134c27404d0846c5f9baad3bfffb10acab8d63675ac36230f04763283
pilot_G002_receiver_impedance_ohm_near_lower_01,pilot,stage4a6_3_1_final_pilot_G002_receiver_impedance_ohm_near_lower_01.mat,A6_3_M3_joint_diagnostic,parameter_domain_indeterminate,1,1,2,2,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,63628f4134c27404d0846c5f9baad3bfffb10acab8d63675ac36230f04763283
pilot_G002_receiver_impedance_ohm_near_upper_02,pilot,stage4a6_3_1_final_pilot_G002_receiver_impedance_ohm_near_upper_02.mat,A6_3_M3_joint_diagnostic,parameter_domain_indeterminate,1,1,2,2,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,63628f4134c27404d0846c5f9baad3bfffb10acab8d63675ac36230f04763283
pilot_G002_source_impedance_ohm_medium_lower_03,pilot,stage4a6_3_1_final_pilot_G002_source_impedance_ohm_medium_lower_03.mat,A6_3_M3_joint_diagnostic,parameter_domain_indeterminate,1,1,2,2,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,63628f4134c27404d0846c5f9baad3bfffb10acab8d63675ac36230f04763283
pilot_G002_source_impedance_ohm_near_lower_01,pilot,stage4a6_3_1_final_pilot_G002_source_impedance_ohm_near_lower_01.mat,A6_3_M3_joint_diagnostic,parameter_domain_indeterminate,1,1,2,2,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,63628f4134c27404d0846c5f9baad3bfffb10acab8d63675ac36230f04763283
pilot_G002_source_impedance_ohm_near_upper_02,pilot,stage4a6_3_1_final_pilot_G002_source_impedance_ohm_near_upper_02.mat,A6_3_M3_joint_diagnostic,parameter_in_domain,1,1,2,2,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,63628f4134c27404d0846c5f9baad3bfffb10acab8d63675ac36230f04763283
pilot_G003_branch_length_scale_near_upper_02,pilot,stage4a6_3_1_final_pilot_G003_branch_length_scale_near_upper_02.mat,A6_3_M3_joint_diagnostic,parameter_domain_indeterminate,1,1,1,1,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,63628f4134c27404d0846c5f9baad3bfffb10acab8d63675ac36230f04763283
pilot_G003_branch_load_scale_far_upper_04,pilot,stage4a6_3_1_final_pilot_G003_branch_load_scale_far_upper_04.mat,A6_3_M3_joint_diagnostic,parameter_domain_indeterminate,1,1,1,1,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,63628f4134c27404d0846c5f9baad3bfffb10acab8d63675ac36230f04763283
