sample_id,method_id,decision,topology_status,topology_set,accepted_topology_set,decision_reason,best_topology_id,accepted_member_count,evaluated_member_count,reliable_member_count,unreliable_member_count,member_profile_reliable,member_domain_statuses,class_aggregation_reason,parameter_domain_status,parameter_decision_reliable,best_distance,second_distance,margin,rho,compatibility_hash,topology_calibration_hash,parameter_calibration_hash
r_pilot_G001_interior_01,Stage4A5_1_M3_frozen_adapter_R1,reject_subband_mismatch,reject_subband_mismatch,"","",one or more calibrated subband residual statistics fail,G001,0,0,0,0,0,"",,parameter_not_evaluated,0,0.258570623030979,0.270328297097997,0.0117576740670174,0.956505944090227,55f691362f90dee8dc3a7d00b73fd6ec79b4ccfb93e52b785f580e0d83c1f0ae,4d1e6054e8ed31b5fe6f8f21efd3fbac73e154450346d5a1af8cbe057a44b3fb,ed371b94bcae331c1fe84abdc22c7ebda20749dc59d75964016e83209b03cbaf
r_pilot_G001_boundary_01,Stage4A5_1_M3_frozen_adapter_R1,unique_topology,unique_topology,"G001","G001",singleton baseline class passed all frozen rules,G001,1,1,1,0,1,"parameter_in_domain",all accepted members support in-domain,parameter_in_domain,0,0.0141564310585582,0.174864243598705,0.160707812540147,0.0809566939880786,55f691362f90dee8dc3a7d00b73fd6ec79b4ccfb93e52b785f580e0d83c1f0ae,4d1e6054e8ed31b5fe6f8f21efd3fbac73e154450346d5a1af8cbe057a44b3fb,ed371b94bcae331c1fe84abdc22c7ebda20749dc59d75964016e83209b03cbaf
r_pilot_G001_main_length_scale_near_lower_01,Stage4A5_1_M3_frozen_adapter_R1,unique_topology,unique_topology,"G001","G001",singleton baseline class passed all frozen rules,G001,1,1,1,0,1,"parameter_out_suspected",all accepted members support out-of-domain,parameter_out_suspected,0,0.118350040932298,0.215632207931934,0.0972821669996361,0.548851407991459,55f691362f90dee8dc3a7d00b73fd6ec79b4ccfb93e52b785f580e0d83c1f0ae,4d1e6054e8ed31b5fe6f8f21efd3fbac73e154450346d5a1af8cbe057a44b3fb,ed371b94bcae331c1fe84abdc22c7ebda20749dc59d75964016e83209b03cbaf
r_pilot_G001_source_impedance_ohm_medium_upper_02,Stage4A5_1_M3_frozen_adapter_R1,unique_topology,unique_topology,"G001","G001",singleton baseline class passed all frozen rules,G001,1,1,1,0,0,"parameter_domain_indeterminate",member evidence is indeterminate,parameter_domain_indeterminate,0,0.247203494367781,0.267122793343335,0.0199192989755536,0.925430178656163,55f691362f90dee8dc3a7d00b73fd6ec79b4ccfb93e52b785f580e0d83c1f0ae,4d1e6054e8ed31b5fe6f8f21efd3fbac73e154450346d5a1af8cbe057a44b3fb,ed371b94bcae331c1fe84abdc22c7ebda20749dc59d75964016e83209b03cbaf
r_pilot_G001_receiver_impedance_ohm_far_lower_03,Stage4A5_1_M3_frozen_adapter_R1,reject_subband_mismatch,reject_subband_mismatch,"","",one or more calibrated subband residual statistics fail,G002,0,0,0,0,0,"",,parameter_not_evaluated,0,0.218479062274141,0.223836691301977,0.00535762902783615,0.976064562973797,55f691362f90dee8dc3a7d00b73fd6ec79b4ccfb93e52b785f580e0d83c1f0ae,4d1e6054e8ed31b5fe6f8f21efd3fbac73e154450346d5a1af8cbe057a44b3fb,ed371b94bcae331c1fe84abdc22c7ebda20749dc59d75964016e83209b03cbaf
r_pilot_G002_interior_01,Stage4A5_1_M3_frozen_adapter_R1,equivalence_class,equivalence_class,"G002,G005","G002,G005",best observation class has multiple members,G005,2,2,2,0,1,"parameter_in_domain,parameter_in_domain",all accepted members support in-domain,parameter_in_domain,0,0.0573404905028443,0.110641034711719,0.0533005442088744,0.518256997973038,55f691362f90dee8dc3a7d00b73fd6ec79b4ccfb93e52b785f580e0d83c1f0ae,4d1e6054e8ed31b5fe6f8f21efd3fbac73e154450346d5a1af8cbe057a44b3fb,ed371b94bcae331c1fe84abdc22c7ebda20749dc59d75964016e83209b03cbaf
r_pilot_G002_boundary_01,Stage4A5_1_M3_frozen_adapter_R1,equivalence_class,equivalence_class,"G002,G005","G002,G005",best observation class has multiple members,G005,2,2,0,2,0,"parameter_domain_indeterminate,parameter_domain_indeterminate",at least one accepted member has unreliable profile,parameter_domain_indeterminate,0,0.0194181089910218,0.110087687788218,0.0906695787971966,0.17638765406901,55f691362f90dee8dc3a7d00b73fd6ec79b4ccfb93e52b785f580e0d83c1f0ae,4d1e6054e8ed31b5fe6f8f21efd3fbac73e154450346d5a1af8cbe057a44b3fb,ed371b94bcae331c1fe84abdc22c7ebda20749dc59d75964016e83209b03cbaf
r_pilot_G002_branch_length_scale_near_upper_01,Stage4A5_1_M3_frozen_adapter_R1,reject_neighborhood_mismatch,reject_neighborhood_mismatch,"","",top-K neighborhood score or margin fails,G002,0,0,0,0,0,"",,parameter_not_evaluated,0,0.194267977957066,0.199130730328875,0.00486275237180933,0.975580100747113,55f691362f90dee8dc3a7d00b73fd6ec79b4ccfb93e52b785f580e0d83c1f0ae,4d1e6054e8ed31b5fe6f8f21efd3fbac73e154450346d5a1af8cbe057a44b3fb,ed371b94bcae331c1fe84abdc22c7ebda20749dc59d75964016e83209b03cbaf
r_pilot_G002_branch_load_scale_medium_lower_02,Stage4A5_1_M3_frozen_adapter_R1,equivalence_class,equivalence_class,"G002,G005","G002,G005",best observation class has multiple members,G002,2,2,2,0,0,"parameter_domain_indeterminate,parameter_domain_indeterminate",member evidence is indeterminate,parameter_domain_indeterminate,0,0.183153874871535,0.194415047658833,0.0112611727872982,0.942076640034563,55f691362f90dee8dc3a7d00b73fd6ec79b4ccfb93e52b785f580e0d83c1f0ae,4d1e6054e8ed31b5fe6f8f21efd3fbac73e154450346d5a1af8cbe057a44b3fb,ed371b94bcae331c1fe84abdc22c7ebda20749dc59d75964016e83209b03cbaf
r_pilot_G002_source_impedance_ohm_far_upper_03,Stage4A5_1_M3_frozen_adapter_R1,equivalence_class,equivalence_class,"G002,G005","G002,G005",best observation class has multiple members,G005,2,2,1,1,0,"parameter_domain_indeterminate,parameter_in_domain",at least one accepted member has unreliable profile,parameter_domain_indeterminate,0,0.112613626181924,0.145017574819302,0.032403948637378,0.776551575362288,55f691362f90dee8dc3a7d00b73fd6ec79b4ccfb93e52b785f580e0d83c1f0ae,4d1e6054e8ed31b5fe6f8f21efd3fbac73e154450346d5a1af8cbe057a44b3fb,ed371b94bcae331c1fe84abdc22c7ebda20749dc59d75964016e83209b03cbaf
