sample_id,split,seed,truth_topology_id,canonical_key,category,outlier_dimension,outlier_severity,outlier_direction,physical_scenario_id,parameter_vector_hash,noiseless_cfr_hash,observation_hash,truth_equivalence_set,truth_equivalence_member_count,truth_unique_under_observation,source_tag
r_calibration_G001_interior_01,calibration,20308536,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",in_domain_interior,,,,calibration_r_calibration_G001_interior_01,f434ef928876d1fd3ee94f9c037e0b0f0f9179f0b23cf3c2f67844529acc8d32,2b066b0e341eb5115f8206a5abe369e8f61f9f8aa030058c336d8a20a4690553,2b066b0e341eb5115f8206a5abe369e8f61f9f8aa030058c336d8a20a4690553,"G001",1,1,synthetic_demo_prior_not_field_data
r_calibration_G001_interior_02,calibration,20308566,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",in_domain_interior,,,,calibration_r_calibration_G001_interior_02,41847f87ad0aad09b7badd4c4d96ebebb8afd9685cc511871135fd806e32bc5b,45c3feda5c88728fc626c6fb9a158d981d36a9af1fb989e38cd5709d6cef22a2,45c3feda5c88728fc626c6fb9a158d981d36a9af1fb989e38cd5709d6cef22a2,"G001",1,1,synthetic_demo_prior_not_field_data
r_calibration_G002_interior_01,calibration,20308554,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",in_domain_interior,,,,calibration_r_calibration_G002_interior_01,90f40652dcf96952bba878e24455a5b46806dafc952d44e76be47f896d81fa23,fdca6aaf79c5d89fa9be86d5ab661f43d40fea594f1fb3138710b1a918cb1803,fdca6aaf79c5d89fa9be86d5ab661f43d40fea594f1fb3138710b1a918cb1803,"G002,G005",2,0,synthetic_demo_prior_not_field_data
r_calibration_G002_interior_02,calibration,20308584,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",in_domain_interior,,,,calibration_r_calibration_G002_interior_02,52405a9d5e5932472d971215cb3089b6ce15dcabd37e315e7a4ed284167b62af,b1c1acfbb0a8160d68a8a3d06911d79f49693bcf65a16cc0d40e94fb1ebb27d3,b1c1acfbb0a8160d68a8a3d06911d79f49693bcf65a16cc0d40e94fb1ebb27d3,"G002,G005",2,0,synthetic_demo_prior_not_field_data
r_calibration_G003_interior_01,calibration,20308572,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",in_domain_interior,,,,calibration_r_calibration_G003_interior_01,93956fd5aa4d19625101d5edf3609a38a28d44e356367bdb2a34d05c58ae4928,944891288cc4ba2d110bd17ab4bab28e81bcd1e1bacf7e8cc34b9e98f3f2ad6f,944891288cc4ba2d110bd17ab4bab28e81bcd1e1bacf7e8cc34b9e98f3f2ad6f,"G003",1,1,synthetic_demo_prior_not_field_data
r_calibration_G003_interior_02,calibration,20308602,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",in_domain_interior,,,,calibration_r_calibration_G003_interior_02,0ef3c36f68dbeb78e1b966f3d65adbbb7fedd07dcdab2e4f09a1cf64e7f01fa4,b9a86b243aa444630098b5145f987ac8ce1f111ddaf2eb34c4b99cecd0497331,b9a86b243aa444630098b5145f987ac8ce1f111ddaf2eb34c4b99cecd0497331,"G003",1,1,synthetic_demo_prior_not_field_data
r_calibration_G004_interior_01,calibration,20308590,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",in_domain_interior,,,,calibration_r_calibration_G004_interior_01,e90b29903adc3ecb37c1ecfd6fd34df396eabfa418b8927ecf9377c60eb4bfd7,4ce58958babe2e4e283367bf75a3c6b10196da30e263134706f23615780786d1,4ce58958babe2e4e283367bf75a3c6b10196da30e263134706f23615780786d1,"G004,G007",2,0,synthetic_demo_prior_not_field_data
r_calibration_G004_interior_02,calibration,20308620,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",in_domain_interior,,,,calibration_r_calibration_G004_interior_02,ff5fed3987e6f5bd4786aa08a1edbba4862c1a32bf25ecb8741a5af59de830c0,ce596b518bcaaee2c9a22f4773cd6fad3f0cd87257729dfd833b5c9dea7522b1,ce596b518bcaaee2c9a22f4773cd6fad3f0cd87257729dfd833b5c9dea7522b1,"G004,G007",2,0,synthetic_demo_prior_not_field_data
r_calibration_G005_interior_01,calibration,20308608,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",in_domain_interior,,,,calibration_r_calibration_G005_interior_01,0ad692d03c87a7e408e56bbf01858ddf4dd0a340b99eda46566bac4f9eefb8d5,1772de1c7fe3bf0e35b6ea2cd9a3208ebf80e443c70d610d9f9d26c3ce9be586,1772de1c7fe3bf0e35b6ea2cd9a3208ebf80e443c70d610d9f9d26c3ce9be586,"G002,G005",2,0,synthetic_demo_prior_not_field_data
r_calibration_G005_interior_02,calibration,20308638,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",in_domain_interior,,,,calibration_r_calibration_G005_interior_02,cc9d35e37cf43db72994568861dd78dc059b85fc00892b48485880a4a9c5435a,234819c006cb2147196ae6b2a04095a71eaaddb8bf437e73d0e53fa489851f8a,234819c006cb2147196ae6b2a04095a71eaaddb8bf437e73d0e53fa489851f8a,"G002,G005",2,0,synthetic_demo_prior_not_field_data
r_calibration_G006_interior_01,calibration,20308626,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",in_domain_interior,,,,calibration_r_calibration_G006_interior_01,40ea21a4d381e03de33180dce0c249627b3a49b49812b886a6fc2f9e087a82eb,03866ccb3166016f80174c56992ab23efa3775617347d5b71f969752eef90e2e,03866ccb3166016f80174c56992ab23efa3775617347d5b71f969752eef90e2e,"G006",1,1,synthetic_demo_prior_not_field_data
r_calibration_G006_interior_02,calibration,20308656,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",in_domain_interior,,,,calibration_r_calibration_G006_interior_02,50e66926dccdba7211136f7395118185fed271c16c3fa886f796da0857806db8,234dbcb6bbaacdb90a59605b4e69eb25356da8a49caa900dbb765a83146825fe,234dbcb6bbaacdb90a59605b4e69eb25356da8a49caa900dbb765a83146825fe,"G006",1,1,synthetic_demo_prior_not_field_data
r_calibration_G007_interior_01,calibration,20308644,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",in_domain_interior,,,,calibration_r_calibration_G007_interior_01,6b15360dd1c8585e23de04907af78e1ef90e72c0cb65de635b05979a7a2af5cb,ced326d0a629dee4660f0151096f0a16fff8ccba704a1d6efebc27e542ff8d33,ced326d0a629dee4660f0151096f0a16fff8ccba704a1d6efebc27e542ff8d33,"G004,G007",2,0,synthetic_demo_prior_not_field_data
r_calibration_G007_interior_02,calibration,20308674,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",in_domain_interior,,,,calibration_r_calibration_G007_interior_02,4f8d0ce017a6a612b29b9953efec0bde423e99f1db7014879b6b5f57a3f103f5,15842cf628df25093aec62d880bdd8f89c0171f0eb7d19c08d027b55a1a93e13,15842cf628df25093aec62d880bdd8f89c0171f0eb7d19c08d027b55a1a93e13,"G004,G007",2,0,synthetic_demo_prior_not_field_data
r_pilot_G001_interior_01,pilot,20293064,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",in_domain_interior,,,,pilot_r_pilot_G001_interior_01,5677699835b3366e695bae674c60dd6eccb101ad48f524889433ed6a951be8e2,9d4a9ecce87c3a7e1e96a0c8e09df825b8cc0d19d0f28c6d7b849a31e73a52cd,9d4a9ecce87c3a7e1e96a0c8e09df825b8cc0d19d0f28c6d7b849a31e73a52cd,"G001",1,1,synthetic_demo_prior_not_field_data
r_pilot_G001_boundary_01,pilot,20292953,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",in_domain_boundary,main_length_scale,,upper,pilot_r_pilot_G001_boundary_01,cf634384f1149f73df3ce0c8d51550fbe061c26931de44d520ad40dbef11042d,94604897ee60dcaddbd54d508d5987f635ad14f47c9049ade8dea92d9ab3d31f,94604897ee60dcaddbd54d508d5987f635ad14f47c9049ade8dea92d9ab3d31f,"G001",1,1,synthetic_demo_prior_not_field_data
