sample_id,truth_topology_id,nominal_equivalence_set,same_theta_equivalence_set,same_theta_equivalence_member_count,composite_equivalence_set,composite_equivalence_member_count,not_comparable_under_same_theta,equivalence_tolerance,comparison_status,equivalence_configuration_hash,scenario_parameter_hash,scenario_observation_hash,equivalence_evaluable
r_calibration_G001_interior_01,G001,"G001",G001,1,"G001",1,,1e-09,evaluable,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,f434ef928876d1fd3ee94f9c037e0b0f0f9179f0b23cf3c2f67844529acc8d32,2b066b0e341eb5115f8206a5abe369e8f61f9f8aa030058c336d8a20a4690553,1
r_calibration_G001_interior_02,G001,"G001",G001,1,"G001",1,,1e-09,evaluable,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,41847f87ad0aad09b7badd4c4d96ebebb8afd9685cc511871135fd806e32bc5b,45c3feda5c88728fc626c6fb9a158d981d36a9af1fb989e38cd5709d6cef22a2,1
r_calibration_G002_interior_01,G002,"G002,G005",G002,1,"G005",1,,1e-09,evaluable,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,90f40652dcf96952bba878e24455a5b46806dafc952d44e76be47f896d81fa23,fdca6aaf79c5d89fa9be86d5ab661f43d40fea594f1fb3138710b1a918cb1803,1
r_calibration_G002_interior_02,G002,"G002,G005",G002,1,"G005",1,,1e-09,evaluable,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,52405a9d5e5932472d971215cb3089b6ce15dcabd37e315e7a4ed284167b62af,b1c1acfbb0a8160d68a8a3d06911d79f49693bcf65a16cc0d40e94fb1ebb27d3,1
r_calibration_G003_interior_01,G003,"G003",G003,1,"G003",1,,1e-09,evaluable,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,93956fd5aa4d19625101d5edf3609a38a28d44e356367bdb2a34d05c58ae4928,944891288cc4ba2d110bd17ab4bab28e81bcd1e1bacf7e8cc34b9e98f3f2ad6f,1
r_calibration_G003_interior_02,G003,"G003",G003,1,"G003",1,,1e-09,evaluable,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,0ef3c36f68dbeb78e1b966f3d65adbbb7fedd07dcdab2e4f09a1cf64e7f01fa4,b9a86b243aa444630098b5145f987ac8ce1f111ddaf2eb34c4b99cecd0497331,1
r_calibration_G004_interior_01,G004,"G004,G007",G004,1,"G004",1,,1e-09,evaluable,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,e90b29903adc3ecb37c1ecfd6fd34df396eabfa418b8927ecf9377c60eb4bfd7,4ce58958babe2e4e283367bf75a3c6b10196da30e263134706f23615780786d1,1
r_calibration_G004_interior_02,G004,"G004,G007",G004,1,"G004,G007",2,,1e-09,evaluable,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,ff5fed3987e6f5bd4786aa08a1edbba4862c1a32bf25ecb8741a5af59de830c0,ce596b518bcaaee2c9a22f4773cd6fad3f0cd87257729dfd833b5c9dea7522b1,1
r_calibration_G005_interior_01,G005,"G002,G005",G005,1,"G002,G005",2,,1e-09,evaluable,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,0ad692d03c87a7e408e56bbf01858ddf4dd0a340b99eda46566bac4f9eefb8d5,1772de1c7fe3bf0e35b6ea2cd9a3208ebf80e443c70d610d9f9d26c3ce9be586,1
r_calibration_G005_interior_02,G005,"G002,G005",G005,1,"G005",1,,1e-09,evaluable,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,cc9d35e37cf43db72994568861dd78dc059b85fc00892b48485880a4a9c5435a,234819c006cb2147196ae6b2a04095a71eaaddb8bf437e73d0e53fa489851f8a,1
