sample_id,category,truth_topology_id,truth_equivalence_set,truth_equivalence_member_count,truth_unique_under_observation,same_theta_equivalence_set,same_theta_equivalence_member_count,same_theta_equivalence_evaluable,composite_equivalence_set,composite_equivalence_member_count,equivalence_audit_hash,equivalence_configuration_hash,parameter_domain_truth,physical_scenario_id,outlier_dimension,outlier_severity,outlier_direction,parameter_vector_hash,noiseless_cfr_hash,observation_hash
r_pilot_G001_interior_01,in_domain_interior,G001,"G001",1,1,G001,1,1,"G001",1,e7734059c23dbbf490ffc8844bbb775238cf6d0fad94688b6164b1a26dbe3753,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,in_domain,pilot_r_pilot_G001_interior_01,,,,5677699835b3366e695bae674c60dd6eccb101ad48f524889433ed6a951be8e2,9d4a9ecce87c3a7e1e96a0c8e09df825b8cc0d19d0f28c6d7b849a31e73a52cd,9d4a9ecce87c3a7e1e96a0c8e09df825b8cc0d19d0f28c6d7b849a31e73a52cd
r_pilot_G001_boundary_01,in_domain_boundary,G001,"G001",1,1,G001,1,1,"G001",1,8a4e75c23eeba8bc1317b47670716d8124c0f4e440ae3a4055af95e92c817ea0,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,in_domain,pilot_r_pilot_G001_boundary_01,main_length_scale,,upper,cf634384f1149f73df3ce0c8d51550fbe061c26931de44d520ad40dbef11042d,94604897ee60dcaddbd54d508d5987f635ad14f47c9049ade8dea92d9ab3d31f,94604897ee60dcaddbd54d508d5987f635ad14f47c9049ade8dea92d9ab3d31f
r_pilot_G001_main_length_scale_near_lower_01,out_of_domain_near,G001,"G001",1,1,G001,1,1,"G001",1,db4dff003a16f378d904080b22438df0c6cab7b85b843b527106a63e143691b6,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,out_of_domain,pilot_r_pilot_G001_main_length_scale_near_lower_01,main_length_scale,near,lower,68546a12ff5171f0c57bb0b6f1570e52a95b7219649fa33dfb1edba2b4d30cb1,052a193a0cb2b7a4ca5fd401d23bffb5aa46e6669f9027cf09b1aec2610f6dfd,052a193a0cb2b7a4ca5fd401d23bffb5aa46e6669f9027cf09b1aec2610f6dfd
r_pilot_G001_source_impedance_ohm_medium_upper_02,out_of_domain_medium,G001,"G001",1,1,G001,1,1,"G001",1,494c975163aed4aaaa7782d51f23057f43fa2ecf450ee560ddd03f4bece51cd9,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,out_of_domain,pilot_r_pilot_G001_source_impedance_ohm_medium_upper_02,source_impedance_ohm,medium,upper,d601fb6c81308a40cf3b24d87894bebcb59eb6706221703bdbc14f684048b1b9,d6d386e956672b0a6dfb21fa85b8c7921830971ea16a6b0828d94743dd4920a6,d6d386e956672b0a6dfb21fa85b8c7921830971ea16a6b0828d94743dd4920a6
r_pilot_G001_receiver_impedance_ohm_far_lower_03,out_of_domain_far,G001,"G001",1,1,G001,1,1,"G002,G005",2,4ba4a26adcefe0e00b7bbd0504be03bc98bcecacfa7a4ba982db25d4792df0f1,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,out_of_domain,pilot_r_pilot_G001_receiver_impedance_ohm_far_lower_03,receiver_impedance_ohm,far,lower,b23cfbd4f4857c0fc19fe5f42e1a73201f446d042c1ecace4a67f3b6a97ae0e3,8ee155e22f5e120f0ba3fadc2277415e07902947b4d5ede24f1b767410815e33,8ee155e22f5e120f0ba3fadc2277415e07902947b4d5ede24f1b767410815e33
r_pilot_G002_interior_01,in_domain_interior,G002,"G002,G005",2,0,G002,1,1,"G002,G005",2,048694c3e7a89422a1405a8ee2bdf7a9804bc7492452f53b48616ef755033711,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,in_domain,pilot_r_pilot_G002_interior_01,,,,c6fdf1aaa3dd76801858bab2d7dfeef2fea21d1b9855767c6053a2620cca870b,5fe6801df97195e2ad7f6722f03a526d394b676719f4c656f8695b5737bc6c81,5fe6801df97195e2ad7f6722f03a526d394b676719f4c656f8695b5737bc6c81
r_pilot_G002_boundary_01,in_domain_boundary,G002,"G002,G005",2,0,G002,1,1,"G005",1,5ff9838594708a7d28d0f8604dc2141c50c7c4ea1dad7c48a2a2e4dd32031c31,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,in_domain,pilot_r_pilot_G002_boundary_01,main_length_scale,,lower,b7bbeb06e5c3066ea94a1d790578476526b08315b8eb9da695737ea93d69e98b,947d46a8675e2bbf9fc92cf60e878e22fe850c18f42e8b005b0fcbb1059ea5d1,947d46a8675e2bbf9fc92cf60e878e22fe850c18f42e8b005b0fcbb1059ea5d1
r_pilot_G002_branch_length_scale_near_upper_01,out_of_domain_near,G002,"G002,G005",2,0,G002,1,1,"G002,G005",2,767cda7881c04615aac08d8be45e7113bf116dc302ef9cf11f2d98e95495b6f0,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,out_of_domain,pilot_r_pilot_G002_branch_length_scale_near_upper_01,branch_length_scale,near,upper,970d1995548bbaa115cc99e23ff23b6da09950bf17f5ceaf644dcc86b9450ccc,24acd5274e14f09dd171fdbbc776d430a70d4e0a06d8bbb36617a48cab0cf84b,24acd5274e14f09dd171fdbbc776d430a70d4e0a06d8bbb36617a48cab0cf84b
r_pilot_G002_branch_load_scale_medium_lower_02,out_of_domain_medium,G002,"G002,G005",2,0,G002,1,1,"G002,G005",2,1821d13d422c3735f7a78dd9b7a80c582291f6f912f23c1b6db5e7b9b5976e14,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,out_of_domain,pilot_r_pilot_G002_branch_load_scale_medium_lower_02,branch_load_scale,medium,lower,cbe4944e0e140f226b4b6a0ba8535649d2d1c3581f9790cffab05733cddc310b,2dc32d0d8425e4b76ba9ff7967e605ebbd14ef1cf23e9e2ac3a6c45bddab6700,2dc32d0d8425e4b76ba9ff7967e605ebbd14ef1cf23e9e2ac3a6c45bddab6700
r_pilot_G002_source_impedance_ohm_far_upper_03,out_of_domain_far,G002,"G002,G005",2,0,G002,1,1,"G002,G005",2,d8b596345f61627ff5dfdc55a7c65c57ac9c197da90273657f7cf5ea52c7d58d,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,out_of_domain,pilot_r_pilot_G002_source_impedance_ohm_far_upper_03,source_impedance_ohm,far,upper,3f6a88cd13e72b0c5fca9602962d703d8edb9228bcf1bffacc2177c39f634392,eab159c8e53bf8573dadd26795a3b233aaf74ce22e92bcac2b4bac43f52a52e6,eab159c8e53bf8573dadd26795a3b233aaf74ce22e92bcac2b4bac43f52a52e6
r_pilot_G003_interior_01,in_domain_interior,G003,"G003",1,1,G003,1,1,"G003",1,ae52a26d9ff548e3b5b7e060ca94fbe5216c4d1d513cd01f1f10538f06a6e399,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,in_domain,pilot_r_pilot_G003_interior_01,,,,6d9e3a8a5a8a5b127e670beb7985bfb3a63bce807973ea5dec520f0b6eaef9d0,542089ef3ff406f7173b763b37fb91e66b65d03044ee1960854e6cc56e752ffd,542089ef3ff406f7173b763b37fb91e66b65d03044ee1960854e6cc56e752ffd
r_pilot_G003_boundary_01,in_domain_boundary,G003,"G003",1,1,G003,1,1,"G003",1,ca7c751793ac685f74282475d6ed2dd3f451358071aab1af838ecb612ccaf95f,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,in_domain,pilot_r_pilot_G003_boundary_01,main_length_scale,,upper,dd3ece19e3d525a4b21206403005f335fa2293cdf1311fd89e6477c49119f138,4b43d3736fcf72955a71b1f1c19e4c8b791ecf1f141e55f95052828dce43114b,4b43d3736fcf72955a71b1f1c19e4c8b791ecf1f141e55f95052828dce43114b
r_pilot_G003_branch_load_scale_near_lower_01,out_of_domain_near,G003,"G003",1,1,G003,1,1,"G003",1,7ff3ba718c25ab3d06f5a25acafb09571de627a64f9266b3630f5b02b284defd,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,out_of_domain,pilot_r_pilot_G003_branch_load_scale_near_lower_01,branch_load_scale,near,lower,a0477e3f53522d4f36283cf449cef8b0b9d831ad5c1cedfd440749f739bf65ec,a4b22c6b9d08b0f24373792a80ccef8e73b2e005adb3c9a58d6f2d1f80fc1a67,a4b22c6b9d08b0f24373792a80ccef8e73b2e005adb3c9a58d6f2d1f80fc1a67
r_pilot_G003_source_impedance_ohm_medium_upper_02,out_of_domain_medium,G003,"G003",1,1,G003,1,1,"G003",1,dbdb2b3e8396c95494eb01b8170b07da41711c477595aae998d5015f010e8960,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,out_of_domain,pilot_r_pilot_G003_source_impedance_ohm_medium_upper_02,source_impedance_ohm,medium,upper,0b84326dc7c591656e0e3a6215e1851826d45efead0bbca55fdc38251993396a,0a249940d7876f62308d3bdf3eccd7fa1d98381c07e449c3545fc01f61e28754,0a249940d7876f62308d3bdf3eccd7fa1d98381c07e449c3545fc01f61e28754
r_pilot_G003_receiver_impedance_ohm_far_lower_03,out_of_domain_far,G003,"G003",1,1,G003,1,1,"G004,G007",2,f509f79807ae042282ec6be75c25c859e5f13fedc4619ac99399c55ca79fc69a,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,out_of_domain,pilot_r_pilot_G003_receiver_impedance_ohm_far_lower_03,receiver_impedance_ohm,far,lower,49f87f14c1bf0fbb4f970b59e8f4a5951597c618c597e398ef49fd138b5b7581,8a7ce62fe9938e9d53117fd87a1f3fa22094b48c6569ce8f2e76477a3d59e4c4,8a7ce62fe9938e9d53117fd87a1f3fa22094b48c6569ce8f2e76477a3d59e4c4
r_pilot_G004_interior_01,in_domain_interior,G004,"G004,G007",2,0,G004,1,1,"G007",1,56e3cdb9e2277295169d4292f015f30d6afbbed6866a62755ff3d1244dc3525f,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,in_domain,pilot_r_pilot_G004_interior_01,,,,fc48fd6e82ca0bbf1565f98e3a313c69fd4a9cb84f83371717f39f5ce362d77d,ce2aa53d02a7df8c1ff83af45b73f0546626c632705f01c907f83c26ad2b91dc,ce2aa53d02a7df8c1ff83af45b73f0546626c632705f01c907f83c26ad2b91dc
r_pilot_G004_boundary_01,in_domain_boundary,G004,"G004,G007",2,0,G004,1,1,"G004",1,39b4f0f71bef5bc4bfc25c3ab8e1fd225088997ab5a039948170086bd1e3228a,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,in_domain,pilot_r_pilot_G004_boundary_01,main_length_scale,,lower,caff3e3497092e3510bdfe88345634f1e08cbd1d3bf80cc782e54add087f9de1,a6ec7abbd6374b3d3efbf3c51926d1ea6ae2677e5f447ffb98d9e2c4932532e6,a6ec7abbd6374b3d3efbf3c51926d1ea6ae2677e5f447ffb98d9e2c4932532e6
r_pilot_G004_source_impedance_ohm_near_upper_01,out_of_domain_near,G004,"G004,G007",2,0,G004,1,1,"G007",1,5d99aa9589cd0afb2aca9d41d40b9b30d0d1c5a2d62fb54d6da96a97c9170380,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,out_of_domain,pilot_r_pilot_G004_source_impedance_ohm_near_upper_01,source_impedance_ohm,near,upper,7c44a3867cea39c89b9a718db6bfddfecaf4918ddb3e08e3d9d59ec4224d9ca9,7c0420141fc3f7a2da849bea90f754b5ca5cd41bdced4692d9da7d8f486490cf,7c0420141fc3f7a2da849bea90f754b5ca5cd41bdced4692d9da7d8f486490cf
r_pilot_G004_receiver_impedance_ohm_medium_lower_02,out_of_domain_medium,G004,"G004,G007",2,0,G004,1,1,"G004,G007",2,5b1da715bfc79927054b9f23092ee0de58598082afb828a3c1a747b6cef2414b,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,out_of_domain,pilot_r_pilot_G004_receiver_impedance_ohm_medium_lower_02,receiver_impedance_ohm,medium,lower,0e4bd3c7cee4a9ccb46f79fe4ffcae54f1e4a5b8e46ed33f56615a22f31b1a57,4603d696f01361fc71b387f9fbdff3361bb95c3f1329d4e393db1980f943e807,4603d696f01361fc71b387f9fbdff3361bb95c3f1329d4e393db1980f943e807
r_pilot_G004_main_length_scale_far_upper_03,out_of_domain_far,G004,"G004,G007",2,0,G004,1,1,"G004,G007",2,2ce74487788942d4360cea049dcef662ae076ad00e724645910ef57a8477ae35,63bd640a77017cc0f550e7b88dde5de11a17141eaee5637d018168c55e20ef59,out_of_domain,pilot_r_pilot_G004_main_length_scale_far_upper_03,main_length_scale,far,upper,0ac60e9439b5bfd2e74a8f8bf6b53c78dbcb02afcc36068fe93897e614b907dd,cacd175668746a694db2c96c69579aff3dd49ef6c4311559daca683d25395588,cacd175668746a694db2c96c69579aff3dd49ef6c4311559daca683d25395588
