sample_id,replicate_id,split,category,truth_topology_id,canonical_key,outlier_dimension,outlier_severity,parameter_domain_truth,seed
dev01_cal_G001_01,dev01,stage4a6_calibration,parameter_in_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",,,in_domain,20261601
dev01_cal_G001_02,dev01,stage4a6_calibration,parameter_in_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",,,in_domain,20261601
dev01_cal_G002_01,dev01,stage4a6_calibration,parameter_in_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",,,in_domain,20261601
dev01_cal_G002_02,dev01,stage4a6_calibration,parameter_in_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",,,in_domain,20261601
dev01_cal_G003_01,dev01,stage4a6_calibration,parameter_in_domain,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",,,in_domain,20261601
dev01_cal_G003_02,dev01,stage4a6_calibration,parameter_in_domain,G003,"TX=TX|RX=RX|P=4|1:0,2:1,3:0",,,in_domain,20261601
dev01_cal_G004_01,dev01,stage4a6_calibration,parameter_in_domain,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",,,in_domain,20261601
dev01_cal_G004_02,dev01,stage4a6_calibration,parameter_in_domain,G004,"TX=TX|RX=RX|P=4|1:0,2:1,3:1",,,in_domain,20261601
dev01_cal_G005_01,dev01,stage4a6_calibration,parameter_in_domain,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",,,in_domain,20261601
dev01_cal_G005_02,dev01,stage4a6_calibration,parameter_in_domain,G005,"TX=TX|RX=RX|P=4|1:1,2:0,3:0",,,in_domain,20261601
dev01_cal_G006_01,dev01,stage4a6_calibration,parameter_in_domain,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",,,in_domain,20261601
dev01_cal_G006_02,dev01,stage4a6_calibration,parameter_in_domain,G006,"TX=TX|RX=RX|P=4|1:1,2:0,3:1",,,in_domain,20261601
dev01_cal_G007_01,dev01,stage4a6_calibration,parameter_in_domain,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",,,in_domain,20261601
dev01_cal_G007_02,dev01,stage4a6_calibration,parameter_in_domain,G007,"TX=TX|RX=RX|P=4|1:1,2:1,3:0",,,in_domain,20261601
dev01_test_in_01,dev01,stage4a6_validation,parameter_in_domain,G001,"TX=TX|RX=RX|P=4|1:0,2:0,3:0",,,in_domain,20261632
dev01_test_in_02,dev01,stage4a6_validation,parameter_in_domain,G002,"TX=TX|RX=RX|P=4|1:0,2:0,3:1",,,in_domain,20261632
